segmentation_source,feature_branch,held_out_experiment,rank,feature
full_contact_original,B1_sensor_only,66,1,R_waveform_length_std
full_contact_original,B1_sensor_only,66,2,R_dominant_freq_mean
full_contact_original,B1_sensor_only,66,3,R_entropy_mean
full_contact_original,B1_sensor_only,66,4,A_band2_ratio_std
full_contact_original,B1_sensor_only,66,5,R_wavelet_entropy_mean
full_contact_original,B1_sensor_only,66,6,R_dominant_freq_median
full_contact_original,B1_sensor_only,66,7,A_spectral_skewness_std
full_contact_original,B1_sensor_only,66,8,R_spectral_skewness_std
full_contact_original,B1_sensor_only,66,9,R_spectral_kurtosis_mean
full_contact_original,B1_sensor_only,66,10,A_band3_ratio_std
full_contact_original,B1_sensor_only,67,1,R_waveform_length_std
full_contact_original,B1_sensor_only,67,2,A_band2_ratio_std
full_contact_original,B1_sensor_only,67,3,R_dominant_freq_median
full_contact_original,B1_sensor_only,67,4,R_dominant_freq_mean
full_contact_original,B1_sensor_only,67,5,A_band3_ratio_std
full_contact_original,B1_sensor_only,67,6,A_segment_n_samples_std
full_contact_original,B1_sensor_only,67,7,A_spectral_power_std
full_contact_original,B1_sensor_only,67,8,R_spectral_skewness_std
full_contact_original,B1_sensor_only,67,9,R_wavelet_d1_energy_std
full_contact_original,B1_sensor_only,67,10,R_wavelet_d2_energy_std
full_contact_original,B1_sensor_only,68,1,R_waveform_length_std
full_contact_original,B1_sensor_only,68,2,A_band2_ratio_std
full_contact_original,B1_sensor_only,68,3,R_dominant_freq_median
full_contact_original,B1_sensor_only,68,4,R_peak_to_peak_median
full_contact_original,B1_sensor_only,68,5,A_band3_ratio_std
full_contact_original,B1_sensor_only,68,6,R_entropy_mean
full_contact_original,B1_sensor_only,68,7,R_wavelet_d1_energy_std
full_contact_original,B1_sensor_only,68,8,R_freq_variance_std
full_contact_original,B1_sensor_only,68,9,R_spectral_skewness_std
full_contact_original,B1_sensor_only,68,10,R_freq_variance_median
full_contact_original,B1_sensor_only,69,1,R_waveform_length_std
full_contact_original,B1_sensor_only,69,2,R_dominant_freq_mean
full_contact_original,B1_sensor_only,69,3,R_dominant_freq_median
full_contact_original,B1_sensor_only,69,4,R_entropy_mean
full_contact_original,B1_sensor_only,69,5,A_band2_ratio_std
full_contact_original,B1_sensor_only,69,6,R_spectral_skewness_std
full_contact_original,B1_sensor_only,69,7,A_band3_ratio_std
full_contact_original,B1_sensor_only,69,8,R_wavelet_d1_energy_std
full_contact_original,B1_sensor_only,69,9,R_min_median
full_contact_original,B1_sensor_only,69,10,R_wavelet_d3_ratio_std
full_contact_original,B1_sensor_only,70,1,R_waveform_length_std
full_contact_original,B1_sensor_only,70,2,R_dominant_freq_median
full_contact_original,B1_sensor_only,70,3,R_dominant_freq_mean
full_contact_original,B1_sensor_only,70,4,R_entropy_mean
full_contact_original,B1_sensor_only,70,5,A_band3_ratio_std
full_contact_original,B1_sensor_only,70,6,A_band2_ratio_std
full_contact_original,B1_sensor_only,70,7,R_wavelet_d1_energy_std
full_contact_original,B1_sensor_only,70,8,R_spectral_skewness_std
full_contact_original,B1_sensor_only,70,9,R_wavelet_d2_energy_std
full_contact_original,B1_sensor_only,70,10,R_band1_ratio_std
full_contact_original,B1_sensor_only,73,1,R_waveform_length_std
full_contact_original,B1_sensor_only,73,2,A_band2_ratio_std
full_contact_original,B1_sensor_only,73,3,R_dominant_freq_mean
full_contact_original,B1_sensor_only,73,4,R_dominant_freq_median
full_contact_original,B1_sensor_only,73,5,R_wavelet_d1_energy_std
full_contact_original,B1_sensor_only,73,6,R_entropy_mean
full_contact_original,B1_sensor_only,73,7,R_spectral_skewness_std
full_contact_original,B1_sensor_only,73,8,R_wavelet_d2_energy_std
full_contact_original,B1_sensor_only,73,9,R_peak_to_peak_median
full_contact_original,B1_sensor_only,73,10,A_waveform_length_std
full_contact_original,B1_sensor_only,74,1,A_spectral_skewness_std
full_contact_original,B1_sensor_only,74,2,A_band2_ratio_std
full_contact_original,B1_sensor_only,74,3,R_waveform_length_std
full_contact_original,B1_sensor_only,74,4,A_freq_variance_std
full_contact_original,B1_sensor_only,74,5,A_zero_crossing_rate_std
full_contact_original,B1_sensor_only,74,6,R_dominant_freq_mean
full_contact_original,B1_sensor_only,74,7,R_dominant_freq_median
full_contact_original,B1_sensor_only,74,8,A_band3_ratio_std
full_contact_original,B1_sensor_only,74,9,A_wavelet_entropy_std
full_contact_original,B1_sensor_only,74,10,R_entropy_mean
full_contact_original,B1_sensor_only,75,1,R_waveform_length_std
full_contact_original,B1_sensor_only,75,2,A_band2_ratio_std
full_contact_original,B1_sensor_only,75,3,R_dominant_freq_median
full_contact_original,B1_sensor_only,75,4,R_wavelet_entropy_std
full_contact_original,B1_sensor_only,75,5,R_wavelet_d3_energy_std
full_contact_original,B1_sensor_only,75,6,R_entropy_mean
full_contact_original,B1_sensor_only,75,7,A_band3_ratio_std
full_contact_original,B1_sensor_only,75,8,A_spectral_skewness_std
full_contact_original,B1_sensor_only,75,9,R_wavelet_entropy_mean
full_contact_original,B1_sensor_only,75,10,R_wavelet_d3_ratio_mean
full_contact_original,B1_sensor_only,76,1,R_waveform_length_std
full_contact_original,B1_sensor_only,76,2,A_band2_ratio_std
full_contact_original,B1_sensor_only,76,3,R_wavelet_d3_ratio_std
full_contact_original,B1_sensor_only,76,4,R_entropy_mean
full_contact_original,B1_sensor_only,76,5,R_band2_ratio_std
full_contact_original,B1_sensor_only,76,6,R_wavelet_d3_ratio_mean
full_contact_original,B1_sensor_only,76,7,R_wavelet_entropy_mean
full_contact_original,B1_sensor_only,76,8,R_freq_variance_median
full_contact_original,B1_sensor_only,76,9,R_wavelet_d2_energy_std
full_contact_original,B1_sensor_only,76,10,R_wavelet_d3_energy_median
full_contact_original,B1_sensor_only,77,1,R_variance_mean
full_contact_original,B1_sensor_only,77,2,R_std_median
full_contact_original,B1_sensor_only,77,3,R_wavelet_d3_ratio_mean
full_contact_original,B1_sensor_only,77,4,R_freq_variance_mean
full_contact_original,B1_sensor_only,77,5,R_wavelet_d2_energy_std
full_contact_original,B1_sensor_only,77,6,R_band5_ratio_mean
full_contact_original,B1_sensor_only,77,7,R_entropy_median
full_contact_original,B1_sensor_only,77,8,A_band2_ratio_std
full_contact_original,B1_sensor_only,77,9,R_dominant_freq_median
full_contact_original,B1_sensor_only,77,10,A_spectral_skewness_std
full_contact_original,B2_sensor_plus_time,66,1,physical_experiment_order
full_contact_original,B2_sensor_plus_time,66,2,R_waveform_length_std
full_contact_original,B2_sensor_plus_time,66,3,R_entropy_mean
full_contact_original,B2_sensor_plus_time,66,4,R_dominant_freq_mean
full_contact_original,B2_sensor_plus_time,66,5,A_band2_ratio_std
full_contact_original,B2_sensor_plus_time,66,6,R_dominant_freq_median
full_contact_original,B2_sensor_plus_time,66,7,R_wavelet_entropy_mean
full_contact_original,B2_sensor_plus_time,66,8,A_spectral_skewness_std
full_contact_original,B2_sensor_plus_time,66,9,R_spectral_skewness_std
full_contact_original,B2_sensor_plus_time,66,10,R_spectral_kurtosis_mean
full_contact_original,B2_sensor_plus_time,67,1,physical_experiment_order
full_contact_original,B2_sensor_plus_time,67,2,R_waveform_length_std
full_contact_original,B2_sensor_plus_time,67,3,A_band2_ratio_std
full_contact_original,B2_sensor_plus_time,67,4,R_dominant_freq_median
full_contact_original,B2_sensor_plus_time,67,5,R_dominant_freq_mean
full_contact_original,B2_sensor_plus_time,67,6,A_band3_ratio_std
full_contact_original,B2_sensor_plus_time,67,7,A_segment_n_samples_std
full_contact_original,B2_sensor_plus_time,67,8,A_spectral_power_std
full_contact_original,B2_sensor_plus_time,67,9,R_spectral_skewness_std
full_contact_original,B2_sensor_plus_time,67,10,A_entropy_std
full_contact_original,B2_sensor_plus_time,68,1,physical_experiment_order
full_contact_original,B2_sensor_plus_time,68,2,R_waveform_length_std
full_contact_original,B2_sensor_plus_time,68,3,A_band2_ratio_std
full_contact_original,B2_sensor_plus_time,68,4,R_peak_to_peak_median
full_contact_original,B2_sensor_plus_time,68,5,R_entropy_mean
full_contact_original,B2_sensor_plus_time,68,6,A_band3_ratio_std
full_contact_original,B2_sensor_plus_time,68,7,R_dominant_freq_median
full_contact_original,B2_sensor_plus_time,68,8,R_freq_variance_std
full_contact_original,B2_sensor_plus_time,68,9,R_spectral_skewness_std
full_contact_original,B2_sensor_plus_time,68,10,R_wavelet_d1_energy_std
full_contact_original,B2_sensor_plus_time,69,1,physical_experiment_order
full_contact_original,B2_sensor_plus_time,69,2,R_waveform_length_std
full_contact_original,B2_sensor_plus_time,69,3,A_band2_ratio_std
full_contact_original,B2_sensor_plus_time,69,4,R_dominant_freq_mean
full_contact_original,B2_sensor_plus_time,69,5,R_dominant_freq_median
full_contact_original,B2_sensor_plus_time,69,6,R_entropy_mean
full_contact_original,B2_sensor_plus_time,69,7,R_min_median
full_contact_original,B2_sensor_plus_time,69,8,R_spectral_skewness_std
full_contact_original,B2_sensor_plus_time,69,9,A_band3_ratio_std
full_contact_original,B2_sensor_plus_time,69,10,A_wavelet_d3_ratio_std
full_contact_original,B2_sensor_plus_time,70,1,physical_experiment_order
full_contact_original,B2_sensor_plus_time,70,2,R_waveform_length_std
full_contact_original,B2_sensor_plus_time,70,3,R_dominant_freq_median
full_contact_original,B2_sensor_plus_time,70,4,R_dominant_freq_mean
full_contact_original,B2_sensor_plus_time,70,5,R_entropy_mean
full_contact_original,B2_sensor_plus_time,70,6,A_band3_ratio_std
full_contact_original,B2_sensor_plus_time,70,7,A_band2_ratio_std
full_contact_original,B2_sensor_plus_time,70,8,R_spectral_skewness_std
full_contact_original,B2_sensor_plus_time,70,9,R_wavelet_d2_energy_std
full_contact_original,B2_sensor_plus_time,70,10,R_wavelet_d1_energy_std
full_contact_original,B2_sensor_plus_time,73,1,physical_experiment_order
full_contact_original,B2_sensor_plus_time,73,2,R_waveform_length_std
full_contact_original,B2_sensor_plus_time,73,3,A_band2_ratio_std
full_contact_original,B2_sensor_plus_time,73,4,R_dominant_freq_median
full_contact_original,B2_sensor_plus_time,73,5,R_entropy_mean
full_contact_original,B2_sensor_plus_time,73,6,R_wavelet_d1_energy_std
full_contact_original,B2_sensor_plus_time,73,7,R_peak_to_peak_median
full_contact_original,B2_sensor_plus_time,73,8,R_spectral_skewness_std
full_contact_original,B2_sensor_plus_time,73,9,R_wavelet_d2_energy_std
full_contact_original,B2_sensor_plus_time,73,10,A_waveform_length_std
full_contact_original,B2_sensor_plus_time,74,1,physical_experiment_order
full_contact_original,B2_sensor_plus_time,74,2,A_spectral_skewness_std
full_contact_original,B2_sensor_plus_time,74,3,A_band2_ratio_std
full_contact_original,B2_sensor_plus_time,74,4,R_waveform_length_std
full_contact_original,B2_sensor_plus_time,74,5,R_dominant_freq_mean
full_contact_original,B2_sensor_plus_time,74,6,A_band3_ratio_std
full_contact_original,B2_sensor_plus_time,74,7,R_dominant_freq_median
full_contact_original,B2_sensor_plus_time,74,8,R_entropy_mean
full_contact_original,B2_sensor_plus_time,74,9,A_zero_crossing_rate_std
full_contact_original,B2_sensor_plus_time,74,10,A_wavelet_d3_ratio_std
full_contact_original,B2_sensor_plus_time,75,1,physical_experiment_order
full_contact_original,B2_sensor_plus_time,75,2,R_waveform_length_std
full_contact_original,B2_sensor_plus_time,75,3,A_band2_ratio_std
full_contact_original,B2_sensor_plus_time,75,4,R_dominant_freq_median
full_contact_original,B2_sensor_plus_time,75,5,R_wavelet_entropy_std
full_contact_original,B2_sensor_plus_time,75,6,R_entropy_mean
full_contact_original,B2_sensor_plus_time,75,7,R_wavelet_d3_energy_std
full_contact_original,B2_sensor_plus_time,75,8,A_band3_ratio_std
full_contact_original,B2_sensor_plus_time,75,9,R_dominant_freq_std
full_contact_original,B2_sensor_plus_time,75,10,R_peak_to_peak_median
full_contact_original,B2_sensor_plus_time,76,1,physical_experiment_order
full_contact_original,B2_sensor_plus_time,76,2,R_waveform_length_std
full_contact_original,B2_sensor_plus_time,76,3,A_band2_ratio_std
