feature,kendall_abs,spearman_abs,mmi_norm,score,segmentation_source,exploratory_only
R_waveform_length_std,0.8222,0.9273,1.0,0.9165,full_contact_original,True
A_band2_ratio_std,0.8667,0.9394,0.5868,0.7976,full_contact_original,True
R_dominant_freq_median,0.7333,0.8788,0.7503,0.7875,full_contact_original,True
R_dominant_freq_mean,0.7333,0.8667,0.6849,0.7616,full_contact_original,True
A_band1_ratio_std,0.8222,0.9273,0.5316,0.7604,full_contact_original,True
R_spectral_power_std,0.6444,0.8182,0.8127,0.7584,full_contact_original,True
R_entropy_mean,0.8222,0.9273,0.4751,0.7415,full_contact_original,True
A_band3_ratio_std,0.7333,0.8909,0.5626,0.7289,full_contact_original,True
R_wavelet_entropy_std,0.7333,0.8667,0.5838,0.7279,full_contact_original,True
R_wavelet_d1_energy_std,0.4667,0.7333,0.9584,0.7195,full_contact_original,True
R_wavelet_d2_energy_std,0.6444,0.8303,0.625,0.6999,full_contact_original,True
A_spectral_skewness_std,0.6889,0.8061,0.5898,0.6949,full_contact_original,True
R_spectral_skewness_std,0.6,0.7939,0.5987,0.6642,full_contact_original,True
R_std_std,0.5111,0.7333,0.7473,0.6639,full_contact_original,True
R_rms_std,0.5111,0.7333,0.7473,0.6639,full_contact_original,True
R_freq_variance_mean,0.5556,0.7576,0.5927,0.6353,full_contact_original,True
R_wavelet_entropy_mean,0.5556,0.7333,0.6165,0.6351,full_contact_original,True
R_freq_variance_median,0.5111,0.7333,0.6445,0.6297,full_contact_original,True
R_wavelet_d3_energy_std,0.6889,0.8667,0.3245,0.6267,full_contact_original,True
R_wavelet_d3_energy_mean,0.6,0.7697,0.5061,0.6253,full_contact_original,True
R_total_power_std,0.6444,0.7939,0.3989,0.6124,full_contact_original,True
R_min_median,0.7333,0.8788,0.2152,0.6091,full_contact_original,True
R_wavelet_d3_ratio_mean,0.6,0.7333,0.4925,0.6086,full_contact_original,True
A_spectral_power_std,0.6,0.7576,0.4662,0.6079,full_contact_original,True
R_energy_std,0.6444,0.7939,0.384,0.6075,full_contact_original,True
R_mean_power_std,0.6444,0.7939,0.384,0.6075,full_contact_original,True
A_entropy_mean,0.6444,0.8182,0.3532,0.6053,full_contact_original,True
R_dominant_freq_std,0.6889,0.8667,0.2555,0.6037,full_contact_original,True
A_wavelet_d3_ratio_std,0.6889,0.8424,0.2725,0.6013,full_contact_original,True
R_peak_to_peak_median,0.7333,0.8788,0.1795,0.5972,full_contact_original,True
R_band1_ratio_std,0.5556,0.7455,0.4674,0.5895,full_contact_original,True
R_max_median,0.5556,0.7818,0.4245,0.5873,full_contact_original,True
A_waveform_length_std,0.5111,0.6727,0.56,0.5813,full_contact_original,True
R_wavelet_d3_ratio_median,0.5556,0.7333,0.4308,0.5732,full_contact_original,True
