tool_id,experiment_id,within_tool_order,vb_um,vc,fz,cooling,usable_sensor,usable_trajectory
T1,1,1,210.06,80,0.3,Dry,True,True
T1,2,2,226.39,80,0.3,Dry,True,True
T1,3,3,242.72,80,0.3,Dry,True,True
T1,4,4,252.51,80,0.3,Dry,True,True
T1,5,5,262.3,80,0.3,Dry,True,True
T10,46,1,115.0,70,0.2,Coolant,True,True
T10,47,2,124.0,70,0.2,Coolant,True,True
T10,48,3,133.0,70,0.2,Coolant,True,True
T10,49,4,145.0,70,0.2,Coolant,True,True
T10,50,5,157.0,70,0.2,Coolant,True,True
T11,51,1,130.0,70,0.08,Dry,True,True
T11,52,2,139.5,70,0.08,Dry,True,True
T11,53,3,149.0,70,0.08,Dry,True,True
T11,54,4,161.0,70,0.08,Dry,True,True
T11,55,5,173.0,70,0.08,Dry,True,True
T12,56,1,93.0,70,0.08,Coolant,True,True
T12,57,2,108.0,70,0.08,Coolant,True,True
T12,58,3,123.0,70,0.08,Coolant,True,True
T12,59,4,125.0,70,0.08,Coolant,True,True
T12,60,5,127.0,70,0.08,Coolant,True,True
T13,61,1,272.0,55,0.3,Dry,True,True
T13,62,2,281.5,55,0.3,Dry,True,True
T13,63,3,291.0,55,0.3,Dry,True,True
T13,64,4,291.0,55,0.3,Dry,True,True
T13,65,5,291.0,55,0.3,Dry,True,True
T14,66,1,103.0,55,0.3,Coolant,True,True
T14,67,2,108.0,55,0.3,Coolant,True,True
T14,68,3,121.0,55,0.3,Coolant,True,True
T14,69,4,136.0,55,0.3,Coolant,True,True
T14,70,5,148.0,55,0.3,Coolant,True,True
T14,71,6,159.0,55,0.3,Coolant,True,True
T14,72,7,170.0,55,0.3,Coolant,True,True
T14,73,8,176.0,55,0.3,Coolant,True,True
T14,74,9,181.0,55,0.3,Coolant,True,True
T14,75,10,189.0,55,0.3,Coolant,True,True
T14,76,11,200.0,55,0.3,Coolant,True,True
T14,77,12,200.0,55,0.3,Coolant,True,True
T15,78,1,160.0,55,0.2,Dry,True,True
T15,79,2,167.5,55,0.2,Dry,True,True
T15,80,3,175.0,55,0.2,Dry,True,True
T15,81,4,198.5,55,0.2,Dry,True,True
T15,82,5,222.0,55,0.2,Dry,True,True
T16,83,1,108.0,55,0.2,Coolant,True,True
T16,84,2,141.0,55,0.2,Coolant,True,True
T16,85,3,149.0,55,0.2,Coolant,True,True
T16,86,4,154.0,55,0.2,Coolant,True,True
T16,87,5,154.0,55,0.2,Coolant,True,True
T16,88,6,154.0,55,0.2,Coolant,True,True
T17,89,1,133.0,55,0.08,Dry,True,True
T17,90,2,152.0,55,0.08,Dry,True,True
T17,91,3,185.0,55,0.08,Dry,True,True
T17,92,4,194.0,55,0.08,Dry,True,True
T17,93,5,220.0,55,0.08,Dry,True,True
T18,94,1,61.0,55,0.08,Coolant,True,True
T18,95,2,65.0,55,0.08,Coolant,True,True
T18,96,3,71.0,55,0.08,Coolant,True,True
T18,97,4,73.0,55,0.08,Coolant,True,True
T18,98,5,78.0,55,0.08,Coolant,True,True
T18,99,6,85.0,55,0.08,Coolant,True,True
T18,100,7,90.0,55,0.08,Coolant,True,True
T18,101,8,94.0,55,0.08,Coolant,True,True
T18,102,9,103.0,55,0.08,Coolant,True,True
T18,103,10,105.0,55,0.08,Coolant,True,True
T18,104,11,116.0,55,0.08,Coolant,True,True
T18,105,12,116.0,55,0.08,Coolant,True,True
T18,106,13,129.0,55,0.08,Coolant,True,True
T18,107,14,133.0,55,0.08,Coolant,True,True
T18,108,15,137.0,55,0.08,Coolant,True,True
T18,109,16,138.0,55,0.08,Coolant,True,True
T18,110,17,139.0,55,0.08,Coolant,True,True
T18,111,18,141.0,55,0.08,Coolant,True,True
T18,112,19,147.0,55,0.08,Coolant,True,True
