tool_id,experiment_id,physical_experiment_order,recorded_signal_order,contact_id,channel,file_path,sampling_rate_hz,has_signal,has_official_vb,VB_um,valid_signal,missing_signal,target_only,incomplete_contact,valid_contact,exp77_four_contact_case,quality_flag
T01,66,1,1,1,axial,data/raw/segments/A66_p1.txt,50000,True,True,103.0,True,False,False,False,True,False,recorded
T01,66,1,1,2,axial,data/raw/segments/A66_p2.txt,50000,True,True,103.0,True,False,False,False,True,False,recorded
T01,66,1,1,3,axial,data/raw/segments/A66_p3.txt,50000,True,True,103.0,True,False,False,False,True,False,recorded
T01,66,1,1,4,axial,data/raw/segments/A66_p4.txt,50000,True,True,103.0,True,False,False,False,True,False,recorded
T01,66,1,1,5,axial,data/raw/segments/A66_p5.txt,50000,True,True,103.0,True,False,False,False,True,False,recorded
T01,66,1,1,6,axial,data/raw/segments/A66_p6.txt,50000,True,True,103.0,True,False,False,False,True,False,recorded
T01,67,2,2,1,axial,data/raw/segments/A67_p1.txt,50000,True,True,108.0,True,False,False,False,True,False,recorded
T01,67,2,2,2,axial,data/raw/segments/A67_p2.txt,50000,True,True,108.0,True,False,False,False,True,False,recorded
T01,67,2,2,3,axial,data/raw/segments/A67_p3.txt,50000,True,True,108.0,True,False,False,False,True,False,recorded
T01,67,2,2,4,axial,data/raw/segments/A67_p4.txt,50000,True,True,108.0,True,False,False,False,True,False,recorded
T01,67,2,2,5,axial,data/raw/segments/A67_p5.txt,50000,True,True,108.0,True,False,False,False,True,False,recorded
T01,67,2,2,6,axial,data/raw/segments/A67_p6.txt,50000,True,True,108.0,True,False,False,False,True,False,recorded
T01,68,3,3,1,axial,data/raw/segments/A68_p1.txt,50000,True,True,121.0,True,False,False,False,True,False,recorded
T01,68,3,3,2,axial,data/raw/segments/A68_p2.txt,50000,True,True,121.0,True,False,False,False,True,False,recorded
T01,68,3,3,3,axial,data/raw/segments/A68_p3.txt,50000,True,True,121.0,True,False,False,False,True,False,recorded
T01,68,3,3,4,axial,data/raw/segments/A68_p4.txt,50000,True,True,121.0,True,False,False,False,True,False,recorded
T01,68,3,3,5,axial,data/raw/segments/A68_p5.txt,50000,True,True,121.0,True,False,False,False,True,False,recorded
T01,68,3,3,6,axial,data/raw/segments/A68_p6.txt,50000,True,True,121.0,True,False,False,False,True,False,recorded
T01,69,4,4,1,axial,data/raw/segments/A69_p1.txt,50000,True,True,136.0,True,False,False,False,True,False,recorded
T01,69,4,4,2,axial,data/raw/segments/A69_p2.txt,50000,True,True,136.0,True,False,False,False,True,False,recorded
T01,69,4,4,3,axial,data/raw/segments/A69_p3.txt,50000,True,True,136.0,True,False,False,False,True,False,recorded
T01,69,4,4,4,axial,data/raw/segments/A69_p4.txt,50000,True,True,136.0,True,False,False,False,True,False,recorded
T01,69,4,4,5,axial,data/raw/segments/A69_p5.txt,50000,True,True,136.0,True,False,False,False,True,False,recorded
T01,69,4,4,6,axial,data/raw/segments/A69_p6.txt,50000,True,True,136.0,True,False,False,False,True,False,recorded
T01,70,5,5,1,axial,data/raw/segments/A70_p1.txt,50000,True,True,148.0,True,False,False,False,True,False,recorded
T01,70,5,5,2,axial,data/raw/segments/A70_p2.txt,50000,True,True,148.0,True,False,False,False,True,False,recorded
T01,70,5,5,3,axial,data/raw/segments/A70_p3.txt,50000,True,True,148.0,True,False,False,False,True,False,recorded
T01,70,5,5,4,axial,data/raw/segments/A70_p4.txt,50000,True,True,148.0,True,False,False,False,True,False,recorded
T01,70,5,5,5,axial,data/raw/segments/A70_p5.txt,50000,True,True,148.0,True,False,False,False,True,False,recorded
T01,70,5,5,6,axial,data/raw/segments/A70_p6.txt,50000,True,True,148.0,True,False,False,False,True,False,recorded
T01,73,8,6,1,axial,data/raw/segments/A73_p1.txt,50000,True,True,176.0,True,False,False,False,True,False,recorded
T01,73,8,6,2,axial,data/raw/segments/A73_p2.txt,50000,True,True,176.0,True,False,False,False,True,False,recorded
T01,73,8,6,3,axial,data/raw/segments/A73_p3.txt,50000,True,True,176.0,True,False,False,False,True,False,recorded
T01,73,8,6,4,axial,data/raw/segments/A73_p4.txt,50000,True,True,176.0,True,False,False,False,True,False,recorded
T01,73,8,6,5,axial,data/raw/segments/A73_p5.txt,50000,True,True,176.0,True,False,False,False,True,False,recorded
T01,73,8,6,6,axial,data/raw/segments/A73_p6.txt,50000,True,True,176.0,True,False,False,False,True,False,recorded
T01,74,9,7,1,axial,data/raw/segments/A74_p1.txt,50000,True,True,181.0,True,False,False,False,True,False,recorded
T01,74,9,7,2,axial,data/raw/segments/A74_p2.txt,50000,True,True,181.0,True,False,False,False,True,False,recorded
T01,74,9,7,3,axial,data/raw/segments/A74_p3.txt,50000,True,True,181.0,True,False,False,False,True,False,recorded
T01,74,9,7,4,axial,data/raw/segments/A74_p4.txt,50000,True,True,181.0,True,False,False,False,True,False,recorded
T01,74,9,7,5,axial,data/raw/segments/A74_p5.txt,50000,True,True,181.0,True,False,False,False,True,False,recorded
T01,74,9,7,6,axial,data/raw/segments/A74_p6.txt,50000,True,True,181.0,True,False,False,False,True,False,recorded
T01,75,10,8,1,axial,data/raw/segments/A75_p1.txt,50000,True,True,189.0,True,False,False,False,True,False,recorded
T01,75,10,8,2,axial,data/raw/segments/A75_p2.txt,50000,True,True,189.0,True,False,False,False,True,False,recorded
