tool_id,experiment_id,contact_id,channel,file_path,segment_start_sample,segment_end_sample,segment_duration_s,peak_sample,threshold_used,active_frac,valid_segment,quality_flag,notes
T01,66,1,axial,data/raw/segments/A66_p1.txt,9116,159900,3.0157,51290,10.5262,0.8503,True,valid,full-contact window (envelope+adaptive thr+margin)
T01,66,2,axial,data/raw/segments/A66_p2.txt,5777,141563,2.7157,130423,10.98185,0.803,True,valid,full-contact window (envelope+adaptive thr+margin)
T01,66,3,axial,data/raw/segments/A66_p3.txt,2665,123652,2.4197,89128,12.025,0.8545,True,valid,full-contact window (envelope+adaptive thr+margin)
T01,66,4,axial,data/raw/segments/A66_p4.txt,2059,105257,2.064,47902,9.8767,0.8369,True,valid,full-contact window (envelope+adaptive thr+margin)
T01,66,5,axial,data/raw/segments/A66_p5.txt,3700,90519,1.7364,6035,8.72456,0.7788,True,valid,full-contact window (envelope+adaptive thr+margin)
T01,66,6,axial,data/raw/segments/A66_p6.txt,5155,75969,1.4163,15391,9.13119,0.6392,True,valid,full-contact window (envelope+adaptive thr+margin)
T01,67,1,axial,data/raw/segments/A67_p1.txt,2498,154451,3.0391,32163,18.3939,0.853,True,valid,full-contact window (envelope+adaptive thr+margin)
T01,67,2,axial,data/raw/segments/A67_p2.txt,3172,138088,2.6983,6122,18.89148,0.7764,True,valid,full-contact window (envelope+adaptive thr+margin)
T01,67,3,axial,data/raw/segments/A67_p3.txt,3930,304663,6.0147,6617,14.66142,0.3746,True,valid,full-contact window (envelope+adaptive thr+margin)
T01,67,4,axial,data/raw/segments/A67_p4.txt,1928,103667,2.0348,4301,17.42561,0.8672,True,valid,full-contact window (envelope+adaptive thr+margin)
T01,67,5,axial,data/raw/segments/A67_p5.txt,12803,111106,1.9661,107648,16.08901,0.7016,True,valid,full-contact window (envelope+adaptive thr+margin)
T01,67,6,axial,data/raw/segments/A67_p6.txt,17185,109575,1.8478,102515,14.07618,0.6885,True,valid,full-contact window (envelope+adaptive thr+margin)
T01,68,1,axial,data/raw/segments/A68_p1.txt,1785,153071,3.0257,88496,19.7985,0.8546,True,valid,full-contact window (envelope+adaptive thr+margin)
T01,68,2,axial,data/raw/segments/A68_p2.txt,3967,138645,2.6936,134813,20.28883,0.8646,True,valid,full-contact window (envelope+adaptive thr+margin)
T01,68,3,axial,data/raw/segments/A68_p3.txt,1400,124382,2.4596,117187,15.55219,0.8693,True,valid,full-contact window (envelope+adaptive thr+margin)
T01,68,4,axial,data/raw/segments/A68_p4.txt,1457,103917,2.0492,97932,19.17085,0.733,True,valid,full-contact window (envelope+adaptive thr+margin)
T01,68,5,axial,data/raw/segments/A68_p5.txt,1161,96832,1.9134,67419,14.61563,0.8171,True,valid,full-contact window (envelope+adaptive thr+margin)
T01,68,6,axial,data/raw/segments/A68_p6.txt,2360,101742,1.9876,69075,20.44614,0.58,True,valid,full-contact window (envelope+adaptive thr+margin)
T01,69,1,axial,data/raw/segments/A69_p1.txt,2736,149837,2.942,52771,34.71401,0.5418,True,valid,full-contact window (envelope+adaptive thr+margin)
T01,69,2,axial,data/raw/segments/A69_p2.txt,2413,137129,2.6943,132601,24.06015,0.8739,True,valid,full-contact window (envelope+adaptive thr+margin)
T01,69,3,axial,data/raw/segments/A69_p3.txt,1782,119021,2.3448,115061,27.3785,0.7813,True,valid,full-contact window (envelope+adaptive thr+margin)
T01,69,4,axial,data/raw/segments/A69_p4.txt,1018,101366,2.007,3106,30.32711,0.7521,True,valid,full-contact window (envelope+adaptive thr+margin)
T01,69,5,axial,data/raw/segments/A69_p5.txt,1255,86585,1.7066,3523,19.64442,0.8572,True,valid,full-contact window (envelope+adaptive thr+margin)
T01,69,6,axial,data/raw/segments/A69_p6.txt,1675,70644,1.3794,3864,23.30618,0.8035,True,valid,full-contact window (envelope+adaptive thr+margin)
T01,70,1,axial,data/raw/segments/A70_p1.txt,2935,149429,2.9299,87603,20.25727,0.7277,True,low_contrast,full-contact window (envelope+adaptive thr+margin)
T01,70,2,axial,data/raw/segments/A70_p2.txt,2973,134832,2.6372,67781,22.58348,0.6883,True,low_contrast,full-contact window (envelope+adaptive thr+margin)
T01,70,3,axial,data/raw/segments/A70_p3.txt,2139,118840,2.334,114781,26.07385,0.4966,True,low_contrast,full-contact window (envelope+adaptive thr+margin)
T01,70,4,axial,data/raw/segments/A70_p4.txt,914,102658,2.0349,97030,18.33056,0.8728,True,valid,full-contact window (envelope+adaptive thr+margin)
T01,70,5,axial,data/raw/segments/A70_p5.txt,443,86497,1.7211,82631,11.67226,0.8726,True,valid,full-contact window (envelope+adaptive thr+margin)
T01,70,6,axial,data/raw/segments/A70_p6.txt,539,68110,1.3514,32057,21.74731,0.7743,True,low_contrast,full-contact window (envelope+adaptive thr+margin)
T01,73,1,axial,data/raw/segments/A73_p1.txt,2755,151271,2.9703,116432,27.25267,0.5657,True,low_contrast,full-contact window (envelope+adaptive thr+margin)
T01,73,2,axial,data/raw/segments/A73_p2.txt,2281,137158,2.6975,67415,22.3088,0.6551,True,valid,full-contact window (envelope+adaptive thr+margin)
T01,73,3,axial,data/raw/segments/A73_p3.txt,1245,118183,2.3388,94521,23.82285,0.669,True,low_contrast,full-contact window (envelope+adaptive thr+margin)
T01,73,4,axial,data/raw/segments/A73_p4.txt,1259,101904,2.0129,98587,23.57558,0.4496,True,low_contrast,full-contact window (envelope+adaptive thr+margin)
T01,73,5,axial,data/raw/segments/A73_p5.txt,796,85326,1.6906,82121,24.10321,0.6329,True,low_contrast,full-contact window (envelope+adaptive thr+margin)
T01,73,6,axial,data/raw/segments/A73_p6.txt,639,70565,1.3985,66901,13.16984,0.8086,True,valid,full-contact window (envelope+adaptive thr+margin)
T01,74,1,axial,data/raw/segments/A74_p1.txt,1555,151746,3.0038,135701,32.72502,0.6294,True,low_contrast,full-contact window (envelope+adaptive thr+margin)
T01,74,2,axial,data/raw/segments/A74_p2.txt,349,137536,2.7437,121413,17.07719,0.8363,True,valid,full-contact window (envelope+adaptive thr+margin)
T01,74,3,axial,data/raw/segments/A74_p3.txt,1824,121300,2.3895,8379,16.92714,0.8828,True,valid,full-contact window (envelope+adaptive thr+margin)
T01,74,4,axial,data/raw/segments/A74_p4.txt,1081,102321,2.0248,8410,21.98457,0.8479,True,valid,full-contact window (envelope+adaptive thr+margin)
T01,74,5,axial,data/raw/segments/A74_p5.txt,335,85815,1.7096,28583,16.07404,0.8546,True,valid,full-contact window (envelope+adaptive thr+margin)
T01,74,6,axial,data/raw/segments/A74_p6.txt,346,69063,1.3743,55421,20.86846,0.8757,True,valid,full-contact window (envelope+adaptive thr+margin)
T01,75,1,axial,data/raw/segments/A75_p1.txt,2591,151726,2.9827,110621,31.69381,0.7221,True,valid,full-contact window (envelope+adaptive thr+margin)
T01,75,2,axial,data/raw/segments/A75_p2.txt,3018,137525,2.6901,133754,19.72643,0.7861,True,valid,full-contact window (envelope+adaptive thr+margin)
T01,75,3,axial,data/raw/segments/A75_p3.txt,1282,120532,2.385,115613,14.36361,0.8615,True,valid,full-contact window (envelope+adaptive thr+margin)
T01,75,4,axial,data/raw/segments/A75_p4.txt,1180,102832,2.033,40341,18.40795,0.8783,True,valid,full-contact window (envelope+adaptive thr+margin)
T01,75,5,axial,data/raw/segments/A75_p5.txt,4266,91134,1.7374,41238,11.31701,0.8251,True,valid,full-contact window (envelope+adaptive thr+margin)
T01,75,6,axial,data/raw/segments/A75_p6.txt,908,70367,1.3892,9656,17.15826,0.8795,True,valid,full-contact window (envelope+adaptive thr+margin)
T01,76,1,axial,data/raw/segments/A76_p1.txt,2226,151478,2.985,148302,30.15625,0.7809,True,valid,full-contact window (envelope+adaptive thr+margin)
T01,76,2,axial,data/raw/segments/A76_p2.txt,1683,135328,2.6729,132207,21.17919,0.6574,True,valid,full-contact window (envelope+adaptive thr+margin)
T01,76,3,axial,data/raw/segments/A76_p3.txt,1791,120556,2.3753,4060,27.73303,0.4122,True,valid,full-contact window (envelope+adaptive thr+margin)
T01,76,4,axial,data/raw/segments/A76_p4.txt,661,103061,2.048,9552,20.88441,0.845,True,valid,full-contact window (envelope+adaptive thr+margin)
T01,76,5,axial,data/raw/segments/A76_p5.txt,877,85518,1.6928,83130,31.6585,0.3181,True,valid,full-contact window (envelope+adaptive thr+margin)
T01,76,6,axial,data/raw/segments/A76_p6.txt,1429,70090,1.3732,67709,21.90735,0.8177,True,valid,full-contact window (envelope+adaptive thr+margin)
T01,77,1,axial,data/raw/segments/A77_p1.txt,2867,152488,2.9924,108201,26.44547,0.6365,True,valid,full-contact window (envelope+adaptive thr+margin)
T01,77,2,axial,data/raw/segments/A77_p2.txt,3493,137772,2.6856,8969,18.77021,0.7379,True,valid,full-contact window (envelope+adaptive thr+margin)
T01,77,3,axial,data/raw/segments/A77_p3.txt,2098,125192,2.4619,114169,26.18751,0.1395,True,valid,full-contact window (envelope+adaptive thr+margin)
T01,77,4,axial,data/raw/segments/A77_p4.txt,7623,44468,0.7369,39699,14.30762,0.0559,True,valid,full-contact window (envelope+adaptive thr+margin)
T01,66,1,rotational,data/raw/segments/R66_p1.txt,5191,154618,2.9885,47135,13.991,0.8855,True,valid,full-contact window (envelope+adaptive thr+margin)
T01,66,2,rotational,data/raw/segments/R66_p2.txt,3099,139392,2.7259,133812,9.76456,0.8327,True,valid,full-contact window (envelope+adaptive thr+margin)
T01,66,3,rotational,data/raw/segments/R66_p3.txt,2641,124472,2.4366,117205,9.99143,0.8406,True,valid,full-contact window (envelope+adaptive thr+margin)
T01,66,4,rotational,data/raw/segments/R66_p4.txt,2411,109980,2.1514,101191,8.39903,0.7883,True,valid,full-contact window (envelope+adaptive thr+margin)
T01,66,5,rotational,data/raw/segments/R66_p5.txt,694,89780,1.7817,83253,8.12028,0.7688,True,valid,full-contact window (envelope+adaptive thr+margin)
T01,66,6,rotational,data/raw/segments/R66_p6.txt,996,70798,1.396,67346,8.46236,0.7612,True,valid,full-contact window (envelope+adaptive thr+margin)
T01,67,1,rotational,data/raw/segments/R67_p1.txt,2616,151390,2.9755,32116,16.34297,0.8557,True,valid,full-contact window (envelope+adaptive thr+margin)
T01,67,2,rotational,data/raw/segments/R67_p2.txt,3754,137348,2.6719,132874,16.86294,0.6783,True,low_contrast,full-contact window (envelope+adaptive thr+margin)
T01,67,3,rotational,data/raw/segments/R67_p3.txt,3348,288392,5.7009,6053,8.25195,0.3769,True,valid,full-contact window (envelope+adaptive thr+margin)
T01,67,4,rotational,data/raw/segments/R67_p4.txt,997,102761,2.0353,3257,9.88783,0.8812,True,valid,full-contact window (envelope+adaptive thr+margin)
T01,67,5,rotational,data/raw/segments/R67_p5.txt,10467,108783,1.9663,105325,9.54218,0.7127,True,valid,full-contact window (envelope+adaptive thr+margin)
T01,67,6,rotational,data/raw/segments/R67_p6.txt,7813,102137,1.8865,95143,8.98878,0.727,True,valid,full-contact window (envelope+adaptive thr+margin)
T01,68,1,rotational,data/raw/segments/R68_p1.txt,1846,153955,3.0422,8166,11.83261,0.8623,True,valid,full-contact window (envelope+adaptive thr+margin)
T01,68,2,rotational,data/raw/segments/R68_p2.txt,4164,139011,2.6969,135179,14.17345,0.8653,True,valid,full-contact window (envelope+adaptive thr+margin)
T01,68,3,rotational,data/raw/segments/R68_p3.txt,1769,119398,2.3526,116592,16.64316,0.6718,True,low_contrast,full-contact window (envelope+adaptive thr+margin)
T01,68,4,rotational,data/raw/segments/R68_p4.txt,1227,103230,2.0401,97670,13.10175,0.8491,True,valid,full-contact window (envelope+adaptive thr+margin)
T01,68,5,rotational,data/raw/segments/R68_p5.txt,328,86678,1.727,4934,13.5813,0.8547,True,valid,full-contact window (envelope+adaptive thr+margin)
T01,68,6,rotational,data/raw/segments/R68_p6.txt,70620,170171,1.991,137353,11.40157,0.3798,True,valid,full-contact window (envelope+adaptive thr+margin)
T01,69,1,rotational,data/raw/segments/R69_p1.txt,2482,149355,2.9375,49488,18.88848,0.7891,True,valid,full-contact window (envelope+adaptive thr+margin)
T01,69,2,rotational,data/raw/segments/R69_p2.txt,3166,136585,2.6684,8547,14.45936,0.8822,True,valid,full-contact window (envelope+adaptive thr+margin)
T01,69,3,rotational,data/raw/segments/R69_p3.txt,1808,118162,2.3271,114986,18.63628,0.6958,True,valid,full-contact window (envelope+adaptive thr+margin)
T01,69,4,rotational,data/raw/segments/R69_p4.txt,815,104001,2.0637,3510,10.75007,0.8489,True,valid,full-contact window (envelope+adaptive thr+margin)
T01,69,5,rotational,data/raw/segments/R69_p5.txt,806,86541,1.7147,3143,12.50559,0.8737,True,valid,full-contact window (envelope+adaptive thr+margin)
T01,69,6,rotational,data/raw/segments/R69_p6.txt,777,69348,1.3714,2859,15.91529,0.8419,True,valid,full-contact window (envelope+adaptive thr+margin)
T01,70,1,rotational,data/raw/segments/R70_p1.txt,2739,150943,2.9641,138436,18.79878,0.6303,True,low_contrast,full-contact window (envelope+adaptive thr+margin)
T01,70,2,rotational,data/raw/segments/R70_p2.txt,4546,136556,2.6402,134244,17.56571,0.6879,True,low_contrast,full-contact window (envelope+adaptive thr+margin)
T01,70,3,rotational,data/raw/segments/R70_p3.txt,1944,118259,2.3263,115459,17.26907,0.7036,True,low_contrast,full-contact window (envelope+adaptive thr+margin)
T01,70,4,rotational,data/raw/segments/R70_p4.txt,1393,102417,2.0205,98885,17.91315,0.7648,True,low_contrast,full-contact window (envelope+adaptive thr+margin)
T01,70,5,rotational,data/raw/segments/R70_p5.txt,1354,86031,1.6935,84195,14.93335,0.8511,True,low_contrast,full-contact window (envelope+adaptive thr+margin)
T01,70,6,rotational,data/raw/segments/R70_p6.txt,764,68955,1.3638,66889,20.56495,0.3692,True,valid,full-contact window (envelope+adaptive thr+margin)
T01,73,1,rotational,data/raw/segments/R73_p1.txt,3074,153078,3.0001,51666,26.16424,0.6342,True,low_contrast,full-contact window (envelope+adaptive thr+margin)
T01,73,2,rotational,data/raw/segments/R73_p2.txt,2501,136291,2.6758,132054,24.91911,0.3952,True,valid,full-contact window (envelope+adaptive thr+margin)
T01,73,3,rotational,data/raw/segments/R73_p3.txt,1257,118738,2.3496,115735,22.17209,0.6335,True,low_contrast,full-contact window (envelope+adaptive thr+margin)
T01,73,4,rotational,data/raw/segments/R73_p4.txt,1057,102046,2.0198,99757,21.31261,0.4003,True,low_contrast,full-contact window (envelope+adaptive thr+margin)
T01,73,5,rotational,data/raw/segments/R73_p5.txt,584,85927,1.7069,82556,15.86192,0.888,True,valid,full-contact window (envelope+adaptive thr+margin)
T01,73,6,rotational,data/raw/segments/R73_p6.txt,219,70202,1.3997,67032,12.70532,0.8759,True,valid,full-contact window (envelope+adaptive thr+margin)
T01,74,1,rotational,data/raw/segments/R74_p1.txt,2665,152692,3.0005,136433,29.61834,0.5349,True,valid,full-contact window (envelope+adaptive thr+margin)
T01,74,2,rotational,data/raw/segments/R74_p2.txt,3074,135897,2.6565,37428,25.00663,0.4671,True,valid,full-contact window (envelope+adaptive thr+margin)
T01,74,3,rotational,data/raw/segments/R74_p3.txt,1627,118970,2.3469,8776,20.07945,0.5885,True,valid,full-contact window (envelope+adaptive thr+margin)
T01,74,4,rotational,data/raw/segments/R74_p4.txt,1962,104630,2.0534,7400,15.0699,0.8785,True,valid,full-contact window (envelope+adaptive thr+margin)
T01,74,5,rotational,data/raw/segments/R74_p5.txt,116,86146,1.7206,5898,14.71471,0.8707,True,valid,full-contact window (envelope+adaptive thr+margin)
T01,74,6,rotational,data/raw/segments/R74_p6.txt,305,68680,1.3675,66292,25.027,0.3743,True,low_contrast,full-contact window (envelope+adaptive thr+margin)
T01,75,1,rotational,data/raw/segments/R75_p1.txt,2963,152916,2.9991,111649,31.55711,0.7347,True,valid,full-contact window (envelope+adaptive thr+margin)
T01,75,2,rotational,data/raw/segments/R75_p2.txt,2321,135704,2.6677,132846,24.04193,0.4276,True,valid,full-contact window (envelope+adaptive thr+margin)
