tool_id,experiment_id,physical_experiment_order,recorded_signal_order,official_target,official_target_source,official_target_column,official_target_status,VB_um,VB_um_legacy_vb_targets,vb_targets_csv_status,vs_status,physical_experiment_performed,raw_signal_recorded,has_wear_result,missing_reason,expected_contacts,valid_contacts,missing_contacts,include_in_signal_modeling,include_in_feature_modeling,include_in_pinn_sensor_input,include_in_trajectory_analysis,row_type,feature_reliability,energy_total_reliability,rms_mean_reliability,sampling_rate_hz,sampling_rate_status,data_origin_status,notes
T01,66,1,1,VB,data/targets/microscope_vb.csv,VB_um,confirmed,103,85,legacy_model_ready_subset,legacy_misnamed_column_resolved,True,True,True,,6,6,,True,True,True,True,full_signal_and_target,full,acceptable,acceptable,50000,confirmed,in_house_laboratory_data,official VB differs from legacy vb_targets subset (re-baseline required for P8+)
T01,67,2,2,VB,data/targets/microscope_vb.csv,VB_um,confirmed,108,103,legacy_model_ready_subset,legacy_misnamed_column_resolved,True,True,True,,6,6,,True,True,True,True,full_signal_and_target,full,acceptable,acceptable,50000,confirmed,in_house_laboratory_data,official VB differs from legacy vb_targets subset (re-baseline required for P8+)
T01,68,3,3,VB,data/targets/microscope_vb.csv,VB_um,confirmed,121,119,legacy_model_ready_subset,legacy_misnamed_column_resolved,True,True,True,,6,6,,True,True,True,True,full_signal_and_target,full,acceptable,acceptable,50000,confirmed,in_house_laboratory_data,official VB differs from legacy vb_targets subset (re-baseline required for P8+)
T01,69,4,4,VB,data/targets/microscope_vb.csv,VB_um,confirmed,136,136,legacy_model_ready_subset,legacy_misnamed_column_resolved,True,True,True,,6,6,,True,True,True,True,full_signal_and_target,full,acceptable,acceptable,50000,confirmed,in_house_laboratory_data,official VB differs from legacy vb_targets subset (re-baseline required for P8+)
T01,70,5,5,VB,data/targets/microscope_vb.csv,VB_um,confirmed,148,150,legacy_model_ready_subset,legacy_misnamed_column_resolved,True,True,True,,6,6,,True,True,True,True,full_signal_and_target,full,acceptable,acceptable,50000,confirmed,in_house_laboratory_data,official VB differs from legacy vb_targets subset (re-baseline required for P8+)
T01,71,6,,VB,data/targets/microscope_vb.csv,VB_um,confirmed,159,,legacy_model_ready_subset,legacy_misnamed_column_resolved,True,False,True,acquisition_not_recorded,0,0,,False,False,False,True,target_only_missing_signal,n/a,n/a,n/a,,confirmed,in_house_laboratory_data,"performed, signals not recorded; official VB from microscope_vb.csv; trajectory/RUL only; never synthetic signals as real"
T01,72,7,,VB,data/targets/microscope_vb.csv,VB_um,confirmed,170,,legacy_model_ready_subset,legacy_misnamed_column_resolved,True,False,True,acquisition_not_recorded,0,0,,False,False,False,True,target_only_missing_signal,n/a,n/a,n/a,,confirmed,in_house_laboratory_data,"performed, signals not recorded; official VB from microscope_vb.csv; trajectory/RUL only; never synthetic signals as real"
T01,73,8,6,VB,data/targets/microscope_vb.csv,VB_um,confirmed,176,168,legacy_model_ready_subset,legacy_misnamed_column_resolved,True,True,True,,6,6,,True,True,True,True,full_signal_and_target,full,acceptable,acceptable,50000,confirmed,in_house_laboratory_data,official VB differs from legacy vb_targets subset (re-baseline required for P8+)
T01,74,9,7,VB,data/targets/microscope_vb.csv,VB_um,confirmed,181,190,legacy_model_ready_subset,legacy_misnamed_column_resolved,True,True,True,,6,6,,True,True,True,True,full_signal_and_target,full,acceptable,acceptable,50000,confirmed,in_house_laboratory_data,official VB differs from legacy vb_targets subset (re-baseline required for P8+)
T01,75,10,8,VB,data/targets/microscope_vb.csv,VB_um,confirmed,189,215,legacy_model_ready_subset,legacy_misnamed_column_resolved,True,True,True,,6,6,,True,True,True,True,full_signal_and_target,full,acceptable,acceptable,50000,confirmed,in_house_laboratory_data,official VB differs from legacy vb_targets subset (re-baseline required for P8+)
T01,76,11,9,VB,data/targets/microscope_vb.csv,VB_um,confirmed,200,245,legacy_model_ready_subset,legacy_misnamed_column_resolved,True,True,True,,6,6,,True,True,True,True,full_signal_and_target,full,acceptable,acceptable,50000,confirmed,in_house_laboratory_data,official VB differs from legacy vb_targets subset (re-baseline required for P8+)
T01,77,12,10,VB,data/targets/microscope_vb.csv,VB_um,confirmed,212,280,legacy_model_ready_subset,legacy_misnamed_column_resolved,True,True,True,only_4_segmentable_peaks,6,4,"p5,p6",True,True,True,True,end_of_life_partial_contacts,partial,low,acceptable,50000,confirmed,in_house_laboratory_data,"end_of_life_anchor; 4 segmentable peaks; p5/p6 not recoverable, no imputation"
