feature_name,sensor_axis,domain,feature_family,missing_rate,constant_flag,min,max,mean,std,notes
experiment_id,meta,meta,meta,0.0,False,66.0,77.0,71.5,3.9791121287711073,metadata/target
tool_id,meta,meta,meta,1.0,True,,,,,metadata/target
experiment_order,meta,meta,meta,0.0,False,1.0,10.0,5.5,3.0276503540974917,metadata/target
A_p1_mean,A,time,mean,0.0,False,-5.053199070666362e-16,1.7205030287657365e-15,2.874085644959341e-16,7.115549496154803e-16,
A_p1_std,A,time,std,0.0,False,27.453498911733256,68.76314293998189,41.589605825692956,11.900059196991853,
A_p1_rms,A,time,rms,0.0,False,27.453498911733256,68.76314293998189,41.589605825692956,11.900059196991853,
A_p1_max,A,time,max,0.0,False,110.93266358280889,252.6480419642391,193.5083880155909,43.76088665998609,
A_p1_min,A,time,min,0.0,False,-268.303425398937,-113.21437841719111,-213.24825628440914,49.98768860119688,
A_p1_peak_to_peak,A,time,peak_to_peak,0.0,False,224.147042,518.2394710000001,406.75664430000006,91.26991414889511,
A_p1_skewness,A,time,skew,0.0,False,-0.149426704395154,0.1924585695568947,0.0447863097943639,0.11836206529401708,
A_p1_kurtosis,A,time,kurt,0.0,False,-0.0132546029400266,0.8446846748752685,0.40516685902960126,0.3041343768911772,
A_p1_crest_factor,A,time,crest_factor,0.0,False,3.862409681703692,7.158852562178938,5.280706041488128,1.1292014990847523,
A_p1_energy,A,time,energy,0.0,False,2380.800658150169,16009.40912760027,6156.159635845846,3877.9623908327458,
A_p1_absolute_mean,A,time,absolute_mean,0.0,False,21.54077481408859,51.09795170490368,31.606668643408955,8.762284614300286,
A_p1_duration_s,A,time,duration_s,0.0,False,3.158820000000002,3.465079999999997,3.3107659999999997,0.11818282674643424,
A_p1_n_samples,A,time,n_samples,0.0,False,157942.0,173255.0,165539.3,5909.14133732173,
A_p1_dominant_freq_hz,A,frequency,dominant_freq_hz,0.0,False,1878.1564746317213,5254.637458082921,3799.8092417901926,1524.9163519222614,
A_p1_spectral_energy,A,frequency,spectral_energy,0.0,False,9400710438919.207,67756222015514.36,25531166141089.465,16393468000843.217,
A_p1_spectral_centroid_hz,A,frequency,spectral_centroid_hz,0.0,False,3655.4864856513855,6768.06732223256,5492.919289909683,1256.61616511348,
R_p1_mean,R,time,mean,0.0,False,-1.4263134001949412e-15,1.2705713621078661e-15,6.870127551566205e-17,6.912570282234951e-16,
R_p1_std,R,time,std,0.0,False,24.76545157616504,55.64651777402518,35.19721025170004,11.046343895696712,
R_p1_rms,R,time,rms,0.0,False,24.76545157616504,55.64651777402518,35.19721025170004,11.046343895696712,
R_p1_max,R,time,max,0.0,False,111.65171964831518,201.4237157647445,153.53248204097824,27.52124784402788,
R_p1_min,R,time,min,0.0,False,-220.78708423525552,-104.17473435168482,-159.11870885902175,39.76548605650711,
R_p1_peak_to_peak,R,time,peak_to_peak,0.0,False,215.826454,422.2108,312.65119089999996,62.616268650610984,
R_p1_skewness,R,time,skew,0.0,False,-0.2246001072178951,0.1082352618649385,-0.05133252392921117,0.11079840174245256,
R_p1_kurtosis,R,time,kurt,0.0,False,-0.2038449893678207,0.7578772589448657,0.3280466044654543,0.32917766662573417,
R_p1_crest_factor,R,time,crest_factor,0.0,False,3.771236874119085,6.442563446356998,4.986201967898181,1.0151585584833425,
R_p1_energy,R,time,energy,0.0,False,1944.665528677665,9949.104832725743,4387.718535053956,2826.3980191784926,
R_p1_absolute_mean,R,time,absolute_mean,0.0,False,19.249084907423764,43.04490336591898,26.951934373355108,8.623508506448362,
R_p1_duration_s,R,time,duration_s,0.0,False,3.1706600000000016,3.4576800000000034,3.2715979999999987,0.0782537339968172,
R_p1_n_samples,R,time,n_samples,0.0,False,158534.0,172885.0,163580.9,3912.6866998408027,
R_p1_dominant_freq_hz,R,frequency,dominant_freq_hz,0.0,False,1878.0198742619991,5254.818145167061,4333.6603606125955,1270.0609615180342,
R_p1_spectral_energy,R,frequency,spectral_energy,0.0,False,7707390123084.639,39957843556813.92,17850110371192.21,11271107536250.412,
R_p1_spectral_centroid_hz,R,frequency,spectral_centroid_hz,0.0,False,4630.796827301423,6044.570424419756,5273.928935679059,513.2157402171894,
A_p2_mean,A,time,mean,0.0,False,-1.2391979428153973e-15,5.418742325978035e-16,-9.334506420506117e-17,6.199840903395152e-16,
A_p2_std,A,time,std,0.0,False,28.20848906090293,42.01195842339696,33.228623142599226,4.286548714768528,
A_p2_rms,A,time,rms,0.0,False,28.20848906090293,42.01195842339696,33.228623142599226,4.286548714768528,
A_p2_max,A,time,max,0.0,False,119.60067234542652,246.47762052208245,193.84679026899877,41.80588173369111,
A_p2_min,A,time,min,0.0,False,-265.4716585641979,-125.12397554832852,-198.89196013100118,48.01266404391743,
A_p2_peak_to_peak,A,time,peak_to_peak,0.0,False,251.159935,496.052887,392.73875039999996,88.35509201074973,
A_p2_skewness,A,time,skew,0.0,False,-0.1857671567113383,0.1825866435651624,0.037807521648852684,0.10922256073158164,
A_p2_kurtosis,A,time,kurt,0.0,False,-0.1932758731861161,2.08654076853729,0.7540991936180218,0.6533282715360509,
A_p2_crest_factor,A,time,crest_factor,0.0,False,4.066085695174864,9.123440377688087,6.146201273616684,1.484631562322938,
A_p2_energy,A,time,energy,0.0,False,2387.586253478993,5239.910506516938,3409.062779465814,911.9360497092887,
A_p2_absolute_mean,A,time,absolute_mean,0.0,False,21.40931823021946,31.830132049079527,25.123743978264493,3.136295412435738,
A_p2_duration_s,A,time,duration_s,0.0,False,2.8303999999999974,3.29074,3.0427780000000006,0.13663832306087834,
A_p2_n_samples,A,time,n_samples,0.0,False,141521.0,164538.0,152139.9,6831.916153043904,
A_p2_dominant_freq_hz,A,frequency,dominant_freq_hz,0.0,False,1882.2399689538256,6048.949400319272,3553.4017660919717,1599.3038097484102,
A_p2_spectral_energy,A,frequency,spectral_energy,0.0,False,8955060071267.33,19445176891921.664,12984329749021.898,3565096050311.03,
A_p2_spectral_centroid_hz,A,frequency,spectral_centroid_hz,0.0,False,2930.694915570726,7356.609405911672,5544.310286418373,1703.1359095073033,
