script_path,purpose,input_files,output_files,uses_target,uses_raw_signal,uses_features,trains_models,makes_figures,registered_in_run_py,current_status,notes
scripts/audit_data.py,audit_data,data/raw/segments/;data/raw/targets/vb_targets.csv,,True,True,False,False,False,True,active (run.py),
scripts/audit_outputs.py,audit_outputs,,,False,False,False,False,False,True,active (run.py),
scripts/build_before_after_nested.py,build_before_after_nested,,,False,False,False,False,False,False,standalone/auxiliary,
scripts/build_dataset.py,build_dataset,data/processed/experiment_features.csv;data/raw/metadata/experiment_metadata.csv;data/raw/segments/;data/raw/targets/vb_targets.csv,,True,True,True,False,False,True,active (run.py),
scripts/build_p1_closure.py,build_p1_closure,data/processed/experiment_features.csv,,False,False,True,True,False,False,standalone/auxiliary,
scripts/build_paper_zips.py,build_paper_zips,,,False,False,False,False,False,False,standalone/auxiliary,
scripts/build_pipeline_presentation.py,Build PowerPoint presentation summarizing the tool wear pipeline chronologically,,,True,False,False,True,False,True,active (run.py),
scripts/build_pipeline_presentation_en.py,Build PowerPoint presentation summarizing the tool wear pipeline chronologically,,,True,False,False,True,False,True,active (run.py),
scripts/check_feature_redundancy.py,check_feature_redundancy,data/raw/segments/,,False,True,False,False,False,False,standalone/auxiliary,
scripts/derive_rul.py,derive_rul,data/processed/experiment_features.csv,,False,False,True,True,True,True,active (run.py),
scripts/finalize_visual_qa.py,finalize_visual_qa,,,False,False,False,False,False,False,standalone/auxiliary,
scripts/ingest.py,ingest,data/processed/experiment_features.csv;data/raw/metadata/experiment_metadata.csv;data/raw/segments/;data/raw/targets/vb_targets.csv,,True,True,True,False,False,True,active (run.py),
scripts/make_paper_figures_v2.py,make_paper_figures_v2,data/processed/experiment_features.csv,,False,False,True,True,True,False,standalone/auxiliary,
scripts/make_paper_figures_v3.py,make_paper_figures_v3,data/processed/experiment_features.csv,,False,False,True,True,True,False,standalone/auxiliary,
scripts/make_paper_figures_v4.py,make_paper_figures_v4,data/processed/experiment_features.csv,,False,False,True,True,True,False,standalone/auxiliary,
scripts/make_synthetic_focus_figures.py,make_synthetic_focus_figures,,,False,False,False,True,True,False,standalone/auxiliary,
scripts/prepare_overleaf_workspace.py,prepare_overleaf_workspace,,,False,False,False,False,False,True,active (run.py),
scripts/regen_modified_figures.py,regen_modified_figures,,,False,False,False,False,False,False,standalone/auxiliary,
scripts/run_layered_pipeline.py,run_layered_pipeline,data/processed/experiment_features.csv,,True,False,True,True,False,True,active (run.py),
scripts/run_nested_benchmark_metrics.py,run_nested_benchmark_metrics,data/processed/experiment_features.csv,,False,False,True,True,False,False,standalone/auxiliary,
scripts/run_pinn.py,run_pinn,data/processed/experiment_features.csv,,False,False,True,True,False,True,active (run.py),
scripts/run_pinn_comparison.py,run_pinn_comparison,data/processed/experiment_features.csv,,False,False,True,True,True,True,active (run.py),
scripts/run_signal_qa.py,run_signal_qa,,outputs/metrics/t01_signal_qa.csv,False,True,False,False,False,True,active (run.py),
scripts/run_time_aware_baselines.py,run_time_aware_baselines,data/processed/experiment_features.csv,,True,False,True,True,True,True,active (run.py),
scripts/uncertainty_analysis.py,uncertainty_analysis,data/processed/experiment_features.csv,,False,False,True,True,True,True,active (run.py),
scripts/validate_bnn_entrant.py,validate_bnn_entrant,data/processed/experiment_features.csv,,False,False,True,False,False,False,standalone/auxiliary,
scripts/validate_physics_assumptions.py,validate_physics_assumptions,data/processed/experiment_features.csv,,False,False,True,False,False,True,active (run.py),
