experiment_id,contact_id,channel,original_n_samples,active_window_n_samples,retained_fraction,original_duration_s,active_duration_s,rms_full,rms_active,energy_full,energy_active,waveform_length_full,waveform_length_active,dominant_frequency_full,dominant_frequency_active,notes
66,1,axial,173255,150785,0.8703,3.4651,3.0157,29.5016,31.617,150791602.15483978,150730273.54818755,2122980.04,2101206.47,1878.16,1878.17,
66,2,axial,164538,135787,0.8253,3.2908,2.7157,29.0978,31.9993,139310953.20877233,139039443.94284362,1711257.01,1652964.04,1882.24,1882.36,
66,3,axial,135145,120988,0.8952,2.7029,2.4198,31.5998,33.381,134948657.92447695,134816258.7676624,1607524.16,1578126.23,1908.69,1908.87,
66,4,axial,119675,103199,0.8623,2.3935,2.064,29.8208,32.0824,106424455.26901798,106220579.86853294,1363683.08,1325388.13,1792.35,1817.85,
66,5,axial,107628,86820,0.8067,2.1526,1.7364,24.6425,27.3881,65357306.72532083,65124276.37383234,1036098.46,989158.76,2122.59,2122.21,
66,6,axial,104089,70815,0.6803,2.0818,1.4163,22.9696,27.7838,54917464.43653026,54664742.776347704,895085.36,831525.3,1575.09,1575.23,
67,1,axial,172508,151954,0.8809,3.4502,3.0391,36.1909,38.5263,225947348.48744747,225541616.52646092,3766179.79,3708329.06,1996.14,1996.0,
67,2,axial,152447,134917,0.885,3.0489,2.6983,29.5262,31.266,132903043.3456287,131889664.7333907,2758048.5,2670931.15,2207.65,2207.65,
67,3,axial,311410,300734,0.9657,6.2282,6.0147,18.9645,19.2812,111998834.98338002,111802769.86351189,2873120.23,2848657.47,5531.45,5531.47,
67,4,axial,110485,101740,0.9208,2.2097,2.0348,28.5131,29.6544,89823706.4387229,89468289.72271784,1889921.29,1857407.63,2074.49,2074.41,
67,5,axial,119009,98304,0.826,2.3802,1.9661,27.4878,29.976,89920768.66685025,88332329.0187251,1966074.26,1844390.48,1998.59,1998.39,
67,6,axial,116949,92391,0.79,2.339,1.8478,25.0206,27.8217,73213385.51606856,71514937.38950153,1832382.13,1695495.5,4825.61,4825.69,
68,1,axial,172150,151287,0.8788,3.443,3.0257,37.4786,39.9142,241809091.49189565,241022325.74660048,4198277.66,4109741.62,4999.13,4998.45,
68,2,axial,149502,134679,0.9009,2.99,2.6936,33.8835,35.57,171642312.70113823,170399693.036291,3359501.06,3259374.95,2284.58,2284.69,
68,3,axial,134987,122983,0.9111,2.6997,2.4597,32.9418,34.4671,146483121.1567846,146101394.04278708,3056483.68,3000251.37,2282.81,2282.84,
68,4,axial,132682,102461,0.7722,2.6536,2.0492,31.542,35.7117,132005170.92189966,130671099.728832,2705795.75,2561906.41,2279.13,1560.11,
68,5,axial,104865,95672,0.9123,2.0973,1.9134,34.8179,36.4281,127126689.02676533,126957637.32265933,2315649.61,2284975.64,2274.83,2244.13,
68,6,axial,118667,99383,0.8375,2.3733,1.9877,32.4336,35.1802,124830446.2060167,123001057.26047857,2275908.09,2139213.45,1262.78,1262.79,
69,1,axial,159678,147102,0.9212,3.1936,2.942,45.4587,47.3008,329972979.27131766,329120610.1384105,4594514.93,4536214.03,5254.64,5254.86,
69,2,axial,148439,134717,0.9076,2.9688,2.6943,42.012,44.0302,261995525.32584664,261170252.15739402,4342398.4,4268521.86,6048.95,2227.26,
69,3,axial,128690,117240,0.911,2.5738,2.3448,40.4685,42.2878,210755851.24595988,209655459.7709853,3683848.29,3608668.49,2085.24,2085.47,
69,4,axial,108780,100349,0.9225,2.1756,2.007,42.1959,43.8079,193682582.78171945,192582978.12774983,3247295.55,3176924.98,2305.57,2306.45,
69,5,axial,95736,85331,0.8913,1.9147,1.7066,40.769,43.0487,159123851.86513507,158134718.1192913,2646630.03,2569470.62,2214.42,2214.9,
69,6,axial,81275,68970,0.8486,1.6255,1.3794,43.8922,47.4341,156578326.6701391,155181764.62625024,2405521.77,2301582.54,2230.7,2230.68,
70,1,axial,157942,146495,0.9275,3.1588,2.9299,27.4535,28.4253,119040032.90750837,118367812.76308069,1962687.99,1919833.55,2150.47,2150.59,low_contrast
70,2,axial,141521,131860,0.9317,2.8304,2.6372,30.516,31.5227,131788218.71967834,131026845.97561692,1692388.99,1652527.6,1900.42,1900.5,low_contrast
70,3,axial,123391,116702,0.9458,2.4678,2.334,32.7074,33.5745,132000856.21921329,131551719.23799741,1428779.8,1402966.85,1887.5,1888.14,low_contrast
70,4,axial,110881,101745,0.9176,2.2176,2.0349,33.4741,34.9195,124243887.23718697,124064761.63207956,1340542.03,1313924.43,1946.68,1947.02,
70,5,axial,95023,86055,0.9056,1.9005,1.7211,27.4971,28.8541,71845894.82168475,71645795.99316554,965521.82,937049.53,1383.35,1383.42,
70,6,axial,72560,67572,0.9313,1.4512,1.3514,30.2683,31.3196,66477229.96076623,66282619.08318236,785569.95,765153.48,2039.0,1338.57,low_contrast
73,1,axial,160462,148517,0.9256,3.2092,2.9703,35.008,36.296,196656174.94585297,195656682.74636972,2217036.87,2178106.65,2116.08,2150.26,low_contrast
73,2,axial,146639,134878,0.9198,2.9328,2.6976,32.3553,33.7049,153510927.95826843,153224079.0516277,1555295.26,1523812.89,2150.52,2150.46,
73,3,axial,127456,116939,0.9175,2.5491,2.3388,34.0011,35.4148,147348607.07463083,146665818.72075015,1393672.35,1364382.25,1975.58,1975.82,low_contrast
73,4,axial,108169,100646,0.9305,2.1634,2.0129,28.4278,29.4228,87415576.21777451,87129447.6172366,1205577.8,1185235.67,2125.84,2125.77,low_contrast
73,5,axial,90840,84531,0.9305,1.8168,1.6906,30.8458,31.9426,86431114.48149227,86249652.13173997,1040998.58,1023999.06,2152.14,2152.46,low_contrast
73,6,axial,82484,69927,0.8478,1.6497,1.3985,28.5031,30.8375,67012079.52969705,66496990.76083136,1022651.1,953429.14,2116.17,2116.49,
74,1,axial,161005,150192,0.9328,3.2201,3.0038,45.0495,46.5834,326753104.18575245,325918563.55787235,4767602.57,4713677.45,4981.52,4981.62,low_contrast
74,2,axial,159214,137188,0.8617,3.1843,2.7438,37.7644,40.5858,227063461.75769544,225976831.27552992,3750069.37,3642469.64,4779.1,4779.21,
74,3,axial,131845,119477,0.9062,2.6369,2.3895,33.7704,35.42,150361237.46363902,149892825.06005678,2992447.23,2935522.31,2194.24,2194.15,
74,4,axial,111107,101241,0.9112,2.2221,2.0248,33.3031,34.7953,123228239.80257921,122574065.15829086,2546697.79,2489518.06,1717.26,1717.19,
74,5,axial,96510,85481,0.8857,1.9302,1.7096,34.5821,36.676,115418142.1837292,114983244.98382555,2225164.92,2174869.69,2305.98,2305.78,
74,6,axial,74845,68718,0.9181,1.4969,1.3744,35.8726,37.362,96313904.54865907,95924835.86260705,1805983.23,1766694.27,2306.77,4728.75,
75,1,axial,162548,149136,0.9175,3.251,2.9827,50.1505,52.3107,408819313.26693016,408097364.3313478,4598349.16,4537193.39,4914.86,4914.98,
75,2,axial,150258,134508,0.8952,3.0052,2.6902,34.6706,36.5718,180618130.96448538,179903566.9282527,3037129.81,2956939.32,4818.71,4818.67,
