branch,model,n_features,MAE,RMSE,R2
FUSION,DummyRegressor,203,56.35555555555557,66.6823129787617,-0.23456790123456805
SOLO_A,DummyRegressor,101,56.35555555555557,66.6823129787617,-0.23456790123456805
SOLO_R,DummyRegressor,99,56.35555555555557,66.6823129787617,-0.23456790123456805
FUSION,ElasticNet,203,26.959668383421945,37.87890222950761,0.6016283372215275
SOLO_A,ElasticNet,101,21.63086735973058,29.111669986024815,0.7646967591949285
SOLO_R,ElasticNet,99,30.947568337376385,40.38287131045266,0.5472191401046231
FUSION,Lasso,203,33.65520332639909,39.96315208925362,0.5565821808904109
SOLO_A,Lasso,101,31.320645966276448,42.81605893859265,0.491012579363288
SOLO_R,Lasso,99,37.5302642415956,43.80970041639096,0.46711409072576315
FUSION,MLP,203,167.32543296709994,360.6848465457707,-35.12014319048729
SOLO_A,MLP,101,185.56489114068694,292.95677165731195,-22.828722088762333
SOLO_R,MLP,99,273.5412853046249,682.3303351009896,-128.26561869539822
FUSION,RandomForest,203,47.425946428571436,60.27082832346072,-0.008574515518013692
SOLO_A,RandomForest,101,52.70500238095237,62.73173022808753,-0.0926176260060001
SOLO_R,RandomForest,99,47.380425000000024,59.095984945629695,0.030362014306036578
FUSION,Ridge,203,42.5828493152964,65.34621258152556,-0.18558995881098284
SOLO_A,Ridge,101,26.128811500581595,32.01420657827957,0.7154365248434045
SOLO_R,Ridge,99,48.689424672742,84.29088249161344,-0.9726719598896592
FUSION,SVR,203,60.24311227420817,69.56571176951118,-0.34364374890640415
SOLO_A,SVR,101,63.22877640606871,72.435452426922,-0.45678688845871807
SOLO_R,SVR,99,56.57074862033271,66.06663648859205,-0.21187566306810468
FUSION,XGBoost,203,46.552085876464844,58.679561493025105,0.04397909397707345
SOLO_A,XGBoost,101,50.874935913085935,64.24974411253773,-0.14613684646001635
SOLO_R,XGBoost,99,44.03835525512695,58.50942457270663,0.04951487667477039
