model,feature_subset,data_branch,tuning_branch,tuning_method,validation_type,augmentation_strategy,branch_id,n_features,MAE,RMSE,R2,MAPE_%,n_train,n_train_original,n_train_augmented,n_test,n_folds,notes
DummyRegressor,FUSION,N,ST,none,loeo,none,FUSION_N_ST,189,56.35555555555557,66.6823129787617,-0.23456790123456805,38.43096405818544,9,9,0,10,10,
Ridge,FUSION,N,ST,none,loeo,none,FUSION_N_ST,189,40.26449694139493,60.21782392980279,-0.0068013401599609224,26.40992576350075,9,9,0,10,10,
Lasso,FUSION,N,ST,none,loeo,none,FUSION_N_ST,189,33.63853415760626,39.94092827471477,0.557075219842377,21.64623801586801,9,9,0,10,10,
ElasticNet,FUSION,N,ST,none,loeo,none,FUSION_N_ST,189,24.526676518034854,35.84298307324255,0.6433009405060537,15.58426132907919,9,9,0,10,10,
SVR,FUSION,N,ST,none,loeo,none,FUSION_N_ST,189,60.412689646515574,69.81718688572498,-0.35337566104696605,39.33571143904285,9,9,0,10,10,
RandomForest,FUSION,N,ST,none,loeo,none,FUSION_N_ST,189,47.66107142857145,61.91524268301168,-0.064360696366492,32.16679832199162,9,9,0,10,10,
XGBoost,FUSION,N,ST,none,loeo,none,FUSION_N_ST,189,46.2455810546875,57.112623235796626,0.09435522411033259,29.4498463630217,9,9,0,10,10,
MLP,FUSION,N,ST,none,loeo,none,FUSION_N_ST,189,232.668214776481,595.6639641539172,-97.51363059884639,101.89454086909187,9,9,0,10,10,
BNN,FUSION,N,ST,none,loeo,none,FUSION_N_ST,189,44.90078277587891,58.83829186406045,0.038799955165391364,27.978720438914152,9,9,0,10,10,
DummyRegressor,FUSION,N,CT,none,loeo,none,FUSION_N_CT_random,189,56.35555555555557,66.6823129787617,-0.23456790123456805,38.43096405818544,9,9,0,10,10,
Ridge,FUSION,N,CT,random,loeo,none,FUSION_N_CT_random,189,38.88883872880332,60.73529244423498,-0.02417913487466916,23.454545669507315,9,9,0,10,10,
Lasso,FUSION,N,CT,random,loeo,none,FUSION_N_CT_random,189,27.606750885933554,43.63310178957762,0.47140159986571806,15.830737181041183,9,9,0,10,10,
ElasticNet,FUSION,N,CT,random,loeo,none,FUSION_N_CT_random,189,26.10265251044479,34.60644166536894,0.6674878169030141,16.557561622248063,9,9,0,10,10,
SVR,FUSION,N,CT,random,loeo,none,FUSION_N_CT_random,189,50.53833015373219,64.34763687020316,-0.14963208126727445,34.703401643392155,9,9,0,10,10,
RandomForest,FUSION,N,CT,random,loeo,none,FUSION_N_CT_random,189,50.22903095238097,63.71751777672325,-0.1272269605732428,34.2120473507212,9,9,0,10,10,
XGBoost,FUSION,N,CT,random,loeo,none,FUSION_N_CT_random,189,40.97562255859375,58.127967914555796,0.061867997002621467,26.45969068812602,9,9,0,10,10,
MLP,FUSION,N,CT,none,loeo,none,FUSION_N_CT_random,189,232.668214776481,595.6639641539172,-97.51363059884639,101.89454086909187,9,9,0,10,10,
BNN,FUSION,N,CT,none,loeo,none,FUSION_N_CT_random,189,44.90078277587891,58.83829186406045,0.038799955165391364,27.978720438914152,9,9,0,10,10,
DummyRegressor,FUSION,N,CT,none,loeo,none,FUSION_N_CT_grid,189,56.35555555555557,66.6823129787617,-0.23456790123456805,38.43096405818544,9,9,0,10,10,
