tuning_method,data_branch,augmentation_strategy,best_MAE,best_MAE_baseline_N,delta_vs_N
grid,A,feature_noise,26.268621448232853,19.0676065719693,7.201014876263553
grid,A,feature_scaling,22.722394842650555,19.0676065719693,3.654788270681255
grid,A,grouped_scaling,23.854244687017548,19.0676065719693,4.786638115048248
grid,N,none,19.0676065719693,19.0676065719693,0.0
none,A,feature_noise,19.373963157729463,19.0676065719693,0.3063565857601631
none,A,feature_scaling,20.890492088259936,19.0676065719693,1.8228855162906363
none,A,grouped_scaling,19.401603473744853,19.0676065719693,0.33399690177555286
none,N,none,19.0676065719693,19.0676065719693,0.0
random,A,feature_noise,26.268621448232853,19.0676065719693,7.201014876263553
random,A,feature_scaling,22.722394842650555,19.0676065719693,3.654788270681255
random,A,grouped_scaling,23.854244687017548,19.0676065719693,4.786638115048248
random,N,none,19.0676065719693,19.0676065719693,0.0
