branch_id,data_branch,tuning_method,augmentation_strategy,model,MAE,RMSE,R2,MAPE_%
SOLO_A_N_ST,N,none,none,ElasticNet,19.0676065719693,26.547358239846673,0.8043245727659085,14.830258023774057
SOLO_A_N_CT_grid,N,grid,none,ElasticNet,19.0676065719693,26.547358239846673,0.8043245727659085,14.830258023774057
SOLO_A_N_CT_random,N,random,none,ElasticNet,19.0676065719693,26.547358239846673,0.8043245727659085,14.830258023774057
SOLO_A_A_ST_feature_noise,A,none,feature_noise,ElasticNet,19.373963157729463,26.69487143477136,0.8021439488354156,14.865807026280109
SOLO_A_A_ST_grouped_scaling,A,none,grouped_scaling,ElasticNet,19.401603473744853,26.957121334392316,0.7982373856058824,15.697784895222691
SOLO_A_A_ST_feature_scaling,A,none,feature_scaling,ElasticNet,20.890492088259936,27.34325677894394,0.7924158683064718,16.444624514621715
SOLO_A_A_CT_grid_feature_scaling,A,grid,feature_scaling,ElasticNet,22.722394842650555,29.571904110112012,0.7571980062976937,18.51345555902098
SOLO_A_A_CT_random_feature_scaling,A,random,feature_scaling,ElasticNet,22.722394842650555,29.571904110112012,0.7571980062976937,18.51345555902098
SOLO_R_A_CT_grid_grouped_scaling,A,grid,grouped_scaling,Ridge,23.854244687017548,29.757116542575073,0.7541470851382559,17.067821078794466
SOLO_R_A_CT_random_grouped_scaling,A,random,grouped_scaling,Ridge,23.854244687017548,29.757116542575073,0.7541470851382559,17.067821078794466
SOLO_A_A_CT_random_grouped_scaling,A,random,grouped_scaling,Lasso,24.05112736125351,40.59702146075597,0.5424042181628401,13.481650881135849
SOLO_A_A_CT_grid_grouped_scaling,A,grid,grouped_scaling,Lasso,24.05112736125351,40.59702146075597,0.5424042181628401,13.481650881135849
FUSION_A_ST_feature_scaling,A,none,feature_scaling,ElasticNet,24.411414565374233,34.965841246187736,0.6605454511483211,15.619579459355403
FUSION_A_ST_grouped_scaling,A,none,grouped_scaling,ElasticNet,24.463259741025645,35.731537839028306,0.6455156339546402,15.630714309889374
FUSION_A_ST_feature_noise,A,none,feature_noise,ElasticNet,24.485374620338934,35.842333359444,0.643313871918596,15.527241127985992
FUSION_N_ST,N,none,none,ElasticNet,24.526676518034854,35.84298307324255,0.6433009405060537,15.58426132907919
FUSION_N_CT_random,N,random,none,ElasticNet,26.10265251044479,34.60644166536894,0.6674878169030141,16.557561622248063
FUSION_N_CT_grid,N,grid,none,ElasticNet,26.10265251044479,34.60644166536894,0.6674878169030141,16.557561622248063
SOLO_A_A_CT_random_feature_noise,A,random,feature_noise,Lasso,26.268621448232853,36.522870497214775,0.6296405106057652,17.86989953788794
SOLO_A_A_CT_grid_feature_noise,A,grid,feature_noise,Lasso,26.268621448232853,36.522870497214775,0.6296405106057652,17.86989953788794
FUSION_A_CT_grid_feature_scaling,A,grid,feature_scaling,ElasticNet,26.33888672377884,35.00447747645831,0.6597948620231399,16.789066260962304
FUSION_A_CT_random_feature_scaling,A,random,feature_scaling,ElasticNet,26.33888672377884,35.00447747645831,0.6597948620231399,16.789066260962304
FUSION_A_CT_grid_grouped_scaling,A,grid,grouped_scaling,ElasticNet,26.991141300003186,36.76031101555438,0.6248093350731772,16.866443290003946
FUSION_A_CT_random_grouped_scaling,A,random,grouped_scaling,ElasticNet,26.991141300003186,36.76031101555438,0.6248093350731772,16.866443290003946
SOLO_R_A_ST_feature_scaling,A,none,feature_scaling,ElasticNet,29.17004734018453,36.47412813973519,0.6306283929061574,19.55221433273222
SOLO_R_A_ST_grouped_scaling,A,none,grouped_scaling,ElasticNet,29.283408066316763,36.288666918571366,0.6343751553501229,19.648258714934496
SOLO_R_N_ST,N,none,none,ElasticNet,29.905826312833785,37.60229499771214,0.6074252395139594,19.864712311208038
SOLO_R_A_ST_feature_noise,A,none,feature_noise,ElasticNet,30.030778758221818,37.7311514520558,0.6047300600834686,19.92347516215575
SOLO_R_N_CT_random,N,random,none,ElasticNet,30.22551619007614,32.89975261200613,0.699476156490091,19.59909840237563
SOLO_R_N_CT_grid,N,grid,none,ElasticNet,30.22551619007614,32.89975261200613,0.699476156490091,19.59909840237563
SOLO_R_A_CT_grid_feature_noise,A,grid,feature_noise,ElasticNet,31.970629376254998,34.85080674990207,0.6627753273826955,20.77313055020566
SOLO_R_A_CT_random_feature_noise,A,random,feature_noise,ElasticNet,31.970629376254998,34.85080674990207,0.6627753273826955,20.77313055020566
FUSION_A_CT_grid_feature_noise,A,grid,feature_noise,ElasticNet,35.63088990773392,54.21172757368642,0.18401877826142954,21.74205068612319
FUSION_A_CT_random_feature_noise,A,random,feature_noise,ElasticNet,35.63088990773392,54.21172757368642,0.18401877826142954,21.74205068612319
SOLO_R_A_CT_random_feature_scaling,A,random,feature_scaling,Lasso,37.212934248853216,43.48900099287348,0.47488728697968174,23.344000034423857
SOLO_R_A_CT_grid_feature_scaling,A,grid,feature_scaling,Lasso,37.212934248853216,43.48900099287348,0.47488728697968174,23.344000034423857
