branch_id,feature_subset,n_features,data_branch,tuning_branch,tuning_method,augmentation_strategy,validation_type,models_run,status,notes,duration_sec
FUSION_N_ST,FUSION,189,N,ST,none,none,loeo,all_baselines,OK,,81.6
FUSION_N_CT_random,FUSION,189,N,CT,random,none,loeo,all_baselines,OK,,85.7
FUSION_N_CT_grid,FUSION,189,N,CT,grid,none,loeo,all_baselines,OK,,79.0
FUSION_A_ST_feature_noise,FUSION,189,A,ST,none,feature_noise,loeo,all_baselines,OK,,76.2
FUSION_A_CT_random_feature_noise,FUSION,189,A,CT,random,feature_noise,loeo,all_baselines,OK,,79.0
FUSION_A_CT_grid_feature_noise,FUSION,189,A,CT,grid,feature_noise,loeo,all_baselines,OK,,85.5
FUSION_A_ST_feature_scaling,FUSION,189,A,ST,none,feature_scaling,loeo,all_baselines,OK,,83.7
FUSION_A_CT_random_feature_scaling,FUSION,189,A,CT,random,feature_scaling,loeo,all_baselines,OK,,80.9
FUSION_A_CT_grid_feature_scaling,FUSION,189,A,CT,grid,feature_scaling,loeo,all_baselines,OK,,85.3
FUSION_A_ST_grouped_scaling,FUSION,189,A,ST,none,grouped_scaling,loeo,all_baselines,OK,,87.4
FUSION_A_CT_random_grouped_scaling,FUSION,189,A,CT,random,grouped_scaling,loeo,all_baselines,OK,,82.1
FUSION_A_CT_grid_grouped_scaling,FUSION,189,A,CT,grid,grouped_scaling,loeo,all_baselines,OK,,94.4
SOLO_A_N_ST,SOLO_A,95,N,ST,none,none,loeo,all_baselines,OK,,75.9
SOLO_A_N_CT_random,SOLO_A,95,N,CT,random,none,loeo,all_baselines,OK,,79.7
SOLO_A_N_CT_grid,SOLO_A,95,N,CT,grid,none,loeo,all_baselines,OK,,90.9
SOLO_A_A_ST_feature_noise,SOLO_A,95,A,ST,none,feature_noise,loeo,all_baselines,OK,,87.5
SOLO_A_A_CT_random_feature_noise,SOLO_A,95,A,CT,random,feature_noise,loeo,all_baselines,OK,,94.3
SOLO_A_A_CT_grid_feature_noise,SOLO_A,95,A,CT,grid,feature_noise,loeo,all_baselines,OK,,94.8
SOLO_A_A_ST_feature_scaling,SOLO_A,95,A,ST,none,feature_scaling,loeo,all_baselines,OK,,82.2
SOLO_A_A_CT_random_feature_scaling,SOLO_A,95,A,CT,random,feature_scaling,loeo,all_baselines,OK,,87.9
SOLO_A_A_CT_grid_feature_scaling,SOLO_A,95,A,CT,grid,feature_scaling,loeo,all_baselines,OK,,96.3
SOLO_A_A_ST_grouped_scaling,SOLO_A,95,A,ST,none,grouped_scaling,loeo,all_baselines,OK,,89.8
SOLO_A_A_CT_random_grouped_scaling,SOLO_A,95,A,CT,random,grouped_scaling,loeo,all_baselines,OK,,81.3
SOLO_A_A_CT_grid_grouped_scaling,SOLO_A,95,A,CT,grid,grouped_scaling,loeo,all_baselines,OK,,82.5
SOLO_R_N_ST,SOLO_R,93,N,ST,none,none,loeo,all_baselines,OK,,76.2
SOLO_R_N_CT_random,SOLO_R,93,N,CT,random,none,loeo,all_baselines,OK,,76.7
SOLO_R_N_CT_grid,SOLO_R,93,N,CT,grid,none,loeo,all_baselines,OK,,77.7
SOLO_R_A_ST_feature_noise,SOLO_R,93,A,ST,none,feature_noise,loeo,all_baselines,OK,,75.6
SOLO_R_A_CT_random_feature_noise,SOLO_R,93,A,CT,random,feature_noise,loeo,all_baselines,OK,,77.0
SOLO_R_A_CT_grid_feature_noise,SOLO_R,93,A,CT,grid,feature_noise,loeo,all_baselines,OK,,79.4
SOLO_R_A_ST_feature_scaling,SOLO_R,93,A,ST,none,feature_scaling,loeo,all_baselines,OK,,77.3
SOLO_R_A_CT_random_feature_scaling,SOLO_R,93,A,CT,random,feature_scaling,loeo,all_baselines,OK,,78.3
SOLO_R_A_CT_grid_feature_scaling,SOLO_R,93,A,CT,grid,feature_scaling,loeo,all_baselines,OK,,78.9
SOLO_R_A_ST_grouped_scaling,SOLO_R,93,A,ST,none,grouped_scaling,loeo,all_baselines,OK,,75.2
SOLO_R_A_CT_random_grouped_scaling,SOLO_R,93,A,CT,random,grouped_scaling,loeo,all_baselines,OK,,77.3
SOLO_R_A_CT_grid_grouped_scaling,SOLO_R,93,A,CT,grid,grouped_scaling,loeo,all_baselines,OK,,79.5
