rank,model,data_branch,tuning_method,validation_type,augmentation_strategy,MAE,RMSE,R2,MAPE_%,interpretation_note,branch_id
1,ElasticNet,N,none,loeo,none,19.0676065719693,26.547358239846673,0.8043245727659085,14.830258023774057,"LOEO-CV (honest, n=10)",SOLO_A_N_ST
2,ElasticNet,N,random,loeo,none,19.0676065719693,26.547358239846673,0.8043245727659085,14.830258023774057,"LOEO-CV (honest, n=10); tuning:random",SOLO_A_N_CT_random
3,ElasticNet,N,grid,loeo,none,19.0676065719693,26.547358239846673,0.8043245727659085,14.830258023774057,"LOEO-CV (honest, n=10); tuning:grid",SOLO_A_N_CT_grid
4,ElasticNet,A,none,loeo,feature_noise,19.373963157729463,26.69487143477136,0.8021439488354156,14.865807026280109,"LOEO-CV (honest, n=10); aug:feature_noise",SOLO_A_A_ST_feature_noise
5,ElasticNet,A,none,loeo,grouped_scaling,19.401603473744853,26.957121334392316,0.7982373856058824,15.697784895222691,"LOEO-CV (honest, n=10); aug:grouped_scaling",SOLO_A_A_ST_grouped_scaling
6,ElasticNet,A,none,loeo,feature_scaling,20.890492088259936,27.34325677894394,0.7924158683064718,16.444624514621715,"LOEO-CV (honest, n=10); aug:feature_scaling",SOLO_A_A_ST_feature_scaling
7,ElasticNet,A,random,loeo,feature_scaling,22.722394842650555,29.571904110112012,0.7571980062976937,18.51345555902098,"LOEO-CV (honest, n=10); aug:feature_scaling; tuning:random",SOLO_A_A_CT_random_feature_scaling
8,ElasticNet,A,grid,loeo,feature_scaling,22.722394842650555,29.571904110112012,0.7571980062976937,18.51345555902098,"LOEO-CV (honest, n=10); aug:feature_scaling; tuning:grid",SOLO_A_A_CT_grid_feature_scaling
9,Ridge,A,random,loeo,grouped_scaling,23.854244687017548,29.757116542575073,0.7541470851382559,17.067821078794466,"LOEO-CV (honest, n=10); aug:grouped_scaling; tuning:random",SOLO_R_A_CT_random_grouped_scaling
10,Ridge,A,grid,loeo,grouped_scaling,23.854244687017548,29.757116542575073,0.7541470851382559,17.067821078794466,"LOEO-CV (honest, n=10); aug:grouped_scaling; tuning:grid",SOLO_R_A_CT_grid_grouped_scaling
11,Lasso,A,random,loeo,grouped_scaling,24.05112736125351,40.59702146075597,0.5424042181628401,13.481650881135849,"LOEO-CV (honest, n=10); aug:grouped_scaling; tuning:random",SOLO_A_A_CT_random_grouped_scaling
12,Lasso,A,grid,loeo,grouped_scaling,24.05112736125351,40.59702146075597,0.5424042181628401,13.481650881135849,"LOEO-CV (honest, n=10); aug:grouped_scaling; tuning:grid",SOLO_A_A_CT_grid_grouped_scaling
13,ElasticNet,A,none,loeo,feature_scaling,24.411414565374233,34.965841246187736,0.6605454511483211,15.619579459355403,"LOEO-CV (honest, n=10); aug:feature_scaling",FUSION_A_ST_feature_scaling
14,ElasticNet,A,none,loeo,grouped_scaling,24.463259741025645,35.731537839028306,0.6455156339546402,15.630714309889374,"LOEO-CV (honest, n=10); aug:grouped_scaling",FUSION_A_ST_grouped_scaling
15,ElasticNet,A,none,loeo,feature_noise,24.485374620338934,35.842333359444,0.643313871918596,15.527241127985992,"LOEO-CV (honest, n=10); aug:feature_noise",FUSION_A_ST_feature_noise
16,ElasticNet,N,none,loeo,none,24.526676518034854,35.84298307324255,0.6433009405060537,15.58426132907919,"LOEO-CV (honest, n=10)",FUSION_N_ST
17,Lasso,N,random,loeo,none,25.971889932371358,36.046754060826316,0.6392336713260447,16.901083309983843,"LOEO-CV (honest, n=10); tuning:random",SOLO_A_N_CT_random
18,Lasso,N,grid,loeo,none,25.971889932371358,36.046754060826316,0.6392336713260447,16.901083309983843,"LOEO-CV (honest, n=10); tuning:grid",SOLO_A_N_CT_grid
19,ElasticNet,N,random,loeo,none,26.10265251044479,34.60644166536894,0.6674878169030141,16.557561622248063,"LOEO-CV (honest, n=10); tuning:random",FUSION_N_CT_random
20,ElasticNet,N,grid,loeo,none,26.10265251044479,34.60644166536894,0.6674878169030141,16.557561622248063,"LOEO-CV (honest, n=10); tuning:grid",FUSION_N_CT_grid
21,Lasso,A,random,loeo,feature_noise,26.268621448232853,36.522870497214775,0.6296405106057652,17.86989953788794,"LOEO-CV (honest, n=10); aug:feature_noise; tuning:random",SOLO_A_A_CT_random_feature_noise
22,Lasso,A,grid,loeo,feature_noise,26.268621448232853,36.522870497214775,0.6296405106057652,17.86989953788794,"LOEO-CV (honest, n=10); aug:feature_noise; tuning:grid",SOLO_A_A_CT_grid_feature_noise
23,ElasticNet,A,random,loeo,feature_scaling,26.33888672377884,35.00447747645831,0.6597948620231399,16.789066260962304,"LOEO-CV (honest, n=10); aug:feature_scaling; tuning:random",FUSION_A_CT_random_feature_scaling
24,ElasticNet,A,grid,loeo,feature_scaling,26.33888672377884,35.00447747645831,0.6597948620231399,16.789066260962304,"LOEO-CV (honest, n=10); aug:feature_scaling; tuning:grid",FUSION_A_CT_grid_feature_scaling
25,ElasticNet,A,random,loeo,grouped_scaling,26.961579071429394,35.16855284957161,0.6565981221223616,20.056719767382653,"LOEO-CV (honest, n=10); aug:grouped_scaling; tuning:random",SOLO_A_A_CT_random_grouped_scaling
26,ElasticNet,A,grid,loeo,grouped_scaling,26.961579071429394,35.16855284957161,0.6565981221223616,20.056719767382653,"LOEO-CV (honest, n=10); aug:grouped_scaling; tuning:grid",SOLO_A_A_CT_grid_grouped_scaling
27,Lasso,N,none,loeo,none,26.99001704788148,38.033363569166895,0.5983727793384686,17.943517930115995,"LOEO-CV (honest, n=10)",SOLO_A_N_ST
28,ElasticNet,A,random,loeo,grouped_scaling,26.991141300003186,36.76031101555438,0.6248093350731772,16.866443290003946,"LOEO-CV (honest, n=10); aug:grouped_scaling; tuning:random",FUSION_A_CT_random_grouped_scaling
29,ElasticNet,A,grid,loeo,grouped_scaling,26.991141300003186,36.76031101555438,0.6248093350731772,16.866443290003946,"LOEO-CV (honest, n=10); aug:grouped_scaling; tuning:grid",FUSION_A_CT_grid_grouped_scaling
30,Ridge,A,none,loeo,feature_scaling,27.180163219674256,40.0782070974534,0.5540252814244524,17.735843352624,"LOEO-CV (honest, n=10); aug:feature_scaling",SOLO_A_A_ST_feature_scaling
31,Lasso,A,none,loeo,grouped_scaling,27.3225367585066,39.62620119718046,0.5640280475778243,17.869192883870905,"LOEO-CV (honest, n=10); aug:grouped_scaling",SOLO_A_A_ST_grouped_scaling
32,Lasso,A,none,loeo,feature_noise,27.453716096482786,38.54968843861045,0.5873941181184565,18.23250560006265,"LOEO-CV (honest, n=10); aug:feature_noise",SOLO_A_A_ST_feature_noise
33,Lasso,N,random,loeo,none,27.606750885933554,43.63310178957762,0.47140159986571806,15.830737181041183,"LOEO-CV (honest, n=10); tuning:random",FUSION_N_CT_random
34,Lasso,N,grid,loeo,none,27.606750885933554,43.63310178957762,0.47140159986571806,15.830737181041183,"LOEO-CV (honest, n=10); tuning:grid",FUSION_N_CT_grid
35,Ridge,A,random,loeo,feature_scaling,27.687923021015138,34.53488407192432,0.6688615017224547,21.15544504571097,"LOEO-CV (honest, n=10); aug:feature_scaling; tuning:random",SOLO_A_A_CT_random_feature_scaling
36,Ridge,A,grid,loeo,feature_scaling,27.687923021015138,34.53488407192432,0.6688615017224547,21.15544504571097,"LOEO-CV (honest, n=10); aug:feature_scaling; tuning:grid",SOLO_A_A_CT_grid_feature_scaling
37,Ridge,N,none,loeo,none,27.95604802287213,37.71209175706911,0.6051292963321107,19.098559784377166,"LOEO-CV (honest, n=10)",SOLO_A_N_ST
38,Ridge,N,random,loeo,none,27.95604802287213,37.71209175706911,0.6051292963321107,19.098559784377166,"LOEO-CV (honest, n=10); tuning:random",SOLO_A_N_CT_random
39,Ridge,N,grid,loeo,none,27.95604802287213,37.71209175706911,0.6051292963321107,19.098559784377166,"LOEO-CV (honest, n=10); tuning:grid",SOLO_A_N_CT_grid
40,Ridge,A,random,loeo,grouped_scaling,28.209253104287786,38.415481207436514,0.5902620168868205,21.661572667166364,"LOEO-CV (honest, n=10); aug:grouped_scaling; tuning:random",SOLO_A_A_CT_random_grouped_scaling
41,Ridge,A,grid,loeo,grouped_scaling,28.209253104287786,38.415481207436514,0.5902620168868205,21.661572667166364,"LOEO-CV (honest, n=10); aug:grouped_scaling; tuning:grid",SOLO_A_A_CT_grid_grouped_scaling
42,Ridge,A,none,loeo,grouped_scaling,28.262821584822053,41.53164220641434,0.5210922360442968,18.308216478074037,"LOEO-CV (honest, n=10); aug:grouped_scaling",SOLO_A_A_ST_grouped_scaling
43,Lasso,A,none,loeo,feature_scaling,28.70293467999294,38.072255415402196,0.597550974010639,18.6757383672543,"LOEO-CV (honest, n=10); aug:feature_scaling",SOLO_A_A_ST_feature_scaling
44,Lasso,A,random,loeo,feature_scaling,28.70293467999294,38.072255415402196,0.597550974010639,18.6757383672543,"LOEO-CV (honest, n=10); aug:feature_scaling; tuning:random",SOLO_A_A_CT_random_feature_scaling
45,Lasso,A,grid,loeo,feature_scaling,28.70293467999294,38.072255415402196,0.597550974010639,18.6757383672543,"LOEO-CV (honest, n=10); aug:feature_scaling; tuning:grid",SOLO_A_A_CT_grid_feature_scaling
46,ElasticNet,A,random,loeo,feature_noise,29.11487908976065,41.18708580134773,0.52900553995275,18.911908972530462,"LOEO-CV (honest, n=10); aug:feature_noise; tuning:random",SOLO_A_A_CT_random_feature_noise
47,ElasticNet,A,grid,loeo,feature_noise,29.11487908976065,41.18708580134773,0.52900553995275,18.911908972530462,"LOEO-CV (honest, n=10); aug:feature_noise; tuning:grid",SOLO_A_A_CT_grid_feature_noise
48,ElasticNet,A,none,loeo,feature_scaling,29.17004734018453,36.47412813973519,0.6306283929061574,19.55221433273222,"LOEO-CV (honest, n=10); aug:feature_scaling",SOLO_R_A_ST_feature_scaling
49,ElasticNet,A,none,loeo,grouped_scaling,29.283408066316763,36.288666918571366,0.6343751553501229,19.648258714934496,"LOEO-CV (honest, n=10); aug:grouped_scaling",SOLO_R_A_ST_grouped_scaling
50,ElasticNet,N,none,loeo,none,29.905826312833785,37.60229499771214,0.6074252395139594,19.864712311208038,"LOEO-CV (honest, n=10)",SOLO_R_N_ST
51,ElasticNet,A,none,loeo,feature_noise,30.030778758221818,37.7311514520558,0.6047300600834686,19.92347516215575,"LOEO-CV (honest, n=10); aug:feature_noise",SOLO_R_A_ST_feature_noise
52,ElasticNet,N,random,loeo,none,30.22551619007614,32.89975261200613,0.699476156490091,19.59909840237563,"LOEO-CV (honest, n=10); tuning:random",SOLO_R_N_CT_random
53,ElasticNet,N,grid,loeo,none,30.22551619007614,32.89975261200613,0.699476156490091,19.59909840237563,"LOEO-CV (honest, n=10); tuning:grid",SOLO_R_N_CT_grid
54,Lasso,A,random,loeo,feature_scaling,30.459085398957985,37.10899787504797,0.6176578985725272,18.823860631333293,"LOEO-CV (honest, n=10); aug:feature_scaling; tuning:random",FUSION_A_CT_random_feature_scaling
55,Lasso,A,grid,loeo,feature_scaling,30.459085398957985,37.10899787504797,0.6176578985725272,18.823860631333293,"LOEO-CV (honest, n=10); aug:feature_scaling; tuning:grid",FUSION_A_CT_grid_feature_scaling
56,Lasso,N,random,loeo,none,31.416336625030397,35.950365970934946,0.6411604514980032,18.203254928954628,"LOEO-CV (honest, n=10); tuning:random",SOLO_R_N_CT_random
57,Lasso,N,grid,loeo,none,31.416336625030397,35.950365970934946,0.6411604514980032,18.203254928954628,"LOEO-CV (honest, n=10); tuning:grid",SOLO_R_N_CT_grid
58,Ridge,A,none,loeo,feature_noise,31.785194680575206,45.727968895716536,0.4194261195917418,20.869344257618312,"LOEO-CV (honest, n=10); aug:feature_noise",SOLO_A_A_ST_feature_noise
59,ElasticNet,A,random,loeo,feature_noise,31.970629376254998,34.85080674990207,0.6627753273826955,20.77313055020566,"LOEO-CV (honest, n=10); aug:feature_noise; tuning:random",SOLO_R_A_CT_random_feature_noise
60,ElasticNet,A,grid,loeo,feature_noise,31.970629376254998,34.85080674990207,0.6627753273826955,20.77313055020566,"LOEO-CV (honest, n=10); aug:feature_noise; tuning:grid",SOLO_R_A_CT_grid_feature_noise
61,Ridge,A,random,loeo,feature_noise,33.17040996113039,48.02568050769671,0.359615628155849,21.654635580911084,"LOEO-CV (honest, n=10); aug:feature_noise; tuning:random",SOLO_A_A_CT_random_feature_noise
62,Ridge,A,grid,loeo,feature_noise,33.17040996113039,48.02568050769671,0.359615628155849,21.654635580911084,"LOEO-CV (honest, n=10); aug:feature_noise; tuning:grid",SOLO_A_A_CT_grid_feature_noise
63,Lasso,N,none,loeo,none,33.63853415760626,39.94092827471477,0.557075219842377,21.64623801586801,"LOEO-CV (honest, n=10)",FUSION_N_ST
64,Lasso,A,none,loeo,feature_noise,33.75802618159396,40.03575130331035,0.5549696441335827,21.66406136811705,"LOEO-CV (honest, n=10); aug:feature_noise",FUSION_A_ST_feature_noise
65,Lasso,A,none,loeo,grouped_scaling,33.92134167935584,44.90330974005927,0.4401774651311742,20.07101202046119,"LOEO-CV (honest, n=10); aug:grouped_scaling",FUSION_A_ST_grouped_scaling
66,BNN,A,none,loeo,grouped_scaling,34.49035110473633,49.773934664075036,0.31214386248022175,19.4098938893247,"LOEO-CV (honest, n=10); aug:grouped_scaling",SOLO_R_A_ST_grouped_scaling
67,BNN,A,none,loeo,grouped_scaling,34.49035110473633,49.773934664075036,0.31214386248022175,19.4098938893247,"LOEO-CV (honest, n=10); aug:grouped_scaling",SOLO_R_A_CT_random_grouped_scaling
68,BNN,A,none,loeo,grouped_scaling,34.49035110473633,49.773934664075036,0.31214386248022175,19.4098938893247,"LOEO-CV (honest, n=10); aug:grouped_scaling",SOLO_R_A_CT_grid_grouped_scaling
69,Lasso,A,none,loeo,feature_scaling,35.14451421220083,41.32478153914354,0.5258510395792146,22.01390348426838,"LOEO-CV (honest, n=10); aug:feature_scaling",FUSION_A_ST_feature_scaling
70,BNN,A,none,loeo,feature_scaling,35.334468841552734,48.39691097314058,0.3496772371464243,20.9690980402096,"LOEO-CV (honest, n=10); aug:feature_scaling",FUSION_A_ST_feature_scaling
71,BNN,A,none,loeo,feature_scaling,35.334468841552734,48.39691097314058,0.3496772371464243,20.9690980402096,"LOEO-CV (honest, n=10); aug:feature_scaling",FUSION_A_CT_random_feature_scaling
72,BNN,A,none,loeo,feature_scaling,35.334468841552734,48.39691097314058,0.3496772371464243,20.9690980402096,"LOEO-CV (honest, n=10); aug:feature_scaling",FUSION_A_CT_grid_feature_scaling
73,ElasticNet,A,random,loeo,feature_noise,35.63088990773392,54.21172757368642,0.18401877826142954,21.74205068612319,"LOEO-CV (honest, n=10); aug:feature_noise; tuning:random",FUSION_A_CT_random_feature_noise
74,ElasticNet,A,grid,loeo,feature_noise,35.63088990773392,54.21172757368642,0.18401877826142954,21.74205068612319,"LOEO-CV (honest, n=10); aug:feature_noise; tuning:grid",FUSION_A_CT_grid_feature_noise
75,Lasso,A,random,loeo,feature_noise,35.754604149393046,40.79127940559965,0.5380145221977188,21.86912446816722,"LOEO-CV (honest, n=10); aug:feature_noise; tuning:random",SOLO_R_A_CT_random_feature_noise
76,Lasso,A,grid,loeo,feature_noise,35.754604149393046,40.79127940559965,0.5380145221977188,21.86912446816722,"LOEO-CV (honest, n=10); aug:feature_noise; tuning:grid",SOLO_R_A_CT_grid_feature_noise
77,Lasso,A,random,loeo,feature_noise,36.1412974138474,48.97771576874701,0.3339747057841821,22.243624348582376,"LOEO-CV (honest, n=10); aug:feature_noise; tuning:random",FUSION_A_CT_random_feature_noise
78,Lasso,A,grid,loeo,feature_noise,36.1412974138474,48.97771576874701,0.3339747057841821,22.243624348582376,"LOEO-CV (honest, n=10); aug:feature_noise; tuning:grid",FUSION_A_CT_grid_feature_noise
79,BNN,N,none,loeo,none,36.364383697509766,53.521895582989195,0.2046530082276936,22.104694169537257,"LOEO-CV (honest, n=10)",SOLO_R_N_ST
80,BNN,N,none,loeo,none,36.364383697509766,53.521895582989195,0.2046530082276936,22.104694169537257,"LOEO-CV (honest, n=10)",SOLO_R_N_CT_random
81,BNN,N,none,loeo,none,36.364383697509766,53.521895582989195,0.2046530082276936,22.104694169537257,"LOEO-CV (honest, n=10)",SOLO_R_N_CT_grid
82,Lasso,A,random,loeo,grouped_scaling,36.53418828850823,40.485658658850376,0.5449112619240006,24.77072818395833,"LOEO-CV (honest, n=10); aug:grouped_scaling; tuning:random",SOLO_R_A_CT_random_grouped_scaling
83,Lasso,A,grid,loeo,grouped_scaling,36.53418828850823,40.485658658850376,0.5449112619240006,24.77072818395833,"LOEO-CV (honest, n=10); aug:grouped_scaling; tuning:grid",SOLO_R_A_CT_grid_grouped_scaling
84,BNN,A,none,loeo,feature_noise,36.725850677490236,51.42918096104897,0.26563345142854544,20.58619735647154,"LOEO-CV (honest, n=10); aug:feature_noise",SOLO_R_A_ST_feature_noise
85,BNN,A,none,loeo,feature_noise,36.725850677490236,51.42918096104897,0.26563345142854544,20.58619735647154,"LOEO-CV (honest, n=10); aug:feature_noise",SOLO_R_A_CT_random_feature_noise
86,BNN,A,none,loeo,feature_noise,36.725850677490236,51.42918096104897,0.26563345142854544,20.58619735647154,"LOEO-CV (honest, n=10); aug:feature_noise",SOLO_R_A_CT_grid_feature_noise
87,Lasso,A,none,loeo,feature_scaling,37.212934248853216,43.48900099287348,0.47488728697968174,23.344000034423857,"LOEO-CV (honest, n=10); aug:feature_scaling",SOLO_R_A_ST_feature_scaling
88,Lasso,A,random,loeo,feature_scaling,37.212934248853216,43.48900099287348,0.47488728697968174,23.344000034423857,"LOEO-CV (honest, n=10); aug:feature_scaling; tuning:random",SOLO_R_A_CT_random_feature_scaling
89,Lasso,A,grid,loeo,feature_scaling,37.212934248853216,43.48900099287348,0.47488728697968174,23.344000034423857,"LOEO-CV (honest, n=10); aug:feature_scaling; tuning:grid",SOLO_R_A_CT_grid_feature_scaling
90,Lasso,N,none,loeo,none,37.590761886230055,43.659072586415164,0.4707721599843774,23.454190846182506,"LOEO-CV (honest, n=10)",SOLO_R_N_ST
91,Lasso,A,none,loeo,feature_noise,37.659951699925166,43.943609015314244,0.46385147714245045,23.468016745641222,"LOEO-CV (honest, n=10); aug:feature_noise",SOLO_R_A_ST_feature_noise
92,XGBoost,N,random,loeo,none,38.20745315551758,53.49248917666203,0.20552673930424192,23.638700674882823,"LOEO-CV (honest, n=10); tuning:random",SOLO_R_N_CT_random
93,BNN,A,none,loeo,feature_scaling,38.58976745605469,46.41385325105655,0.4018791807149943,26.901413062605485,"LOEO-CV (honest, n=10); aug:feature_scaling",SOLO_A_A_ST_feature_scaling
94,BNN,A,none,loeo,feature_scaling,38.58976745605469,46.41385325105655,0.4018791807149943,26.901413062605485,"LOEO-CV (honest, n=10); aug:feature_scaling",SOLO_A_A_CT_random_feature_scaling
95,BNN,A,none,loeo,feature_scaling,38.58976745605469,46.41385325105655,0.4018791807149943,26.901413062605485,"LOEO-CV (honest, n=10); aug:feature_scaling",SOLO_A_A_CT_grid_feature_scaling
96,Lasso,A,none,loeo,grouped_scaling,38.64160797909674,45.87964936425742,0.4155681844391921,23.474796954729264,"LOEO-CV (honest, n=10); aug:grouped_scaling",SOLO_R_A_ST_grouped_scaling
