model,stage_order,branch_id,family,short_label,MAE,RMSE,R2,MAPE_%
ElasticNet,1,FUSION_N_ST,FUSION·N,1. FUS|N_ST,24.526676518034854,35.84298307324255,0.6433009405060537,15.58426132907919
ElasticNet,2,FUSION_N_CT_random,FUSION·N·tuning,2. FUS|N_CT_random,26.10265251044479,34.60644166536894,0.6674878169030141,16.557561622248063
ElasticNet,3,FUSION_N_CT_grid,FUSION·N·tuning,3. FUS|N_CT_grid,26.10265251044479,34.60644166536894,0.6674878169030141,16.557561622248063
ElasticNet,4,FUSION_A_ST_feature_noise,FUSION·A·ST,4. FUS|A_ST_fnoise,24.485374620338934,35.842333359444,0.643313871918596,15.527241127985992
ElasticNet,5,FUSION_A_ST_feature_scaling,FUSION·A·ST,5. FUS|A_ST_fscale,24.411414565374233,34.965841246187736,0.6605454511483211,15.619579459355403
ElasticNet,6,FUSION_A_ST_grouped_scaling,FUSION·A·ST,6. FUS|A_ST_gscale,24.463259741025645,35.731537839028306,0.6455156339546402,15.630714309889374
ElasticNet,7,FUSION_A_CT_random_feature_noise,FUSION·A·random,7. FUS|A_CTr_fnoise,35.63088990773392,54.21172757368642,0.18401877826142954,21.74205068612319
ElasticNet,8,FUSION_A_CT_random_feature_scaling,FUSION·A·random,8. FUS|A_CTr_fscale,26.33888672377884,35.00447747645831,0.6597948620231399,16.789066260962304
ElasticNet,9,FUSION_A_CT_random_grouped_scaling,FUSION·A·random,9. FUS|A_CTr_gscale,26.991141300003186,36.76031101555438,0.6248093350731772,16.866443290003946
ElasticNet,10,FUSION_A_CT_grid_feature_noise,FUSION·A·grid,10. FUS|A_CTg_fnoise,35.63088990773392,54.21172757368642,0.18401877826142954,21.74205068612319
ElasticNet,11,FUSION_A_CT_grid_feature_scaling,FUSION·A·grid,11. FUS|A_CTg_fscale,26.33888672377884,35.00447747645831,0.6597948620231399,16.789066260962304
ElasticNet,12,FUSION_A_CT_grid_grouped_scaling,FUSION·A·grid,12. FUS|A_CTg_gscale,26.991141300003186,36.76031101555438,0.6248093350731772,16.866443290003946
ElasticNet,13,SOLO_A_N_ST,SOLO_A·N,13. SOL|N_ST,19.0676065719693,26.547358239846673,0.8043245727659085,14.830258023774057
ElasticNet,14,SOLO_A_N_CT_random,SOLO_A·N·tuning,14. SOL|N_CT_random,19.0676065719693,26.547358239846673,0.8043245727659085,14.830258023774057
ElasticNet,15,SOLO_A_N_CT_grid,SOLO_A·N·tuning,15. SOL|N_CT_grid,19.0676065719693,26.547358239846673,0.8043245727659085,14.830258023774057
ElasticNet,16,SOLO_A_A_ST_feature_noise,SOLO_A·A·ST,16. SOL|A_ST_fnoise,19.373963157729463,26.69487143477136,0.8021439488354156,14.865807026280109
ElasticNet,17,SOLO_A_A_ST_feature_scaling,SOLO_A·A·ST,17. SOL|A_ST_fscale,20.890492088259936,27.34325677894394,0.7924158683064718,16.444624514621715
ElasticNet,18,SOLO_A_A_ST_grouped_scaling,SOLO_A·A·ST,18. SOL|A_ST_gscale,19.401603473744853,26.957121334392316,0.7982373856058824,15.697784895222691
ElasticNet,19,SOLO_A_A_CT_random_feature_noise,SOLO_A·A·random,19. SOL|A_CTr_fnoise,29.11487908976065,41.18708580134773,0.52900553995275,18.911908972530462
ElasticNet,20,SOLO_A_A_CT_random_feature_scaling,SOLO_A·A·random,20. SOL|A_CTr_fscale,22.722394842650555,29.571904110112012,0.7571980062976937,18.51345555902098
ElasticNet,21,SOLO_A_A_CT_random_grouped_scaling,SOLO_A·A·random,21. SOL|A_CTr_gscale,26.961579071429394,35.16855284957161,0.6565981221223616,20.056719767382653
ElasticNet,22,SOLO_A_A_CT_grid_feature_noise,SOLO_A·A·grid,22. SOL|A_CTg_fnoise,29.11487908976065,41.18708580134773,0.52900553995275,18.911908972530462
ElasticNet,23,SOLO_A_A_CT_grid_feature_scaling,SOLO_A·A·grid,23. SOL|A_CTg_fscale,22.722394842650555,29.571904110112012,0.7571980062976937,18.51345555902098
ElasticNet,24,SOLO_A_A_CT_grid_grouped_scaling,SOLO_A·A·grid,24. SOL|A_CTg_gscale,26.961579071429394,35.16855284957161,0.6565981221223616,20.056719767382653
ElasticNet,25,SOLO_R_N_ST,SOLO_R·N,25. SOL|N_ST,29.905826312833785,37.60229499771214,0.6074252395139594,19.864712311208038
ElasticNet,26,SOLO_R_N_CT_random,SOLO_R·N·tuning,26. SOL|N_CT_random,30.22551619007614,32.89975261200613,0.699476156490091,19.59909840237563
ElasticNet,27,SOLO_R_N_CT_grid,SOLO_R·N·tuning,27. SOL|N_CT_grid,30.22551619007614,32.89975261200613,0.699476156490091,19.59909840237563
ElasticNet,28,SOLO_R_A_ST_feature_noise,SOLO_R·A·ST,28. SOL|A_ST_fnoise,30.030778758221818,37.7311514520558,0.6047300600834686,19.92347516215575
ElasticNet,29,SOLO_R_A_ST_feature_scaling,SOLO_R·A·ST,29. SOL|A_ST_fscale,29.17004734018453,36.47412813973519,0.6306283929061574,19.55221433273222
ElasticNet,30,SOLO_R_A_ST_grouped_scaling,SOLO_R·A·ST,30. SOL|A_ST_gscale,29.283408066316763,36.288666918571366,0.6343751553501229,19.648258714934496
ElasticNet,31,SOLO_R_A_CT_random_feature_noise,SOLO_R·A·random,31. SOL|A_CTr_fnoise,31.970629376254998,34.85080674990207,0.6627753273826955,20.77313055020566
ElasticNet,32,SOLO_R_A_CT_random_feature_scaling,SOLO_R·A·random,32. SOL|A_CTr_fscale,65.40389748398323,136.89231570745216,-4.202975852932581,31.82514808705565
ElasticNet,33,SOLO_R_A_CT_random_grouped_scaling,SOLO_R·A·random,33. SOL|A_CTr_gscale,63.17668403769378,130.17153230859392,-3.704632498512451,31.156020621123677
ElasticNet,34,SOLO_R_A_CT_grid_feature_noise,SOLO_R·A·grid,34. SOL|A_CTg_fnoise,31.970629376254998,34.85080674990207,0.6627753273826955,20.77313055020566
ElasticNet,35,SOLO_R_A_CT_grid_feature_scaling,SOLO_R·A·grid,35. SOL|A_CTg_fscale,65.40389748398323,136.89231570745216,-4.202975852932581,31.82514808705565
ElasticNet,36,SOLO_R_A_CT_grid_grouped_scaling,SOLO_R·A·grid,36. SOL|A_CTg_gscale,63.17668403769378,130.17153230859392,-3.704632498512451,31.156020621123677
Lasso,1,FUSION_N_ST,FUSION·N,1. FUS|N_ST,33.63853415760626,39.94092827471477,0.557075219842377,21.64623801586801
Lasso,2,FUSION_N_CT_random,FUSION·N·tuning,2. FUS|N_CT_random,27.606750885933554,43.63310178957762,0.47140159986571806,15.830737181041183
Lasso,3,FUSION_N_CT_grid,FUSION·N·tuning,3. FUS|N_CT_grid,27.606750885933554,43.63310178957762,0.47140159986571806,15.830737181041183
Lasso,4,FUSION_A_ST_feature_noise,FUSION·A·ST,4. FUS|A_ST_fnoise,33.75802618159396,40.03575130331035,0.5549696441335827,21.66406136811705
Lasso,5,FUSION_A_ST_feature_scaling,FUSION·A·ST,5. FUS|A_ST_fscale,35.14451421220083,41.32478153914354,0.5258510395792146,22.01390348426838
Lasso,6,FUSION_A_ST_grouped_scaling,FUSION·A·ST,6. FUS|A_ST_gscale,33.92134167935584,44.90330974005927,0.4401774651311742,20.07101202046119
Lasso,7,FUSION_A_CT_random_feature_noise,FUSION·A·random,7. FUS|A_CTr_fnoise,36.1412974138474,48.97771576874701,0.3339747057841821,22.243624348582376
Lasso,8,FUSION_A_CT_random_feature_scaling,FUSION·A·random,8. FUS|A_CTr_fscale,30.459085398957985,37.10899787504797,0.6176578985725272,18.823860631333293
Lasso,9,FUSION_A_CT_random_grouped_scaling,FUSION·A·random,9. FUS|A_CTr_gscale,40.30153023290798,60.64732940551491,-0.021214642021116115,28.60053532557929
Lasso,10,FUSION_A_CT_grid_feature_noise,FUSION·A·grid,10. FUS|A_CTg_fnoise,36.1412974138474,48.97771576874701,0.3339747057841821,22.243624348582376
Lasso,11,FUSION_A_CT_grid_feature_scaling,FUSION·A·grid,11. FUS|A_CTg_fscale,30.459085398957985,37.10899787504797,0.6176578985725272,18.823860631333293
Lasso,12,FUSION_A_CT_grid_grouped_scaling,FUSION·A·grid,12. FUS|A_CTg_gscale,40.30153023290798,60.64732940551491,-0.021214642021116115,28.60053532557929
Lasso,13,SOLO_A_N_ST,SOLO_A·N,13. SOL|N_ST,26.99001704788148,38.033363569166895,0.5983727793384686,17.943517930115995
Lasso,14,SOLO_A_N_CT_random,SOLO_A·N·tuning,14. SOL|N_CT_random,25.971889932371358,36.046754060826316,0.6392336713260447,16.901083309983843
Lasso,15,SOLO_A_N_CT_grid,SOLO_A·N·tuning,15. SOL|N_CT_grid,25.971889932371358,36.046754060826316,0.6392336713260447,16.901083309983843
Lasso,16,SOLO_A_A_ST_feature_noise,SOLO_A·A·ST,16. SOL|A_ST_fnoise,27.453716096482786,38.54968843861045,0.5873941181184565,18.23250560006265
Lasso,17,SOLO_A_A_ST_feature_scaling,SOLO_A·A·ST,17. SOL|A_ST_fscale,28.70293467999294,38.072255415402196,0.597550974010639,18.6757383672543
Lasso,18,SOLO_A_A_ST_grouped_scaling,SOLO_A·A·ST,18. SOL|A_ST_gscale,27.3225367585066,39.62620119718046,0.5640280475778243,17.869192883870905
Lasso,19,SOLO_A_A_CT_random_feature_noise,SOLO_A·A·random,19. SOL|A_CTr_fnoise,26.268621448232853,36.522870497214775,0.6296405106057652,17.86989953788794
Lasso,20,SOLO_A_A_CT_random_feature_scaling,SOLO_A·A·random,20. SOL|A_CTr_fscale,28.70293467999294,38.072255415402196,0.597550974010639,18.6757383672543
Lasso,21,SOLO_A_A_CT_random_grouped_scaling,SOLO_A·A·random,21. SOL|A_CTr_gscale,24.05112736125351,40.59702146075597,0.5424042181628401,13.481650881135849
Lasso,22,SOLO_A_A_CT_grid_feature_noise,SOLO_A·A·grid,22. SOL|A_CTg_fnoise,26.268621448232853,36.522870497214775,0.6296405106057652,17.86989953788794
Lasso,23,SOLO_A_A_CT_grid_feature_scaling,SOLO_A·A·grid,23. SOL|A_CTg_fscale,28.70293467999294,38.072255415402196,0.597550974010639,18.6757383672543
Lasso,24,SOLO_A_A_CT_grid_grouped_scaling,SOLO_A·A·grid,24. SOL|A_CTg_gscale,24.05112736125351,40.59702146075597,0.5424042181628401,13.481650881135849
Lasso,25,SOLO_R_N_ST,SOLO_R·N,25. SOL|N_ST,37.590761886230055,43.659072586415164,0.4707721599843774,23.454190846182506
Lasso,26,SOLO_R_N_CT_random,SOLO_R·N·tuning,26. SOL|N_CT_random,31.416336625030397,35.950365970934946,0.6411604514980032,18.203254928954628
Lasso,27,SOLO_R_N_CT_grid,SOLO_R·N·tuning,27. SOL|N_CT_grid,31.416336625030397,35.950365970934946,0.6411604514980032,18.203254928954628
Lasso,28,SOLO_R_A_ST_feature_noise,SOLO_R·A·ST,28. SOL|A_ST_fnoise,37.659951699925166,43.943609015314244,0.46385147714245045,23.468016745641222
Lasso,29,SOLO_R_A_ST_feature_scaling,SOLO_R·A·ST,29. SOL|A_ST_fscale,37.212934248853216,43.48900099287348,0.47488728697968174,23.344000034423857
Lasso,30,SOLO_R_A_ST_grouped_scaling,SOLO_R·A·ST,30. SOL|A_ST_gscale,38.64160797909674,45.87964936425742,0.4155681844391921,23.474796954729264
Lasso,31,SOLO_R_A_CT_random_feature_noise,SOLO_R·A·random,31. SOL|A_CTr_fnoise,35.754604149393046,40.79127940559965,0.5380145221977188,21.86912446816722
Lasso,32,SOLO_R_A_CT_random_feature_scaling,SOLO_R·A·random,32. SOL|A_CTr_fscale,37.212934248853216,43.48900099287348,0.47488728697968174,23.344000034423857
Lasso,33,SOLO_R_A_CT_random_grouped_scaling,SOLO_R·A·random,33. SOL|A_CTr_gscale,36.53418828850823,40.485658658850376,0.5449112619240006,24.77072818395833
Lasso,34,SOLO_R_A_CT_grid_feature_noise,SOLO_R·A·grid,34. SOL|A_CTg_fnoise,35.754604149393046,40.79127940559965,0.5380145221977188,21.86912446816722
Lasso,35,SOLO_R_A_CT_grid_feature_scaling,SOLO_R·A·grid,35. SOL|A_CTg_fscale,37.212934248853216,43.48900099287348,0.47488728697968174,23.344000034423857
Lasso,36,SOLO_R_A_CT_grid_grouped_scaling,SOLO_R·A·grid,36. SOL|A_CTg_gscale,36.53418828850823,40.485658658850376,0.5449112619240006,24.77072818395833
Ridge,1,FUSION_N_ST,FUSION·N,1. FUS|N_ST,40.26449694139493,60.21782392980279,-0.0068013401599609224,26.40992576350075
Ridge,2,FUSION_N_CT_random,FUSION·N·tuning,2. FUS|N_CT_random,38.88883872880332,60.73529244423498,-0.02417913487466916,23.454545669507315
Ridge,3,FUSION_N_CT_grid,FUSION·N·tuning,3. FUS|N_CT_grid,38.88883872880332,60.73529244423498,-0.02417913487466916,23.454545669507315
Ridge,4,FUSION_A_ST_feature_noise,FUSION·A·ST,4. FUS|A_ST_fnoise,40.83995059687994,59.9392356892472,0.0024927256340427917,27.307905655984865
Ridge,5,FUSION_A_ST_feature_scaling,FUSION·A·ST,5. FUS|A_ST_fscale,43.936611152513514,73.08826331400984,-0.48316324676972067,26.813731969468456
Ridge,6,FUSION_A_ST_grouped_scaling,FUSION·A·ST,6. FUS|A_ST_gscale,41.14998337956623,66.69678283939967,-0.2351037543836474,25.40060708346222
Ridge,7,FUSION_A_CT_random_feature_noise,FUSION·A·random,7. FUS|A_CTr_fnoise,40.83995059687994,59.9392356892472,0.0024927256340427917,27.307905655984865
Ridge,8,FUSION_A_CT_random_feature_scaling,FUSION·A·random,8. FUS|A_CTr_fscale,40.465994725179755,64.23350486124927,-0.14555754292016654,25.199702966409482
Ridge,9,FUSION_A_CT_random_grouped_scaling,FUSION·A·random,9. FUS|A_CTr_gscale,56.535961236996286,127.20985026559374,-3.4929869046460915,26.484629622776446
Ridge,10,FUSION_A_CT_grid_feature_noise,FUSION·A·grid,10. FUS|A_CTg_fnoise,40.83995059687994,59.9392356892472,0.0024927256340427917,27.307905655984865
Ridge,11,FUSION_A_CT_grid_feature_scaling,FUSION·A·grid,11. FUS|A_CTg_fscale,40.465994725179755,64.23350486124927,-0.14555754292016654,25.199702966409482
Ridge,12,FUSION_A_CT_grid_grouped_scaling,FUSION·A·grid,12. FUS|A_CTg_gscale,56.535961236996286,127.20985026559374,-3.4929869046460915,26.484629622776446
Ridge,13,SOLO_A_N_ST,SOLO_A·N,13. SOL|N_ST,27.95604802287213,37.71209175706911,0.6051292963321107,19.098559784377166
Ridge,14,SOLO_A_N_CT_random,SOLO_A·N·tuning,14. SOL|N_CT_random,27.95604802287213,37.71209175706911,0.6051292963321107,19.098559784377166
Ridge,15,SOLO_A_N_CT_grid,SOLO_A·N·tuning,15. SOL|N_CT_grid,27.95604802287213,37.71209175706911,0.6051292963321107,19.098559784377166
Ridge,16,SOLO_A_A_ST_feature_noise,SOLO_A·A·ST,16. SOL|A_ST_fnoise,31.785194680575206,45.727968895716536,0.4194261195917418,20.869344257618312
Ridge,17,SOLO_A_A_ST_feature_scaling,SOLO_A·A·ST,17. SOL|A_ST_fscale,27.180163219674256,40.0782070974534,0.5540252814244524,17.735843352624
Ridge,18,SOLO_A_A_ST_grouped_scaling,SOLO_A·A·ST,18. SOL|A_ST_gscale,28.262821584822053,41.53164220641434,0.5210922360442968,18.308216478074037
Ridge,19,SOLO_A_A_CT_random_feature_noise,SOLO_A·A·random,19. SOL|A_CTr_fnoise,33.17040996113039,48.02568050769671,0.359615628155849,21.654635580911084
Ridge,20,SOLO_A_A_CT_random_feature_scaling,SOLO_A·A·random,20. SOL|A_CTr_fscale,27.687923021015138,34.53488407192432,0.6688615017224547,21.15544504571097
Ridge,21,SOLO_A_A_CT_random_grouped_scaling,SOLO_A·A·random,21. SOL|A_CTr_gscale,28.209253104287786,38.415481207436514,0.5902620168868205,21.661572667166364
Ridge,22,SOLO_A_A_CT_grid_feature_noise,SOLO_A·A·grid,22. SOL|A_CTg_fnoise,33.17040996113039,48.02568050769671,0.359615628155849,21.654635580911084
Ridge,23,SOLO_A_A_CT_grid_feature_scaling,SOLO_A·A·grid,23. SOL|A_CTg_fscale,27.687923021015138,34.53488407192432,0.6688615017224547,21.15544504571097
Ridge,24,SOLO_A_A_CT_grid_grouped_scaling,SOLO_A·A·grid,24. SOL|A_CTg_gscale,28.209253104287786,38.415481207436514,0.5902620168868205,21.661572667166364
Ridge,25,SOLO_R_N_ST,SOLO_R·N,25. SOL|N_ST,45.15948015017858,75.68145501570905,-0.5902764072684745,27.49166991567099
Ridge,26,SOLO_R_N_CT_random,SOLO_R·N·tuning,26. SOL|N_CT_random,45.15948015017858,75.68145501570905,-0.5902764072684745,27.49166991567099
Ridge,27,SOLO_R_N_CT_grid,SOLO_R·N·tuning,27. SOL|N_CT_grid,45.15948015017858,75.68145501570905,-0.5902764072684745,27.49166991567099
Ridge,28,SOLO_R_A_ST_feature_noise,SOLO_R·A·ST,28. SOL|A_ST_fnoise,50.84023207247716,81.7246091392677,-0.8543827311528966,31.46408490572221
Ridge,29,SOLO_R_A_ST_feature_scaling,SOLO_R·A·ST,29. SOL|A_ST_fscale,60.13139035684112,111.90434234309386,-2.476862760326499,34.24288575989495
Ridge,30,SOLO_R_A_ST_grouped_scaling,SOLO_R·A·ST,30. SOL|A_ST_gscale,59.07187188850196,106.01560194787027,-2.120565028186566,34.457584724386706
Ridge,31,SOLO_R_A_CT_random_feature_noise,SOLO_R·A·random,31. SOL|A_CTr_fnoise,52.94400606335025,87.52298411717122,-1.1268551010149697,31.566416983816463
Ridge,32,SOLO_R_A_CT_random_feature_scaling,SOLO_R·A·random,32. SOL|A_CTr_fscale,44.60726140118592,78.19464679641492,-0.6976482672345707,25.86190181751693
Ridge,33,SOLO_R_A_CT_random_grouped_scaling,SOLO_R·A·random,33. SOL|A_CTr_gscale,23.854244687017548,29.757116542575073,0.7541470851382559,17.067821078794466
Ridge,34,SOLO_R_A_CT_grid_feature_noise,SOLO_R·A·grid,34. SOL|A_CTg_fnoise,52.94400606335025,87.52298411717122,-1.1268551010149697,31.566416983816463
Ridge,35,SOLO_R_A_CT_grid_feature_scaling,SOLO_R·A·grid,35. SOL|A_CTg_fscale,44.60726140118592,78.19464679641492,-0.6976482672345707,25.86190181751693
Ridge,36,SOLO_R_A_CT_grid_grouped_scaling,SOLO_R·A·grid,36. SOL|A_CTg_gscale,23.854244687017548,29.757116542575073,0.7541470851382559,17.067821078794466
