model,feature_subset,data_branch,tuning_method,augmentation_strategy,branch_id,n_features,best_params,best_cv_score_mae,scoring,cv_strategy,notes
DummyRegressor,FUSION,N,none,none,FUSION_N_ST,189,{},,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""none""}"
Ridge,FUSION,N,none,none,FUSION_N_ST,189,{},,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""none""}"
Lasso,FUSION,N,none,none,FUSION_N_ST,189,{},,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""none""}"
ElasticNet,FUSION,N,none,none,FUSION_N_ST,189,{},,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""none""}"
SVR,FUSION,N,none,none,FUSION_N_ST,189,{},,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""none""}"
RandomForest,FUSION,N,none,none,FUSION_N_ST,189,{},,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""none""}"
XGBoost,FUSION,N,none,none,FUSION_N_ST,189,{},,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""none""}"
MLP,FUSION,N,none,none,FUSION_N_ST,189,{},,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""none""}"
BNN,FUSION,N,none,none,FUSION_N_ST,189,{},,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""none""}"
DummyRegressor,FUSION,N,none,none,FUSION_N_CT_random,189,{},,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""none""}"
Ridge,FUSION,N,random,none,FUSION_N_CT_random,189,"{""model__alpha"": 100}",35.19029025679653,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""random"", ""n_candidates"": 5}"
Lasso,FUSION,N,random,none,FUSION_N_CT_random,189,"{""model__alpha"": 0.01}",30.99340591128068,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""random"", ""n_candidates"": 5}"
ElasticNet,FUSION,N,random,none,FUSION_N_CT_random,189,"{""model__l1_ratio"": 0.7, ""model__alpha"": 0.1}",22.284980325432148,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""random"", ""n_candidates"": 20}"
SVR,FUSION,N,random,none,FUSION_N_CT_random,189,"{""model__gamma"": ""auto"", ""model__epsilon"": 0.1, ""model__C"": 100}",47.73174726714657,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""random"", ""n_candidates"": 20}"
RandomForest,FUSION,N,random,none,FUSION_N_CT_random,189,"{""model__n_estimators"": 100, ""model__min_samples_leaf"": 2, ""model__max_depth"": 3}",45.65233333333333,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""random"", ""n_candidates"": 20}"
XGBoost,FUSION,N,random,none,FUSION_N_CT_random,189,"{""model__subsample"": 0.6, ""model__reg_lambda"": 5, ""model__n_estimators"": 100, ""model__max_depth"": 2, ""model__learning_rate"": 0.1, ""model__colsample_bytree"": 0.5}",40.32635345458984,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""random"", ""n_candidates"": 20}"
MLP,FUSION,N,none,none,FUSION_N_CT_random,189,{},,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""none""}"
BNN,FUSION,N,none,none,FUSION_N_CT_random,189,{},,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""none""}"
DummyRegressor,FUSION,N,none,none,FUSION_N_CT_grid,189,{},,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""none""}"
Ridge,FUSION,N,grid,none,FUSION_N_CT_grid,189,"{""model__alpha"": 100}",35.19029025679653,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""grid"", ""n_candidates"": 5}"
