,std,rms,max,min,peak_to_peak,skewness,kurtosis,crest_factor,energy,absolute_mean,duration_s,n_samples,dominant_freq_hz,spectral_energy,spectral_centroid_hz
std,1.0,1.0,0.38699583543078786,-0.33983127998111956,0.36875296241723143,0.206116358734942,-0.3271359151462126,-0.4246321453899059,0.8905205245412984,0.9922222091824769,0.11752105461573031,0.11752105461573038,0.21263018021861615,0.801631016114148,0.08688488572612163
rms,1.0,1.0,0.38699583543078786,-0.33983127998111956,0.36875296241723143,0.206116358734942,-0.3271359151462126,-0.4246321453899059,0.8905205245412984,0.9922222091824769,0.11752105461573031,0.11752105461573041,0.21263018021861615,0.801631016114148,0.08688488572612159
max,0.38699583543078786,0.38699583543078786,1.0,-0.917762615389322,0.9750262936714758,-0.18480125393199448,0.2568265030156017,0.48627549512216445,0.36486071712182494,0.31219109634145353,0.031217876995187504,0.031217876995187993,0.3159728871830135,0.3296318535499149,0.5861161137387609
min,-0.33983127998111956,-0.33983127998111956,-0.917762615389322,1.0,-0.9830409399220609,0.2387020759283407,-0.2847790342492652,-0.5514025731606919,-0.3338969858372812,-0.2657952194747365,-0.000611950562788168,-0.0006119505627889028,-0.3122236339914905,-0.3035916940252945,-0.5178990882281135
peak_to_peak,0.36875296241723143,0.36875296241723143,0.9750262936714758,-0.9830409399220609,1.0,-0.21882845788176425,0.27785618068334933,0.5329167635889166,0.3552127416287202,0.2928059645609692,0.014758001377559359,0.014758001377559938,0.3205168038239232,0.3219969347163524,0.5602847284090936
skewness,0.206116358734942,0.206116358734942,-0.18480125393199448,0.2387020759283407,-0.21882845788176425,1.0,-0.6917478489058572,-0.5711959077991916,0.15127346492992547,0.24139003103067275,0.292957676548851,0.29295767654885063,-0.4505227526392241,0.1496625603361247,-0.2725765692971843
kurtosis,-0.3271359151462126,-0.3271359151462126,0.2568265030156017,-0.2847790342492652,0.27785618068334933,-0.6917478489058572,1.0,0.8690534009213396,-0.16304239984561653,-0.38199225984562335,-0.23847816606673106,-0.23847816606673078,0.5040705796097056,-0.13217896050215333,0.3067103553947229
crest_factor,-0.4246321453899059,-0.4246321453899059,0.48627549512216445,-0.5514025731606919,0.5329167635889166,-0.5711959077991916,0.8690534009213396,1.0,-0.2563091027602555,-0.49325196568068924,-0.14147706176378447,-0.14147706176378402,0.3569092339567907,-0.20985836193483226,0.4014986508341767
energy,0.8905205245412984,0.8905205245412984,0.36486071712182494,-0.3338969858372812,0.3552127416287202,0.15127346492992547,-0.16304239984561653,-0.2563091027602555,1.0,0.8631074846192076,0.3772742467359637,0.3772742467359638,0.3326698287019387,0.9819210437690293,0.07502662063177538
absolute_mean,0.9922222091824769,0.9922222091824769,0.31219109634145353,-0.2657952194747365,0.2928059645609692,0.24139003103067275,-0.38199225984562335,-0.49325196568068924,0.8631074846192076,1.0,0.0909548976742008,0.09095489767420084,0.15283304816293775,0.7689456235887111,0.02338521231337908
duration_s,0.11752105461573031,0.11752105461573031,0.031217876995187504,-0.000611950562788168,0.014758001377559359,0.292957676548851,-0.23847816606673106,-0.14147706176378447,0.3772742467359637,0.0909548976742008,1.0,1.0000000000000004,0.065981462196043,0.5074612242661541,-0.05319028689989898
n_samples,0.11752105461573038,0.11752105461573041,0.031217876995187993,-0.0006119505627889028,0.014758001377559938,0.29295767654885063,-0.23847816606673078,-0.14147706176378402,0.3772742467359638,0.09095489767420084,1.0000000000000004,1.0,0.06598146219604323,0.5074612242661541,-0.053190286899899124
dominant_freq_hz,0.21263018021861615,0.21263018021861615,0.3159728871830135,-0.3122236339914905,0.3205168038239232,-0.4505227526392241,0.5040705796097056,0.3569092339567907,0.3326698287019387,0.15283304816293775,0.065981462196043,0.06598146219604323,1.0,0.35944772002000563,0.38956751968656966
spectral_energy,0.801631016114148,0.801631016114148,0.3296318535499149,-0.3035916940252945,0.3219969347163524,0.1496625603361247,-0.13217896050215333,-0.20985836193483226,0.9819210437690293,0.7689456235887111,0.5074612242661541,0.5074612242661541,0.35944772002000563,1.0,0.05637557425966777
spectral_centroid_hz,0.08688488572612163,0.08688488572612159,0.5861161137387609,-0.5178990882281135,0.5602847284090936,-0.2725765692971843,0.3067103553947229,0.4014986508341767,0.07502662063177538,0.02338521231337908,-0.05319028689989898,-0.053190286899899124,0.38956751968656966,0.05637557425966777,1.0
