,VIF,mean_abs_corr,veredicto
energy,390.0,0.458,redundante (VIF>=10)
spectral_energy,272.2,0.445,redundante (VIF>=10)
absolute_mean,157.7,0.426,redundante (VIF>=10)
rms,62.7,0.448,redundante (VIF>=10)
std,62.7,0.448,redundante (VIF>=10)
crest_factor,57.0,0.419,redundante (VIF>=10)
kurtosis,24.4,0.357,redundante (VIF>=10)
min,12.7,0.385,redundante (VIF>=10)
max,8.1,0.398,solapada (VIF 5-10)
peak_to_peak,2.6,0.4,aporta (VIF<5)
dominant_freq_hz,2.5,0.289,aporta (VIF<5)
skewness,2.3,0.298,aporta (VIF<5)
spectral_centroid_hz,1.9,0.248,aporta (VIF<5)
n_samples,1.2,0.218,aporta (VIF<5)
duration_s,1.2,0.218,aporta (VIF<5)
