model,feature_subset,data_branch,tuning_branch,tuning_method,validation_type,augmentation_strategy,branch_id,n_features,MAE,RMSE,R2,MAPE_%,n_train,n_train_original,n_train_augmented,n_test,n_folds,notes
DummyRegressor,FUSION,N,ST,none,loeo,none,FUSION_N_ST,189,56.35555555555557,66.6823129787617,-0.23456790123456805,38.43096405818544,9,9,0,10,10,
Ridge,FUSION,N,ST,none,loeo,none,FUSION_N_ST,189,40.26449694139493,60.21782392980279,-0.0068013401599609224,26.40992576350075,9,9,0,10,10,
Lasso,FUSION,N,ST,none,loeo,none,FUSION_N_ST,189,33.63853415760626,39.94092827471477,0.557075219842377,21.64623801586801,9,9,0,10,10,
ElasticNet,FUSION,N,ST,none,loeo,none,FUSION_N_ST,189,24.526676518034854,35.84298307324255,0.6433009405060537,15.58426132907919,9,9,0,10,10,
SVR,FUSION,N,ST,none,loeo,none,FUSION_N_ST,189,60.412689646515574,69.81718688572498,-0.35337566104696605,39.33571143904285,9,9,0,10,10,
RandomForest,FUSION,N,ST,none,loeo,none,FUSION_N_ST,189,47.66107142857145,61.91524268301168,-0.064360696366492,32.16679832199162,9,9,0,10,10,
XGBoost,FUSION,N,ST,none,loeo,none,FUSION_N_ST,189,46.2455810546875,57.112623235796626,0.09435522411033259,29.4498463630217,9,9,0,10,10,
MLP,FUSION,N,ST,none,loeo,none,FUSION_N_ST,189,232.668214776481,595.6639641539172,-97.51363059884639,101.89454086909187,9,9,0,10,10,
BNN,FUSION,N,ST,none,loeo,none,FUSION_N_ST,189,41.1695556640625,53.02454835806059,0.21936570649436626,25.73982579814705,9,9,0,10,10,
DummyRegressor,FUSION,N,CT,none,loeo,none,FUSION_N_CT_random,189,56.35555555555557,66.6823129787617,-0.23456790123456805,38.43096405818544,9,9,0,10,10,
Ridge,FUSION,N,CT,random,loeo,none,FUSION_N_CT_random,189,43.60602563281867,63.826701718267365,-0.13109341787679507,28.393108360704733,9,9,0,10,10,
Lasso,FUSION,N,CT,random,loeo,none,FUSION_N_CT_random,189,36.84317912672374,47.712153980373515,0.3679495910400751,22.794790534627058,9,9,0,10,10,
ElasticNet,FUSION,N,CT,random,loeo,none,FUSION_N_CT_random,189,34.792971873251275,43.20252331609617,0.481782712871504,25.087364384839393,9,9,0,10,10,
SVR,FUSION,N,CT,random,loeo,none,FUSION_N_CT_random,189,61.52409480850808,70.9862262762667,-0.3990777443215092,40.47910913326963,9,9,0,10,10,
RandomForest,FUSION,N,CT,random,loeo,none,FUSION_N_CT_random,189,49.68658333333335,62.570889935428745,-0.08702200003652116,33.31735866236401,9,9,0,10,10,
XGBoost,FUSION,N,CT,random,loeo,none,FUSION_N_CT_random,189,41.84910583496094,58.93270396850196,0.03571279120660398,27.369625698756106,9,9,0,10,10,
MLP,FUSION,N,CT,none,loeo,none,FUSION_N_CT_random,189,232.668214776481,595.6639641539172,-97.51363059884639,101.89454086909187,9,9,0,10,10,
BNN,FUSION,N,CT,none,loeo,none,FUSION_N_CT_random,189,41.1695556640625,53.02454835806059,0.21936570649436626,25.73982579814705,9,9,0,10,10,
DummyRegressor,FUSION,N,CT,none,loeo,none,FUSION_N_CT_grid,189,56.35555555555557,66.6823129787617,-0.23456790123456805,38.43096405818544,9,9,0,10,10,
