model,feature_subset,data_branch,tuning_method,augmentation_strategy,branch_id,n_features,best_params,best_cv_score_mae,best_params_full_data,n_folds_tuned,params_stable_across_folds,scoring,cv_strategy,notes
DummyRegressor,FUSION,N,none,none,FUSION_N_ST,189,[],,{},0,,neg_mean_absolute_error,NESTED: GroupKFold(k=5) sobre los 9 experimentos de train de cada fold LOEO (held-out excluido),"{""method"": ""none""}"
Ridge,FUSION,N,none,none,FUSION_N_ST,189,[],,{},0,,neg_mean_absolute_error,NESTED: GroupKFold(k=5) sobre los 9 experimentos de train de cada fold LOEO (held-out excluido),"{""method"": ""none""}"
Lasso,FUSION,N,none,none,FUSION_N_ST,189,[],,{},0,,neg_mean_absolute_error,NESTED: GroupKFold(k=5) sobre los 9 experimentos de train de cada fold LOEO (held-out excluido),"{""method"": ""none""}"
ElasticNet,FUSION,N,none,none,FUSION_N_ST,189,[],,{},0,,neg_mean_absolute_error,NESTED: GroupKFold(k=5) sobre los 9 experimentos de train de cada fold LOEO (held-out excluido),"{""method"": ""none""}"
SVR,FUSION,N,none,none,FUSION_N_ST,189,[],,{},0,,neg_mean_absolute_error,NESTED: GroupKFold(k=5) sobre los 9 experimentos de train de cada fold LOEO (held-out excluido),"{""method"": ""none""}"
RandomForest,FUSION,N,none,none,FUSION_N_ST,189,[],,{},0,,neg_mean_absolute_error,NESTED: GroupKFold(k=5) sobre los 9 experimentos de train de cada fold LOEO (held-out excluido),"{""method"": ""none""}"
XGBoost,FUSION,N,none,none,FUSION_N_ST,189,[],,{},0,,neg_mean_absolute_error,NESTED: GroupKFold(k=5) sobre los 9 experimentos de train de cada fold LOEO (held-out excluido),"{""method"": ""none""}"
MLP,FUSION,N,none,none,FUSION_N_ST,189,[],,{},0,,neg_mean_absolute_error,NESTED: GroupKFold(k=5) sobre los 9 experimentos de train de cada fold LOEO (held-out excluido),"{""method"": ""none""}"
BNN,FUSION,N,none,none,FUSION_N_ST,189,[],,{},0,,neg_mean_absolute_error,NESTED: GroupKFold(k=5) sobre los 9 experimentos de train de cada fold LOEO (held-out excluido),"{""method"": ""none""}"
DummyRegressor,FUSION,N,none,none,FUSION_N_CT_random,189,[],,{},0,,neg_mean_absolute_error,NESTED: GroupKFold(k=5) sobre los 9 experimentos de train de cada fold LOEO (held-out excluido),"{""method"": ""none""}"
Ridge,FUSION,N,random,none,FUSION_N_CT_random,189,"[{""model__alpha"": 10}, {""model__alpha"": 0.01}, {""model__alpha"": 100}, {""model__alpha"": 0.01}, {""model__alpha"": 100}, {""model__alpha"": 100}, {""model__alpha"": 100}, {""model__alpha"": 100}, {""model__alpha"": 0.01}, {""model__alpha"": 100}]",40.14388282867726,"{""model__alpha"": 100}",10,False,neg_mean_absolute_error,NESTED: GroupKFold(k=5) sobre los 9 experimentos de train de cada fold LOEO (held-out excluido),"{""method"": ""random"", ""per_fold_info"": [{""method"": ""random"", ""n_candidates"": 5}, {""method"": ""random"", ""n_candidates"": 5}, {""method"": ""random"", ""n_candidates"": 5}, {""method"": ""random"", ""n_candidates"": 5}, {""method"": ""random"", ""n_candidates"": 5}, {""method"": ""random"", ""n_candidates"": 5}, {""method"": ""random"", ""n_candidates"": 5}, {""method"": ""random"", ""n_candidates"": 5}, {""method"": ""random"", ""n_candidates"": 5}, {""method"": ""random"", ""n_candidates"": 5}]}"
