group,model,feature_set,uses_x,uses_t,uses_physics,lambda_mono,lambda_smooth,lambda_rate,lambda_boundary,MAE,RMSE,R2,MAPE,monotonicity_violations,negative_rate_fraction,smoothness_penalty,rate_energy_spearman,degeneracy_original_mae,degeneracy_shuffled_x_mae,degeneracy_zero_x_mae,temporal_dominance_flag,interpretation
G1_sensor_only,Dummy,SOLO_A(95),True,False,False,,,,,56.35555555555557,66.6823129787617,-0.23456790123456805,38.43096405818544,9,1.0,0.16203703703703756,-0.25104822262671694,,,,,piso (media del train)
G1_sensor_only,ElasticNet(x),SOLO_A(95),True,False,False,,,,,19.0676065719693,26.547358239846673,0.8043245727659085,14.830258023774057,2,0.2222222222222222,3774.8438909666734,0.2333333333333333,,,,,mejor sensor-only del benchmark
G2_time_aware,Linear(t),t_only,False,True,False,,,,,9.934449807967372,12.144024208358429,0.9590532988754736,6.249660905366213,0,0.0,5.176084749163701,-0.3666666666666667,,,,,orden temporal solo
G2_time_aware,Poly2(t),t_only,False,True,False,,,,,4.964601871661609,6.242212712567996,0.9891814066316242,3.61049193209403,0,0.0,20.581579713811852,0.6833333333333333,,,,,BASELINE VINCULANTE (P2)
G2_time_aware,"ElasticNet(x,t)",SOLO_A(95)+t,True,True,False,,,,,17.46198497564197,24.047718248578576,0.8394384988816308,13.5940419364671,2,0.2222222222222222,3107.2754623784795,0.2333333333333333,,,,,"representante (x,t)"
G2_time_aware,"MLP(x,t)",SOLO_A(95)+t,True,True,False,,,,,266.4762613486714,457.2769227769721,-57.05668564045681,163.97929107467388,5,0.5555555555555556,611363.170973844,-0.39999999999999997,,,,,INESTABLE (P2); transparencia
G3_physics,PINN_no_physics,x_min(3)+t,True,True,False,0.0,0.0,0.0,0.0,18.766793060302735,27.62802498941021,0.7880695548990959,10.977376261461567,2,0.2222222222222222,1008.5277260087169,-0.13333333333333333,0.13385009765625,15.5362060546875,11.793033599853516,False,vs Poly2(t) +13.80 um; vs PINN_no_physics +0.00 um; 2 violaciones de monotonia
G3_physics,PINN_mono,x_min(3)+t,True,True,True,1.0,0.0,0.0,0.0,18.567839050292967,27.59574731689826,0.7885644600234618,10.87891970760656,3,0.3333333333333333,1025.3931743414432,-0.19999999999999998,4.119873046875e-05,15.40451889038086,11.656641387939453,False,vs Poly2(t) +13.60 um; vs PINN_no_physics -0.20 um; 3 violaciones de monotonia
G3_physics,PINN_smooth,x_min(3)+t,True,True,True,0.0,0.1,0.0,0.0,27.657167053222658,35.0406249075031,0.6590918724520083,21.532938131495023,3,0.3333333333333333,10531.433103155112,0.19999999999999998,0.00018463134765625,19.943862915039062,10.896675109863281,False,vs Poly2(t) +22.69 um; vs PINN_no_physics +8.89 um; 3 violaciones de monotonia
G3_physics,PINN_rate,x_min(3)+t,True,True,True,0.0,0.0,0.1,0.0,76.67178802490234,86.38610209983109,-1.0719602842005949,47.32795364328714,4,0.4444444444444444,45583.25184178794,-0.16666666666666669,3.814697265625e-06,41.54643020629883,53.40278778076172,False,vs Poly2(t) +71.71 um; vs PINN_no_physics +57.90 um; 4 violaciones de monotonia
G3_physics,PINN_mono_smooth,x_min(3)+t,True,True,True,1.0,0.1,0.0,0.0,27.200244140625,34.44690788756974,0.6705464759558112,21.08315071881078,3,0.3333333333333333,10149.785972527869,0.09999999999999999,1.678466796875e-05,19.836216735839844,10.987915802001954,False,vs Poly2(t) +22.24 um; vs PINN_no_physics +8.43 um; 3 violaciones de monotonia
G3_physics,PINN_full,x_min(3)+t,True,True,True,1.0,0.1,0.1,0.0,110.7735824584961,114.74753989548503,-2.6557832328895405,75.6829538347477,4,0.4444444444444444,88737.53993952501,0.0,0.03506927490234375,51.8061408996582,71.03044052124024,False,vs Poly2(t) +105.81 um; vs PINN_no_physics +92.01 um; 4 violaciones de monotonia
G3_physics,PINN_full_boundary_initial,x_min(3)+t,True,True,True,1.0,0.1,0.1,1.0,85.46398315429687,89.26202994147226,-1.2122142631021244,56.369739563098896,4,0.4444444444444444,57783.66790618838,-0.08333333333333334,7.8582763671875e-05,40.86705322265625,31.23465805053711,False,vs Poly2(t) +80.50 um; vs PINN_no_physics +66.70 um; 4 violaciones de monotonia
