model,experiment_id,experiment_order,VB_true,VB_pred,VB_failure_um,t_failure_pred,RUL_pred,RUL_units,crossing_status,is_extrapolated,notes
Poly2(t),66,1.0,85.0,89.8545454545455,300.0,10.770000000000008,9.770000000000008,experiment_order_steps,extrapolated_threshold_crossing,True,conceptual: T01 no alcanza el umbral; sin RUL_true; curva ajustada a todos los datos observados
Poly2(t),67,2.0,103.0,101.36363636363639,300.0,10.770000000000008,8.770000000000008,experiment_order_steps,extrapolated_threshold_crossing,True,conceptual: T01 no alcanza el umbral; sin RUL_true; curva ajustada a todos los datos observados
Poly2(t),68,3.0,119.0,115.16060606060607,300.0,10.770000000000008,7.7700000000000085,experiment_order_steps,extrapolated_threshold_crossing,True,conceptual: T01 no alcanza el umbral; sin RUL_true; curva ajustada a todos los datos observados
Poly2(t),69,4.0,136.0,131.24545454545455,300.0,10.770000000000008,6.7700000000000085,experiment_order_steps,extrapolated_threshold_crossing,True,conceptual: T01 no alcanza el umbral; sin RUL_true; curva ajustada a todos los datos observados
Poly2(t),70,5.0,150.0,149.6181818181818,300.0,10.770000000000008,5.7700000000000085,experiment_order_steps,extrapolated_threshold_crossing,True,conceptual: T01 no alcanza el umbral; sin RUL_true; curva ajustada a todos los datos observados
Poly2(t),73,6.0,168.0,170.27878787878785,300.0,10.770000000000008,4.7700000000000085,experiment_order_steps,extrapolated_threshold_crossing,True,conceptual: T01 no alcanza el umbral; sin RUL_true; curva ajustada a todos los datos observados
Poly2(t),74,7.0,190.0,193.2272727272727,300.0,10.770000000000008,3.7700000000000085,experiment_order_steps,extrapolated_threshold_crossing,True,conceptual: T01 no alcanza el umbral; sin RUL_true; curva ajustada a todos los datos observados
Poly2(t),75,8.0,215.0,218.46363636363628,300.0,10.770000000000008,2.7700000000000085,experiment_order_steps,extrapolated_threshold_crossing,True,conceptual: T01 no alcanza el umbral; sin RUL_true; curva ajustada a todos los datos observados
Poly2(t),76,9.0,245.0,245.98787878787869,300.0,10.770000000000008,1.7700000000000085,experiment_order_steps,extrapolated_threshold_crossing,True,conceptual: T01 no alcanza el umbral; sin RUL_true; curva ajustada a todos los datos observados
Poly2(t),77,10.0,280.0,275.7999999999999,300.0,10.770000000000008,0.7700000000000085,experiment_order_steps,extrapolated_threshold_crossing,True,conceptual: T01 no alcanza el umbral; sin RUL_true; curva ajustada a todos los datos observados
Linear(t),66,1.0,85.0,76.12727272727263,300.0,11.84000000000001,10.84000000000001,experiment_order_steps,extrapolated_threshold_crossing,True,conceptual: T01 no alcanza el umbral; sin RUL_true; curva ajustada a todos los datos observados
Linear(t),67,2.0,103.0,96.78787878787868,300.0,11.84000000000001,9.84000000000001,experiment_order_steps,extrapolated_threshold_crossing,True,conceptual: T01 no alcanza el umbral; sin RUL_true; curva ajustada a todos los datos observados
Linear(t),68,3.0,119.0,117.44848484848472,300.0,11.84000000000001,8.84000000000001,experiment_order_steps,extrapolated_threshold_crossing,True,conceptual: T01 no alcanza el umbral; sin RUL_true; curva ajustada a todos los datos observados
