model,feature,rank,mean_abs_shap,mean_shap
XGBoost_SOLO_R_N_CT_random,R_p1_std,1,8.615796,3.0378165
XGBoost_SOLO_R_N_CT_random,R_p2_kurtosis,2,5.537307,0.6267022
XGBoost_SOLO_R_N_CT_random,R_p1_rms,3,5.103165,1.1642876
XGBoost_SOLO_R_N_CT_random,R_p3_peak_to_peak,4,4.3538194,-1.1602235
XGBoost_SOLO_R_N_CT_random,R_p1_min,5,4.3423033,0.6508091
XGBoost_SOLO_R_N_CT_random,R_p1_kurtosis,6,3.6328316,-0.4909181
XGBoost_SOLO_R_N_CT_random,R_p1_crest_factor,7,3.535406,-0.2945187
XGBoost_SOLO_R_N_CT_random,R_p3_max,8,3.399704,0.42961
XGBoost_SOLO_R_N_CT_random,R_p1_max,9,3.185511,-0.24881749
XGBoost_SOLO_R_N_CT_random,R_p3_min,10,3.082096,-0.5664863
XGBoost_SOLO_R_N_CT_random,R_p4_kurtosis,11,2.8353443,0.4991192
XGBoost_SOLO_R_N_CT_random,R_rms_std_6_contacts,12,2.2190804,0.11506541
XGBoost_SOLO_R_N_CT_random,R_p4_max,13,2.0856857,0.74573797
XGBoost_SOLO_R_N_CT_random,R_p2_dominant_freq_hz,14,1.9060072,-0.2752573
XGBoost_SOLO_R_N_CT_random,R_p1_duration_s,15,1.685661,0.1253235
XGBoost_SOLO_R_N_CT_random,R_p4_duration_s,16,1.54757,-0.08021706
XGBoost_SOLO_R_N_CT_random,R_p2_rms,17,1.1961482,-0.27146238
XGBoost_SOLO_R_N_CT_random,R_p1_energy,18,1.052321,0.29688436
XGBoost_SOLO_R_N_CT_random,R_p5_kurtosis,19,1.0203426,0.15911092
XGBoost_SOLO_R_N_CT_random,R_p2_duration_s,20,0.8628783,0.054566026
XGBoost_SOLO_R_N_CT_random,R_p2_spectral_centroid_hz,21,0.85992604,0.3428144
XGBoost_SOLO_R_N_CT_random,R_p4_dominant_freq_hz,22,0.7926695,-0.095509015
XGBoost_SOLO_R_N_CT_random,R_p1_n_samples,23,0.5269059,0.035416085
XGBoost_SOLO_R_N_CT_random,R_p2_std,24,0.52169526,-0.12070646
XGBoost_SOLO_R_N_CT_random,R_p5_duration_s,25,0.4815691,-0.0006251216
XGBoost_SOLO_R_N_CT_random,R_p1_peak_to_peak,26,0.47015095,-0.15821025
XGBoost_SOLO_R_N_CT_random,R_p2_crest_factor,27,0.4670476,-0.024617003
XGBoost_SOLO_R_N_CT_random,R_p2_n_samples,28,0.39183146,-0.069998346
XGBoost_SOLO_R_N_CT_random,R_p6_n_samples,29,0.3752535,0.064067684
XGBoost_SOLO_R_N_CT_random,R_p1_dominant_freq_hz,30,0.36750335,0.11695252
XGBoost_SOLO_R_N_CT_random,R_p6_skewness,31,0.32766116,-0.012976497
XGBoost_SOLO_R_N_CT_random,R_p2_peak_to_peak,32,0.27856666,-0.03979523
XGBoost_SOLO_R_N_CT_random,R_p6_kurtosis,33,0.19464079,0.030903941
XGBoost_SOLO_R_N_CT_random,R_p1_spectral_centroid_hz,34,0.060135044,0.015825013
XGBoost_SOLO_R_N_CT_random,R_p1_skewness,35,0.048673365,-0.0128790615
XGBoost_SOLO_R_N_CT_random,R_p3_kurtosis,36,0.04624467,0.010797211
XGBoost_SOLO_R_N_CT_random,R_p1_absolute_mean,37,0.0,0.0
XGBoost_SOLO_R_N_CT_random,R_p2_spectral_energy,38,0.0,0.0
XGBoost_SOLO_R_N_CT_random,R_p2_absolute_mean,39,0.0,0.0
XGBoost_SOLO_R_N_CT_random,R_p2_energy,40,0.0,0.0
XGBoost_SOLO_R_N_CT_random,R_p2_skewness,41,0.0,0.0
XGBoost_SOLO_R_N_CT_random,R_p1_spectral_energy,42,0.0,0.0
XGBoost_SOLO_R_N_CT_random,R_p2_max,43,0.0,0.0
XGBoost_SOLO_R_N_CT_random,R_p2_min,44,0.0,0.0
XGBoost_SOLO_R_N_CT_random,R_p3_energy,45,0.0,0.0
XGBoost_SOLO_R_N_CT_random,R_p3_spectral_centroid_hz,46,0.0,0.0
XGBoost_SOLO_R_N_CT_random,R_p3_spectral_energy,47,0.0,0.0
XGBoost_SOLO_R_N_CT_random,R_p3_dominant_freq_hz,48,0.0,0.0
XGBoost_SOLO_R_N_CT_random,R_p3_n_samples,49,0.0,0.0
XGBoost_SOLO_R_N_CT_random,R_p4_min,50,0.0,0.0
XGBoost_SOLO_R_N_CT_random,R_p4_peak_to_peak,51,0.0,0.0
XGBoost_SOLO_R_N_CT_random,R_p4_rms,52,0.0,0.0
XGBoost_SOLO_R_N_CT_random,R_p4_std,53,0.0,0.0
XGBoost_SOLO_R_N_CT_random,R_p4_crest_factor,54,0.0,0.0
XGBoost_SOLO_R_N_CT_random,R_p4_skewness,55,0.0,0.0
XGBoost_SOLO_R_N_CT_random,R_p3_absolute_mean,56,0.0,0.0
XGBoost_SOLO_R_N_CT_random,R_p3_duration_s,57,0.0,0.0
XGBoost_SOLO_R_N_CT_random,R_p3_crest_factor,58,0.0,0.0
XGBoost_SOLO_R_N_CT_random,R_p3_std,59,0.0,0.0
XGBoost_SOLO_R_N_CT_random,R_p3_rms,60,0.0,0.0
XGBoost_SOLO_R_N_CT_random,R_p3_skewness,61,0.0,0.0
XGBoost_SOLO_R_N_CT_random,R_p5_std,62,0.0,0.0
XGBoost_SOLO_R_N_CT_random,R_p4_spectral_centroid_hz,63,0.0,0.0
XGBoost_SOLO_R_N_CT_random,R_p4_spectral_energy,64,0.0,0.0
XGBoost_SOLO_R_N_CT_random,R_p4_n_samples,65,0.0,0.0
XGBoost_SOLO_R_N_CT_random,R_p4_energy,66,0.0,0.0
XGBoost_SOLO_R_N_CT_random,R_p4_absolute_mean,67,0.0,0.0
XGBoost_SOLO_R_N_CT_random,R_p5_min,68,0.0,0.0
XGBoost_SOLO_R_N_CT_random,R_p5_rms,69,0.0,0.0
XGBoost_SOLO_R_N_CT_random,R_p5_energy,70,0.0,0.0
XGBoost_SOLO_R_N_CT_random,R_p5_absolute_mean,71,0.0,0.0
XGBoost_SOLO_R_N_CT_random,R_p5_n_samples,72,0.0,0.0
XGBoost_SOLO_R_N_CT_random,R_p5_dominant_freq_hz,73,0.0,0.0
XGBoost_SOLO_R_N_CT_random,R_p5_peak_to_peak,74,0.0,0.0
XGBoost_SOLO_R_N_CT_random,R_p5_skewness,75,0.0,0.0
XGBoost_SOLO_R_N_CT_random,R_p5_crest_factor,76,0.0,0.0
XGBoost_SOLO_R_N_CT_random,R_p5_max,77,0.0,0.0
XGBoost_SOLO_R_N_CT_random,R_p6_rms,78,0.0,0.0
XGBoost_SOLO_R_N_CT_random,R_p6_std,79,0.0,0.0
XGBoost_SOLO_R_N_CT_random,R_p5_spectral_centroid_hz,80,0.0,0.0
XGBoost_SOLO_R_N_CT_random,R_p5_spectral_energy,81,0.0,0.0
XGBoost_SOLO_R_N_CT_random,R_p6_peak_to_peak,82,0.0,0.0
XGBoost_SOLO_R_N_CT_random,R_p6_crest_factor,83,0.0,0.0
XGBoost_SOLO_R_N_CT_random,R_p6_min,84,0.0,0.0
XGBoost_SOLO_R_N_CT_random,R_p6_max,85,0.0,0.0
XGBoost_SOLO_R_N_CT_random,R_p6_absolute_mean,86,0.0,0.0
XGBoost_SOLO_R_N_CT_random,R_p6_energy,87,0.0,0.0
XGBoost_SOLO_R_N_CT_random,R_p6_dominant_freq_hz,88,0.0,0.0
XGBoost_SOLO_R_N_CT_random,R_p6_duration_s,89,0.0,0.0
XGBoost_SOLO_R_N_CT_random,R_p6_spectral_energy,90,0.0,0.0
XGBoost_SOLO_R_N_CT_random,R_p6_spectral_centroid_hz,91,0.0,0.0
XGBoost_SOLO_R_N_CT_random,R_rms_mean_6_contacts,92,0.0,0.0
XGBoost_SOLO_R_N_CT_random,R_energy_total_6_contacts,93,0.0,0.0
