tool_id,n_future,q_um,coverage,mean_width_um,mae_um
T1,2,86.02,1.0,172.04,7.19
T2,2,86.02,1.0,172.04,7.58
T3,2,86.02,1.0,172.04,9.6
T4,2,86.02,1.0,172.04,7.97
T5,2,86.02,1.0,172.04,16.65
T6,2,86.02,1.0,172.04,25.65
T7,2,86.02,1.0,172.04,9.55
T8,2,86.02,1.0,172.04,5.05
T9,2,86.02,1.0,172.04,9.02
T10,2,86.02,1.0,172.04,2.94
T11,2,86.02,1.0,172.04,3.47
T12,2,86.02,1.0,172.04,6.59
T13,2,86.02,1.0,172.04,15.59
T14,9,80.82,0.3333333333333333,161.64,89.64
T15,2,86.02,1.0,172.04,19.61
T16,3,86.02,1.0,172.04,18.69
T17,2,86.02,1.0,172.04,27.64
T18,76,119.17,1.0,238.35,54.07
