K,m,model,MAE,R2_pooled,MAE_c1,MAE_c4,MAE_c6
10,3,physics,20.94,0.69,19.51,22.6,20.72
10,3,avgcurve,15.66,0.74,20.86,11.12,14.99
10,3,linear,46.86,-0.49,56.84,51.99,31.74
10,4,physics,30.1,0.06,28.33,25.2,36.77
10,4,avgcurve,15.79,0.74,20.15,10.59,16.64
10,4,linear,17.92,0.72,7.05,27.87,18.86
5,3,physics,37.74,-0.33,23.83,38.97,50.41
5,3,avgcurve,23.11,0.59,26.79,21.12,21.41
5,3,linear,24.03,0.45,6.61,30.93,34.54
5,4,physics,49.1,-3.64,22.03,82.16,43.11
5,4,avgcurve,30.83,-0.69,46.24,30.43,15.81
5,4,linear,39.76,-2.29,11.29,69.67,38.31
