tool,vb_c,t_ref,t_true,t_pred,RUL_true,RUL_pred,abs_err,RA,alpha_hit,in_window,win_lo,win_hi
T2,150.0,3.0,3.62,4.69,0.62,1.69,1.06,-0.713,0,1,-7.1,16.48
T4,120.0,3.0,3.4,5.42,0.4,2.42,2.02,-4.047,0,1,-5.76,16.6
T8,120.0,3.0,3.22,3.2,0.22,0.2,0.03,0.881,1,1,1.29,5.1
T9,175.0,3.0,4.92,6.55,1.92,3.55,1.63,0.15,0,1,-3.29,16.39
T10,150.0,3.0,4.42,7.05,1.42,4.05,2.63,-0.858,0,1,-9.18,23.28
T11,150.0,3.0,3.08,3.16,0.08,0.16,0.08,0.092,0,1,0.08,6.24
T14,150.0,3.0,5.18,11.92,2.18,8.92,6.74,-2.09,0,1,-12.26,36.1
T14,175.0,3.0,7.83,30.66,4.83,27.66,22.82,-3.722,0,1,-20.81,82.13
T14,200.0,3.0,11.0,67.82,8.0,64.82,56.82,-6.103,0,1,-29.32,164.97
T15,200.0,3.0,4.06,12.43,1.06,9.43,8.36,-6.861,0,1,-18.22,43.08
T16,150.0,3.0,3.2,3.07,0.2,0.07,0.13,0.364,0,1,1.68,4.47
T17,200.0,3.0,4.23,3.96,1.23,0.96,0.27,0.777,0,1,2.61,5.31
T18,120.0,3.0,12.31,17.48,9.31,14.48,5.17,0.444,0,1,-0.63,35.59
T18,150.0,3.0,20.25,28.66,17.25,25.66,8.41,0.512,0,1,8.17,49.16
T18,175.0,3.0,42.0,38.93,39.0,35.93,3.07,0.921,1,1,16.81,61.06
T18,200.0,3.0,73.5,49.94,70.5,46.94,23.56,0.666,0,0,26.39,73.48
