feature,VIP
R_rms_freq,2.58
A_rms,1.5
A_energy,1.48
R_dominant_freq,1.27
R_band4_energy,1.17
R_wavelet_d1_energy,1.17
A_crest_factor,1.12
A_band3_energy,1.09
A_wavelet_d2_energy,1.05
A_wavelet_d1_energy,1.04
A_band2_energy,1.03
R_wavelet_d2_energy,1.01
A_band4_energy,1.01
A_band5_energy,1.01
R_band2_energy,0.94
A_spectral_kurtosis,0.94
R_band5_energy,0.92
A_wavelet_d3_energy,0.87
A_dominant_freq,0.85
A_rms_freq,0.84
R_energy,0.72
R_rms,0.72
R_spectral_kurtosis,0.71
R_wavelet_d3_energy,0.61
R_band3_energy,0.6
A_kurtosis,0.43
R_band1_energy,0.41
A_band1_energy,0.4
R_kurtosis,0.37
A_wavelet_approx_energy,0.25
R_wavelet_approx_energy,0.1
R_crest_factor,0.08
