feature,drop,reason,cluster,kendall_abs,variance
A_band1_energy__mean,False,,,0.3,1.2724504641935675e+26
A_band1_energy__median,False,,,0.187,7.82247738789675e+25
A_band1_energy__std,False,,,0.34,1.1662578473735365e+26
A_band1_ratio__median,False,L3_low_assoc(|tau|<0.1),,0.038,0.06368365706854782
A_band1_ratio__std,False,L3_low_assoc(|tau|<0.1),,0.025,0.0028410488488895365
A_band2_energy__std,False,,,0.232,1.5427743946955218e+27
A_band2_ratio__median,False,L3_low_assoc(|tau|<0.1),,0.056,0.03519943732950909
A_band2_ratio__std,False,L3_low_assoc(|tau|<0.1),,0.02,0.0018698150736067014
A_band3_energy__mean,False,,,0.178,3.4185771342403342e+25
A_band3_energy__median,False,,,0.132,2.462529129168191e+25
A_band3_energy__std,False,,,0.196,2.2414629795619013e+25
A_band3_ratio__median,False,L3_low_assoc(|tau|<0.1),,0.078,0.009831777140505368
A_band3_ratio__std,False,L3_low_assoc(|tau|<0.1),,0.02,0.0012171329939595346
A_band4_energy__mean,False,,,0.124,9.65602827791799e+18
A_band4_energy__median,False,L3_low_assoc(|tau|<0.1),,0.077,9.505005553888858e+18
A_band4_energy__std,False,,,0.133,7.06046766099806e+18
A_band5_energy__median,False,,,0.157,1217127251714311.0
A_band5_energy__std,False,,,0.177,5274215250260577.0
A_crest_factor__std,False,,,0.186,3.1740222321771796
A_dominant_freq__mean,False,,,0.133,4971922.298679677
A_dominant_freq__median,False,,,0.124,6754617.016099063
A_dominant_freq__std,False,,,0.165,1502731.1304211726
A_energy__median,False,,,0.243,3.5932695851682656e+17
A_energy__std,False,,,0.273,8.49721302560312e+16
A_entropy__mean,False,L3_low_assoc(|tau|<0.1),,0.004,0.30338788183441867
A_entropy__median,False,L3_low_assoc(|tau|<0.1),,0.027,0.3391992961218158
A_entropy__std,False,L3_low_assoc(|tau|<0.1),,0.038,0.10583010242194119
A_freq_variance__median,False,,,0.338,4661377906182.376
A_freq_variance__std,False,,,0.348,552614112288.7162
A_kurtosis__mean,False,,,0.17,12.140663001204912
A_kurtosis__median,False,,,0.146,7.1913504458297455
A_kurtosis__std,False,,,0.159,22.368237983269434
A_margin_factor__mean,False,,,0.192,46.16239562567553
A_margin_factor__median,False,,,0.173,44.31570699537174
A_margin_factor__std,False,,,0.184,17.84227060501728
