tool,model,vb_failure_um,predicted_T_fail,T_L,T_R,censoring,failure_mode,interval_hit,distance_to_interval,unsafe_overestimation,conservative_underestimation,interval_width,rc_after_TL
T01,Linear(t),220,12.85,10.0,12.0,right(parametric_TR),breakage_interval,False,0.85,True,False,2.0,True
T01,Linear(t),250,15.9,10.0,12.0,right(parametric_TR),breakage_interval,False,3.9,True,False,2.0,True
T01,Linear(t),300,21.0,10.0,12.0,right(parametric_TR),breakage_interval,False,9.0,True,False,2.0,True
T01,Linear(t),600,,10.0,12.0,right(parametric_TR),no_prediction,,,,,2.0,
T01,Poly2(t),220,13.4,10.0,12.0,right(parametric_TR),breakage_interval,False,1.4,True,False,2.0,True
T01,Poly2(t),250,17.6,10.0,12.0,right(parametric_TR),breakage_interval,False,5.6,True,False,2.0,True
T01,Poly2(t),300,,10.0,12.0,right(parametric_TR),no_prediction,,,,,2.0,
T01,Poly2(t),600,,10.0,12.0,right(parametric_TR),no_prediction,,,,,2.0,
T01,Classical_best(EN),220,,10.0,12.0,right(parametric_TR),no_prediction,,,,,2.0,
T01,Classical_best(EN),250,,10.0,12.0,right(parametric_TR),no_prediction,,,,,2.0,
T01,Classical_best(EN),300,,10.0,12.0,right(parametric_TR),no_prediction,,,,,2.0,
T01,Classical_best(EN),600,,10.0,12.0,right(parametric_TR),no_prediction,,,,,2.0,
T01,PINN_mono,220,14.85,10.0,12.0,right(parametric_TR),breakage_interval,False,2.85,True,False,2.0,True
T01,PINN_mono,250,,10.0,12.0,right(parametric_TR),no_prediction,,,,,2.0,
T01,PINN_mono,300,,10.0,12.0,right(parametric_TR),no_prediction,,,,,2.0,
T01,PINN_mono,600,,10.0,12.0,right(parametric_TR),no_prediction,,,,,2.0,
T01,PINN_softplus_rate,220,15.9,10.0,12.0,right(parametric_TR),breakage_interval,False,3.9,True,False,2.0,True
T01,PINN_softplus_rate,250,,10.0,12.0,right(parametric_TR),no_prediction,,,,,2.0,
T01,PINN_softplus_rate,300,,10.0,12.0,right(parametric_TR),no_prediction,,,,,2.0,
T01,PINN_softplus_rate,600,,10.0,12.0,right(parametric_TR),no_prediction,,,,,2.0,
T01,PINN_mono+softplus,220,16.15,10.0,12.0,right(parametric_TR),breakage_interval,False,4.15,True,False,2.0,True
T01,PINN_mono+softplus,250,,10.0,12.0,right(parametric_TR),no_prediction,,,,,2.0,
T01,PINN_mono+softplus,300,,10.0,12.0,right(parametric_TR),no_prediction,,,,,2.0,
T01,PINN_mono+softplus,600,,10.0,12.0,right(parametric_TR),no_prediction,,,,,2.0,
