p_strategy,m,fit,lam,MAE,RMSE,n,mondrian_cov,mondrian_width
full,2,theil_sen,0.0,13.807,20.577,18,87.8,68.7
full,2,theil_sen,0.2,12.725,19.283,18,91.8,63.0
full,2,theil_sen,0.4,13.664,22.935,18,90.5,61.3
full,2,theil_sen,0.6,15.494,29.764,18,87.1,62.9
full,2,theil_sen,0.8,17.517,38.099,18,86.3,73.7
full,2,siegel,0.0,13.807,20.577,18,87.8,68.7
full,2,siegel,0.2,12.725,19.283,18,91.8,63.0
full,2,siegel,0.4,13.664,22.935,18,90.5,61.3
full,2,siegel,0.6,15.494,29.764,18,87.1,62.9
full,2,siegel,0.8,17.517,38.099,18,86.3,73.7
full,2,ols,0.0,13.807,20.577,18,87.8,68.7
full,2,ols,0.2,12.725,19.283,18,91.8,63.0
full,2,ols,0.4,13.664,22.935,18,90.5,61.3
full,2,ols,0.6,15.494,29.764,18,87.1,62.9
full,2,ols,0.8,17.517,38.099,18,86.3,73.7
full,3,theil_sen,0.0,11.574,16.361,18,90.1,52.5
full,3,theil_sen,0.2,12.356,19.423,18,89.3,53.0
full,3,theil_sen,0.4,14.045,24.922,18,88.3,52.1
full,3,theil_sen,0.6,16.018,31.649,18,87.7,57.7
full,3,theil_sen,0.8,18.206,39.024,18,87.1,65.3
full,3,siegel,0.0,11.256,15.952,18,90.9,51.6
full,3,siegel,0.2,12.043,19.249,18,89.2,52.1
full,3,siegel,0.4,13.516,24.839,18,88.2,51.3
full,3,siegel,0.6,15.682,31.628,18,87.7,54.6
full,3,siegel,0.8,18.047,39.025,18,87.1,64.0
full,3,ols,0.0,11.874,16.734,18,90.3,53.3
full,3,ols,0.2,12.546,19.503,18,89.4,53.3
full,3,ols,0.4,14.202,24.954,18,88.4,52.3
full,3,ols,0.6,16.12,31.657,18,87.7,58.7
full,3,ols,0.8,18.255,39.024,18,87.1,65.7
full,4,theil_sen,0.0,9.666,12.832,18,93.5,56.2
full,4,theil_sen,0.2,10.866,15.756,18,92.0,61.1
full,4,theil_sen,0.4,12.908,22.096,18,90.9,67.7
full,4,theil_sen,0.6,15.413,29.777,18,90.4,74.5
full,4,theil_sen,0.8,18.076,37.957,18,89.9,86.5
full,4,siegel,0.0,10.095,13.91,18,93.0,66.9
full,4,siegel,0.2,11.181,16.368,18,91.8,69.7
full,4,siegel,0.4,13.111,22.363,18,90.8,73.8
full,4,siegel,0.6,15.446,29.844,18,90.3,78.5
full,4,siegel,0.8,18.082,37.976,18,89.8,86.5
full,4,ols,0.0,10.137,13.229,18,92.4,51.7
full,4,ols,0.2,11.228,16.219,18,92.1,57.9
full,4,ols,0.4,13.253,22.514,18,91.0,65.4
full,4,ols,0.6,15.654,30.052,18,90.4,73.0
full,4,ols,0.8,18.194,38.091,18,89.9,86.6
full,5,theil_sen,0.0,13.512,15.577,3,82.4,55.2
full,5,theil_sen,0.2,20.497,29.808,3,81.1,126.0
full,5,theil_sen,0.4,30.475,48.723,3,77.0,196.6
full,5,theil_sen,0.6,41.743,68.37,3,73.9,266.7
full,5,theil_sen,0.8,53.132,88.308,3,71.6,336.7
full,5,siegel,0.0,11.792,14.549,3,77.5,53.7
full,5,siegel,0.2,19.471,29.778,3,80.2,125.0
full,5,siegel,0.4,29.751,48.846,3,76.6,195.8
full,5,siegel,0.6,41.266,68.496,3,73.4,266.2
full,5,siegel,0.8,52.894,88.383,3,71.6,336.5
full,5,ols,0.0,17.395,19.002,3,93.7,63.5
full,5,ols,0.2,23.728,31.792,3,82.9,132.6
full,5,ols,0.4,32.942,49.85,3,77.9,201.5
full,5,ols,0.6,43.394,69.005,3,74.8,269.9
full,5,ols,0.8,53.957,88.592,3,71.6,338.4
m_matched,2,theil_sen,0.0,13.419,25.843,18,92.2,76.1
m_matched,2,theil_sen,0.2,14.658,31.962,18,91.5,76.7
m_matched,2,theil_sen,0.4,16.794,41.721,18,90.0,82.6
m_matched,2,theil_sen,0.6,19.338,53.152,18,88.9,88.5
m_matched,2,theil_sen,0.8,22.174,65.384,18,85.9,95.1
m_matched,2,siegel,0.0,13.419,25.843,18,92.2,76.1
m_matched,2,siegel,0.2,14.658,31.962,18,91.5,76.7
m_matched,2,siegel,0.4,16.794,41.721,18,90.0,82.6
m_matched,2,siegel,0.6,19.338,53.152,18,88.9,88.5
m_matched,2,siegel,0.8,22.174,65.384,18,85.9,95.1
m_matched,2,ols,0.0,13.419,25.843,18,92.2,76.1
m_matched,2,ols,0.2,14.658,31.962,18,91.5,76.7
m_matched,2,ols,0.4,16.794,41.721,18,90.0,82.6
m_matched,2,ols,0.6,19.338,53.152,18,88.9,88.5
m_matched,2,ols,0.8,22.174,65.384,18,85.9,95.1
m_matched,3,theil_sen,0.0,14.63,27.969,18,89.6,61.9
m_matched,3,theil_sen,0.2,15.622,36.554,18,89.1,62.4
m_matched,3,theil_sen,0.4,17.731,46.367,18,85.8,64.3
m_matched,3,theil_sen,0.6,20.364,56.693,18,87.3,67.6
m_matched,3,theil_sen,0.8,23.241,67.245,18,87.3,79.3
m_matched,3,siegel,0.0,14.692,28.079,18,89.6,61.9
m_matched,3,siegel,0.2,15.605,36.643,18,89.0,62.4
m_matched,3,siegel,0.4,17.622,46.417,18,85.8,64.3
m_matched,3,siegel,0.6,20.296,56.719,18,85.4,67.4
m_matched,3,siegel,0.8,23.219,67.261,18,87.3,78.9
m_matched,3,ols,0.0,14.575,27.925,18,89.7,61.9
m_matched,3,ols,0.2,15.627,36.527,18,89.1,62.4
m_matched,3,ols,0.4,17.766,46.351,18,85.8,64.3
m_matched,3,ols,0.6,20.386,56.684,18,87.3,67.6
m_matched,3,ols,0.8,23.248,67.239,18,87.3,79.5
m_matched,4,theil_sen,0.0,9.124,11.909,18,89.7,48.6
m_matched,4,theil_sen,0.2,10.137,15.057,18,89.8,54.4
m_matched,4,theil_sen,0.4,12.2,21.706,18,90.1,61.6
m_matched,4,theil_sen,0.6,14.687,29.506,18,89.3,69.3
m_matched,4,theil_sen,0.8,17.427,37.783,18,89.1,77.7
m_matched,4,siegel,0.0,10.664,14.009,18,90.2,63.0
m_matched,4,siegel,0.2,11.192,16.28,18,89.8,65.6
m_matched,4,siegel,0.4,12.876,22.25,18,89.6,69.5
