m,lam_phys,beta,gamma,MAE,MAE_median,coverage,eligible,n
4,0.5,0.3,4.0,6.133,4.95,94.0,True,18
4,0.5,0.3,3.0,6.255,4.95,94.0,True,18
4,0.5,0.3,2.0,6.427,4.95,94.0,True,18
4,1.0,0.3,4.0,6.604,5.018,94.0,True,18
4,1.0,0.3,3.0,6.604,5.018,94.0,True,18
4,1.0,0.3,2.0,6.667,5.067,94.0,True,18
4,0.5,0.0,4.0,6.789,4.966,94.0,True,18
4,0.5,0.0,3.0,6.957,4.966,94.0,True,18
4,0.5,0.0,2.0,6.995,5.06,94.0,True,18
4,2.0,0.3,4.0,7.173,5.625,94.0,True,18
4,2.0,0.3,3.0,7.233,5.625,94.0,True,18
4,2.0,0.3,2.0,7.266,5.625,94.0,True,18
4,1.0,0.0,4.0,7.503,5.348,94.0,True,18
4,1.0,0.0,2.0,7.503,5.348,94.0,True,18
4,1.0,0.0,3.0,7.503,5.348,94.0,True,18
4,2.0,0.0,3.0,8.026,5.557,94.0,True,18
4,2.0,0.0,4.0,8.026,5.557,94.0,True,18
4,2.0,0.0,2.0,8.227,5.557,94.0,True,18
