tool,nested_MAE,winner
T1,0.618,"(0.5, 0.3, 4.0)"
T2,3.046,"(0.5, 0.3, 4.0)"
T3,2.477,"(0.5, 0.3, 4.0)"
T4,10.471,"(0.5, 0.3, 4.0)"
T5,1.571,"(0.5, 0.3, 4.0)"
T6,0.0,"(0.5, 0.3, 4.0)"
T7,7.911,"(0.5, 0.3, 4.0)"
T8,2.174,"(0.5, 0.3, 4.0)"
T9,2.019,"(0.5, 0.3, 4.0)"
T10,4.212,"(0.5, 0.3, 4.0)"
T11,3.834,"(0.5, 0.3, 4.0)"
T12,6.989,"(0.5, 0.3, 4.0)"
T13,5.688,"(0.5, 0.3, 4.0)"
T14,6.294,"(0.5, 0.3, 4.0)"
T15,14.111,"(0.5, 0.3, 4.0)"
T16,16.035,"(0.5, 0.3, 3.0)"
T17,8.542,"(0.5, 0.3, 4.0)"
T18,16.595,"(0.5, 0.3, 4.0)"
