regime,m,model,n_tools,MAE,MAE_median,coverage,width
R0,2,pinode,18,11.85,6.8,93.4,69.5
R0,2,pinode_nogate,18,12.56,6.86,,
R0,2,ode_nophys,18,13.15,7.1,,
R0,2,p1,18,13.81,10.86,,
R0,2,gru,18,13.9,8.31,,
R0,3,pinode,18,11.64,7.89,93.2,74.9
R0,3,pinode_nogate,18,12.09,9.06,,
R0,3,ode_nophys,18,12.19,7.58,,
R0,3,p1,18,11.57,8.86,,
R0,3,gru,18,12.45,8.56,,
R0,4,pinode,18,9.87,7.83,94.0,57.3
R0,4,pinode_nogate,18,10.77,8.11,,
R0,4,ode_nophys,18,9.81,7.03,,
R0,4,p1,18,9.67,7.61,,
R0,4,gru,18,10.17,6.02,,
R1,2,pinode,18,13.82,9.61,93.4,87.7
R1,2,pinode_nogate,18,14.13,9.77,,
R1,2,ode_nophys,18,15.85,9.34,,
R1,2,p1,18,15.57,11.01,,
R1,2,gru,18,14.02,9.57,,
R1,3,pinode,18,11.62,10.08,93.2,55.8
R1,3,pinode_nogate,18,12.37,9.29,,
R1,3,ode_nophys,18,12.47,8.15,,
R1,3,p1,18,11.9,9.07,,
R1,3,gru,18,13.84,7.3,,
R1,4,pinode,18,10.85,7.48,94.0,73.3
R1,4,pinode_nogate,18,11.57,7.58,,
R1,4,ode_nophys,18,10.7,8.55,,
R1,4,p1,18,10.83,7.53,,
R1,4,gru,18,11.24,7.83,,
R2,2,pinode,18,13.96,11.53,94.0,64.4
R2,2,pinode_nogate,18,15.1,12.54,,
R2,2,ode_nophys,18,15.59,10.81,,
R2,2,p1,18,15.2,11.36,,
R2,2,gru,18,28.0,27.24,,
R2,3,pinode,3,13.28,13.27,92.7,76.8
R2,3,pinode_nogate,3,17.5,17.03,,
R2,3,ode_nophys,3,13.21,15.06,,
R2,3,p1,3,14.5,14.5,,
R2,3,gru,3,22.85,7.61,,
R2,4,pinode,2,19.01,19.01,92.4,61.6
R2,4,pinode_nogate,2,21.92,21.92,,
R2,4,ode_nophys,2,16.6,16.6,,
R2,4,p1,2,20.93,20.93,,
R2,4,gru,2,46.83,46.83,,
