horizon,n,gamma_record,gamma_adopted,MAE_record,MAE_adopted,gain_um,gain_pct
1,18.0,3.0,8.0,3.92,2.28,1.64,41.8
2,3.0,3.0,4.0,7.7,7.4,0.3,3.9
3,2.0,3.0,2.667,4.85,4.35,0.5,10.3
4,2.0,3.0,2.0,8.27,6.24,2.03,24.5
5,2.0,3.0,1.6,14.62,11.1,3.52,24.1
6,2.0,3.0,1.333,15.91,10.95,4.96,31.2
7,2.0,3.0,1.143,20.16,13.81,6.35,31.5
8,2.0,3.0,1.0,24.36,16.65,7.71,31.7
9,1.0,3.0,0.889,30.3,28.04,2.26,7.5
10,1.0,3.0,0.8,31.83,29.31,2.52,7.9
11,1.0,3.0,0.727,33.4,30.63,2.77,8.3
12,1.0,3.0,0.667,32.01,28.99,3.02,9.4
13,1.0,3.0,0.615,30.67,27.4,3.27,10.7
14,1.0,3.0,0.571,30.35,26.86,3.49,11.5
15,1.0,3.0,0.533,34.07,30.34,3.73,10.9
16,1.0,3.0,0.5,33.81,29.86,3.95,11.7
17,1.0,3.0,0.471,35.59,31.42,4.17,11.7
18,1.0,3.0,0.444,34.39,30.0,4.39,12.8
19,1.0,3.0,0.421,36.21,31.61,4.6,12.7
20,1.0,3.0,0.4,36.06,31.25,4.81,13.3
21,1.0,3.0,0.381,34.93,29.91,5.02,14.4
22,1.0,3.0,0.364,33.83,28.6,5.23,15.5
23,1.0,3.0,0.348,33.24,27.8,5.44,16.4
24,1.0,3.0,0.333,31.92,26.28,5.64,17.7
25,1.0,3.0,0.32,30.62,24.78,5.84,19.1
26,1.0,3.0,0.308,29.59,23.55,6.04,20.4
27,1.0,3.0,0.296,28.07,21.84,6.23,22.2
28,1.0,3.0,0.286,26.57,20.15,6.42,24.2
29,1.0,3.0,0.276,26.09,19.47,6.62,25.4
30,1.0,3.0,0.267,24.87,18.06,6.81,27.4
31,1.0,3.0,0.258,23.67,16.67,7.0,29.6
32,1.0,3.0,0.25,22.23,15.04,7.19,32.3
33,1.0,3.0,0.242,20.55,13.18,7.37,35.9
34,1.0,3.0,0.235,18.89,11.33,7.56,40.0
35,1.0,3.0,0.229,18.49,10.74,7.75,41.9
36,1.0,3.0,0.222,17.35,9.42,7.93,45.7
37,1.0,3.0,0.216,16.22,8.11,8.11,50.0
38,1.0,3.0,0.211,15.35,7.07,8.28,53.9
39,1.0,3.0,0.205,14.5,6.03,8.47,58.4
40,1.0,3.0,0.2,13.66,5.01,8.65,63.3
41,1.0,3.0,0.195,12.82,4.0,8.82,68.8
42,1.0,3.0,0.19,12.0,3.0,9.0,75.0
43,1.0,3.0,0.186,10.79,1.61,9.18,85.1
44,1.0,3.0,0.182,9.58,0.23,9.35,97.6
45,1.0,3.0,0.178,8.39,1.13,7.26,86.5
46,1.0,3.0,0.174,7.2,2.49,4.71,65.4
47,1.0,3.0,0.17,6.03,3.84,2.19,36.3
48,1.0,3.0,0.167,4.66,5.38,-0.72,-15.5
49,1.0,3.0,0.163,3.3,6.91,-3.61,-109.4
50,1.0,3.0,0.16,1.95,8.43,-6.48,-332.3
51,1.0,3.0,0.157,0.6,9.94,-9.34,-1556.7
52,1.0,3.0,0.154,0.73,11.44,-10.71,-1467.1
53,1.0,3.0,0.151,2.06,12.93,-10.87,-527.7
54,1.0,3.0,0.148,3.38,14.42,-11.04,-326.6
55,1.0,3.0,0.145,4.69,15.9,-11.21,-239.0
56,1.0,3.0,0.143,6.0,17.37,-11.37,-189.5
57,1.0,3.0,0.14,7.29,18.83,-11.54,-158.3
58,1.0,3.0,0.138,7.58,19.28,-11.7,-154.4
59,1.0,3.0,0.136,7.87,19.73,-11.86,-150.7
60,1.0,3.0,0.133,8.15,20.17,-12.02,-147.5
61,1.0,3.0,0.131,8.42,20.6,-12.18,-144.7
62,1.0,3.0,0.129,8.68,21.02,-12.34,-142.2
63,1.0,3.0,0.127,9.34,21.84,-12.5,-133.8
64,1.0,3.0,0.125,9.99,22.65,-12.66,-126.7
65,1.0,3.0,0.123,10.64,23.46,-12.82,-120.5
66,1.0,3.0,0.121,11.28,24.25,-12.97,-115.0
67,1.0,3.0,0.119,11.91,25.04,-13.13,-110.2
68,1.0,3.0,0.118,12.74,26.03,-13.29,-104.3
69,1.0,3.0,0.116,13.56,27.01,-13.45,-99.2
70,1.0,3.0,0.114,14.38,27.98,-13.6,-94.6
71,1.0,3.0,0.113,15.19,28.95,-13.76,-90.6
72,1.0,3.0,0.111,16.0,29.91,-13.91,-86.9
73,1.0,3.0,0.11,16.6,30.66,-14.06,-84.7
74,1.0,3.0,0.108,18.2,32.41,-14.21,-78.1
75,1.0,3.0,0.107,19.79,34.16,-14.37,-72.6
