tool,n,MAE_record,MAE_adopted,gain_um,improved
T1,1.0,2.17,0.26,1.91,True
T10,1.0,2.7,1.11,1.59,True
T11,1.0,2.45,1.04,1.41,True
T12,1.0,6.76,2.36,4.4,True
T13,1.0,5.1,1.65,3.45,True
T14,8.0,11.38,6.41,4.97,True
T15,1.0,10.44,3.51,6.93,True
T16,2.0,12.62,9.43,3.19,True
T17,1.0,7.7,13.37,-5.67,False
T18,75.0,17.26,18.4,-1.14,False
T2,1.0,2.42,1.01,1.41,True
T3,1.0,2.48,0.65,1.83,True
T4,1.0,7.82,2.63,5.19,True
T5,1.0,1.29,0.53,0.76,True
T6,1.0,0.0,0.0,0.0,False
T7,1.0,5.69,2.04,3.65,True
T8,1.0,2.25,0.31,1.94,True
T9,1.0,0.8,0.71,0.09,True
