tag,m,MAE,pooled_R2,record,beats_record,note
record replication (gamma=3),3,12.06,0.14,11.02,False,should match 11.02 / 5.63
record replication (gamma=3),4,5.63,0.702,5.63,False,should match 11.02 / 5.63
global gamma=1,3,11.94,0.435,11.02,False,P1 stopped at 3 to protect pooled R2
global gamma=2,3,11.99,0.305,11.02,False,P1 stopped at 3 to protect pooled R2
global gamma=3,3,12.06,0.14,11.02,False,P1 stopped at 3 to protect pooled R2
global gamma=4,3,12.13,-0.043,11.02,False,P1 stopped at 3 to protect pooled R2
global gamma=5,3,12.18,-0.216,11.02,False,P1 stopped at 3 to protect pooled R2
global gamma=6,3,12.27,-0.357,11.02,False,P1 stopped at 3 to protect pooled R2
global gamma=8,3,12.41,-0.527,11.02,False,P1 stopped at 3 to protect pooled R2
global gamma=1,4,7.0,0.706,5.63,False,P1 stopped at 3 to protect pooled R2
global gamma=2,4,6.24,0.714,5.63,False,P1 stopped at 3 to protect pooled R2
global gamma=3,4,5.63,0.702,5.63,False,P1 stopped at 3 to protect pooled R2
global gamma=4,4,5.18,0.653,5.63,True,P1 stopped at 3 to protect pooled R2
global gamma=5,4,4.97,0.564,5.63,True,P1 stopped at 3 to protect pooled R2
global gamma=6,4,4.94,0.444,5.63,True,P1 stopped at 3 to protect pooled R2
global gamma=8,4,4.99,0.164,5.63,True,P1 stopped at 3 to protect pooled R2
"gamma(h)=6/h  (sharp near, anchored far)",3,11.72,0.526,11.02,False,horizon-adaptive weighting
gamma(h)=8/h,3,11.68,0.526,11.02,False,horizon-adaptive weighting
gamma(h)=6/sqrt(h),3,11.64,0.475,11.02,False,horizon-adaptive weighting
"gamma(h)=max(3, 8-h)",3,11.95,0.142,11.02,False,horizon-adaptive weighting
gamma(h)=3+4*exp(-h/2),3,11.97,0.141,11.02,False,horizon-adaptive weighting
"gamma(h)=6/h  (sharp near, anchored far)",4,4.04,0.704,5.63,True,horizon-adaptive weighting
gamma(h)=8/h,4,3.63,0.702,5.63,True,horizon-adaptive weighting
gamma(h)=6/sqrt(h),4,4.26,0.693,5.63,True,horizon-adaptive weighting
"gamma(h)=max(3, 8-h)",4,4.03,0.704,5.63,True,horizon-adaptive weighting
gamma(h)=3+4*exp(-h/2),4,4.48,0.703,5.63,True,horizon-adaptive weighting
p by extrapolation + gamma=3,3,11.18,0.689,11.02,False,P1 selects p by fit only
p by extrapolation + gamma(h)=6/h,3,11.96,0.501,11.02,False,combined
p by extrapolation + gamma=3,4,6.37,0.108,5.63,False,P1 selects p by fit only
p by extrapolation + gamma(h)=6/h,4,5.46,-0.981,5.63,True,combined
