feature,shap_mean,shap_std,physical_class
A_band3_ratio_std,0.8886239808097013,0.13439713584891977,axial/amplitud/energia
R_wavelet_entropy_mean,0.830854971421455,0.1663783088892109,rotacional/tiempo-frecuencia
R_band1_ratio_std,0.7678956850196765,0.1706579886201691,rotacional/amplitud/energia
R_wavelet_entropy_std,0.7570404925022349,0.1541411941512024,rotacional/tiempo-frecuencia
R_band2_ratio_std,0.7050445635694853,0.14536762909391712,rotacional/amplitud/energia
R_spectral_power_std,0.656059744795468,0.07822628344328363,rotacional/frecuencia
R_spectral_kurtosis_std,0.5906621408805139,0.19505555900193924,rotacional/frecuencia
R_total_power_std,0.589971623691036,0.10016730481177881,rotacional/amplitud/energia
R_min_median,0.5741808408775765,0.24799000543981026,rotacional/otro
A_rms_freq_std,0.5667108770124313,0.246534763148316,axial/frecuencia
A_spectral_power_std,0.5430591544456708,0.14413945529337188,axial/frecuencia
R_mean_power_std,0.5419986877222266,0.21167779001723663,rotacional/amplitud/energia
R_spectral_kurtosis_mean,0.5401044016503858,0.19354102741090073,rotacional/frecuencia
R_freq_variance_median,0.5256786006957974,0.11215513949541789,rotacional/frecuencia
R_variance_std,0.5211340358181686,0.1204315258703905,rotacional/amplitud/energia
R_std_std,0.512940866518049,0.09860310496249501,rotacional/amplitud/energia
A_band1_ratio_std,0.48898184260107563,0.22630302884482878,axial/amplitud/energia
R_wavelet_d3_ratio_median,0.44816388951675057,0.17396845234664354,rotacional/tiempo-frecuencia
R_waveform_length_std,0.4466971257495892,0.14101339405797367,rotacional/amplitud/energia
R_total_power_mean,0.445501235283567,0.1163091690499763,rotacional/otro
R_dominant_freq_median,0.4380082162479093,0.162041518056271,rotacional/frecuencia
R_wavelet_d3_ratio_mean,0.43712522552434396,0.2203539955087469,rotacional/tiempo-frecuencia
R_rms_median,0.43629234951708007,0.16074052564770522,rotacional/amplitud/energia
R_std_median,0.4343597159330216,0.20910146954199493,rotacional/amplitud/energia
R_freq_variance_mean,0.4181749122571169,0.1659180555887433,rotacional/frecuencia
R_dominant_freq_mean,0.38919127071592446,0.11975898878111622,rotacional/frecuencia
R_spectral_skewness_std,0.3588813393398282,0.10038781373207159,rotacional/frecuencia
A_mean_power_std,0.35446814612182936,0.22541158173651413,axial/amplitud/energia
A_spectral_kurtosis_std,0.34074215783331996,0.1813592976639979,axial/frecuencia
A_entropy_mean,0.3284659046196028,0.1504497284968351,axial/otro
A_spectral_skewness_std,0.32571620392540934,0.2443615989557773,axial/frecuencia
A_mean_freq_std,0.3167085260013634,0.21657897657581315,axial/frecuencia
R_kurtosis_median,0.3037851155184829,0.23479170433127283,rotacional/otro
R_mav_median,0.29784597151255376,0.13473516473416214,rotacional/otro
R_mav_mean,0.2955754240257177,0.24243198847477657,rotacional/otro
R_dominant_freq_std,0.2877703289480159,0.2159790050391283,rotacional/frecuencia
R_spectral_power_mean,0.274229575338626,0.059826246885220036,rotacional/frecuencia
R_max_median,0.27130201802955256,0.12572327552287585,rotacional/otro
A_freq_variance_std,0.26949350640255415,0.14341280752853838,axial/frecuencia
R_min_mean,0.2456696384042918,0.13736446251235204,rotacional/otro
A_total_power_std,0.2451786231820056,0.17938358876421165,axial/amplitud/energia
R_impulse_factor_mean,0.2360680276885126,0.11169195520303778,rotacional/otro
R_peak_to_peak_median,0.2351449954353279,0.11585087122837992,rotacional/amplitud/energia
R_rms_std,0.2254621757141543,0.13924101609542303,rotacional/amplitud/energia
R_entropy_median,0.22193047346277267,0.10517297220305576,rotacional/otro
R_wavelet_d3_ratio_std,0.22017838502161763,0.1322127814655278,rotacional/tiempo-frecuencia
A_wavelet_d1_ratio_std,0.21884513512216608,0.10026964126308834,axial/tiempo-frecuencia
A_mav_median,0.20276035503404294,0.09636398810162658,axial/otro
R_entropy_mean,0.20018605846733067,0.07570214729577918,rotacional/otro
R_variance_median,0.19734701543225341,0.14700556643116808,rotacional/amplitud/energia
R_total_power_median,0.19587019311119375,0.10609136697360483,rotacional/otro
AR_rms_ratio,0.19382890489385224,0.07580211693957149,otro/amplitud/energia
A_max_std,0.1916219849799086,0.04589918007994809,axial/amplitud/energia
R_spectral_power_median,0.18404122330047104,0.08578871058448528,rotacional/frecuencia
R_variance_mean,0.17509189163064315,0.0772590889374553,rotacional/amplitud/energia
A_segment_duration_s_std,0.1707280405716601,0.12303630303905098,axial/amplitud/energia
R_band3_ratio_std,0.1647124653895498,0.026853124476437513,rotacional/amplitud/energia
R_rms_mean,0.16329109713805612,0.11701094076278412,rotacional/amplitud/energia
R_mean_power_mean,0.1606410552448174,0.0838416886431061,rotacional/otro
A_zero_crossing_rate_median,0.1602626202889282,0.1175865496835368,axial/otro
A_mav_std,0.1594736819649496,0.11662696249400707,axial/amplitud/energia
A_zero_crossing_rate_std,0.15870279787528188,0.1116541554100475,axial/amplitud/energia
A_wavelet_d3_ratio_std,0.1579780004718753,0.15809978488427787,axial/tiempo-frecuencia
A_entropy_std,0.15566532605101843,0.13085501349091977,axial/amplitud/energia
A_variance_std,0.15530360042266947,0.11076081238205311,axial/amplitud/energia
A_impulse_factor_std,0.15361241195651545,0.10984136628456379,axial/amplitud/energia
A_clearance_factor_mean,0.14993332065259163,0.07348468371923432,axial/otro
R_clearance_factor_std,0.14929200959290498,0.04443793817671332,rotacional/amplitud/energia
AR_rms_diff,0.1373151442752417,0.03862685582140716,otro/amplitud/energia
AR_mav_ratio,0.1348979781809636,0.05550263750690619,otro/otro
A_entropy_median,0.13050483535749366,0.0754066578378823,axial/otro
A_band2_ratio_std,0.1301862265355158,0.08021994507072334,axial/amplitud/energia
A_segment_n_samples_std,0.1292685534804207,0.15406823657027027,axial/amplitud/energia
