held_out_experiment,feature,kendall_abs,spearman_abs,mmi_norm,shap_norm,score3,score4
66,R_waveform_length_std,0.7778,0.9,1.0,0.6976,0.8926,0.8439
66,R_dominant_freq_mean,0.7778,0.9,0.7928,0.2981,0.8235,0.6922
66,R_entropy_mean,0.8889,0.95,0.5664,0.1893,0.8018,0.6486
66,A_band2_ratio_std,0.8889,0.95,0.5473,0.216,0.7954,0.6506
66,A_band1_ratio_std,0.8333,0.9333,0.5313,0.785,0.766,0.7707
66,R_spectral_power_std,0.6111,0.8167,0.8597,0.5561,0.7625,0.7109
66,R_wavelet_entropy_mean,0.6667,0.8,0.7832,0.8748,0.75,0.7812
66,R_dominant_freq_median,0.6667,0.8333,0.7386,0.2304,0.7462,0.6172
66,R_wavelet_entropy_std,0.7778,0.9,0.5568,0.8248,0.7449,0.7648
66,A_spectral_skewness_std,0.7778,0.8833,0.4707,0.5204,0.7106,0.663
66,R_spectral_skewness_std,0.6667,0.8333,0.6174,0.2649,0.7058,0.5956
66,R_freq_variance_median,0.5556,0.75,0.7609,0.665,0.6888,0.6829
66,R_spectral_kurtosis_mean,0.7778,0.8667,0.4033,0.8344,0.6826,0.7205
66,R_freq_variance_mean,0.6111,0.7833,0.6493,0.489,0.6812,0.6332
66,R_wavelet_entropy_median,0.5556,0.7667,0.6875,0.195,0.6699,0.5512
66,A_band3_ratio_std,0.6667,0.85,0.4671,1.0,0.6613,0.746
66,A_entropy_mean,0.6667,0.8,0.4197,0.209,0.6288,0.5238
66,A_spectral_power_std,0.6111,0.7667,0.4739,0.2466,0.6172,0.5246
66,R_band2_ratio_std,0.5556,0.75,0.5441,0.7737,0.6165,0.6558
66,R_dominant_freq_std,0.6667,0.8333,0.3241,0.6098,0.608,0.6085
66,R_spectral_kurtosis_median,0.7222,0.8333,0.2553,0.5568,0.6036,0.5919
66,R_rms_std,0.4444,0.7,0.6652,0.0589,0.6032,0.4671
66,R_std_std,0.4444,0.7,0.6652,0.513,0.6032,0.5806
66,R_total_power_std,0.6111,0.7833,0.3382,0.7087,0.5775,0.6103
66,R_band1_ratio_std,0.5556,0.75,0.4261,0.9325,0.5772,0.666
66,R_mean_power_std,0.6111,0.7833,0.2967,0.5331,0.5637,0.556
66,R_wavelet_d3_ratio_mean,0.6667,0.7333,0.2904,0.2509,0.5635,0.4853
66,R_spectral_kurtosis_std,0.7222,0.8667,0.0991,0.5307,0.5627,0.5547
66,R_min_median,0.6667,0.8333,0.1838,0.4109,0.5613,0.5237
66,A_zero_crossing_rate_std,0.5556,0.6667,0.4612,0.3799,0.5611,0.5159
66,R_max_median,0.5556,0.7833,0.3286,0.2796,0.5558,0.4868
66,R_mean_power_mean,0.5556,0.6667,0.4389,0.1799,0.5537,0.4603
66,R_total_power_mean,0.5556,0.7167,0.3878,0.3521,0.5534,0.5031
66,R_wavelet_d3_ratio_median,0.6111,0.7333,0.3077,0.6457,0.5507,0.5745
66,R_peak_to_peak_median,0.6667,0.8333,0.1519,0.244,0.5506,0.474
66,A_variance_std,0.6111,0.7667,0.2437,0.0892,0.5405,0.4277
66,R_mav_mean,0.3889,0.45,0.7545,0.2916,0.5311,0.4713
66,A_wavelet_d3_ratio_std,0.6111,0.7833,0.1788,0.1645,0.5244,0.4344
66,A_entropy_std,0.6111,0.7667,0.1822,0.239,0.52,0.4497
66,A_freq_variance_std,0.4444,0.6167,0.4962,0.1912,0.5191,0.4371
66,R_total_power_median,0.5556,0.7333,0.2571,0.2806,0.5153,0.4567
66,R_variance_mean,0.5,0.5,0.5345,0.1862,0.5115,0.4302
66,A_mav_std,0.6111,0.7,0.2189,0.2401,0.51,0.4425
66,A_std_std,0.6111,0.7167,0.1806,0.0471,0.5028,0.3889
66,A_rms_std,0.6111,0.7167,0.1806,0.0205,0.5028,0.3822
66,R_wavelet_d3_ratio_std,0.6111,0.7333,0.1583,0.1723,0.5009,0.4187
66,A_waveform_length_std,0.5,0.7,0.2986,0.1808,0.4995,0.4199
66,A_mean_power_std,0.5556,0.7333,0.2006,0.511,0.4965,0.5001
66,A_rms_freq_std,0.5556,0.6667,0.2667,0.8176,0.4963,0.5767
66,R_std_mean,0.3889,0.45,0.6429,0.0523,0.4939,0.3835
66,R_rms_mean,0.3889,0.45,0.6429,0.1551,0.4939,0.4092
66,R_variance_std,0.4444,0.7167,0.2967,0.5032,0.486,0.4902
66,R_band5_ratio_median,0.3889,0.3,0.7686,0.0609,0.4858,0.3796
66,A_spectral_kurtosis_std,0.5556,0.6833,0.1934,0.5376,0.4774,0.4925
66,A_dominant_freq_median,0.5556,0.7167,0.1469,0.0485,0.473,0.3669
66,AR_energy_ratio,0.3889,0.6,0.3687,0.1954,0.4525,0.3883
66,AR_mav_ratio,0.3333,0.5667,0.4548,0.195,0.4516,0.3874
66,R_entropy_std,0.5,0.6833,0.1549,0.0308,0.4461,0.3423
66,R_mav_std,0.3889,0.5833,0.3368,0.0479,0.4363,0.3392
66,R_spectral_power_mean,0.3889,0.4333,0.4867,0.2762,0.4363,0.3963
66,R_entropy_median,0.5,0.3833,0.4165,0.3138,0.4333,0.4034
66,A_total_power_std,0.5,0.6833,0.1032,0.291,0.4288,0.3944
66,A_wavelet_d2_ratio_std,0.5,0.6667,0.1054,0.0,0.424,0.318
66,A_wavelet_d1_ratio_std,0.4444,0.6167,0.1628,0.238,0.408,0.3655
66,R_variance_median,0.3889,0.4333,0.3974,0.1511,0.4065,0.3427
66,A_skewness_std,0.4444,0.6167,0.1549,0.1493,0.4053,0.3413
66,A_wavelet_entropy_std,0.5556,0.6333,0.0,0.0311,0.3963,0.305
66,R_max_mean,0.4444,0.6,0.1423,0.0195,0.3956,0.3016
66,R_band5_ratio_mean,0.3889,0.3167,0.4698,0.0116,0.3918,0.2968
66,R_mean_power_median,0.4444,0.5667,0.1519,0.2931,0.3877,0.364
66,R_std_median,0.3889,0.4333,0.34,0.4548,0.3874,0.4042
66,R_rms_median,0.3889,0.4333,0.34,0.6703,0.3874,0.4581
66,A_segment_n_samples_std,0.4444,0.3667,0.3446,0.2515,0.3852,0.3518
66,A_segment_duration_s_std,0.4444,0.3667,0.3446,0.2358,0.3852,0.3479
66,AR_rms_ratio,0.3333,0.5167,0.2826,0.1606,0.3775,0.3233
66,R_kurtosis_median,0.3889,0.65,0.0911,0.5731,0.3767,0.4258
66,R_spectral_power_median,0.4444,0.5667,0.0977,0.3213,0.3696,0.3575
66,A_mean_freq_std,0.5,0.6,0.0,0.1282,0.3667,0.307
66,R_freq_variance_std,0.4444,0.5833,0.0658,0.0524,0.3645,0.2865
66,R_rms_freq_std,0.3889,0.5333,0.1501,0.0241,0.3574,0.2741
66,R_spectral_skewness_mean,0.3889,0.5667,0.0913,0.1911,0.349,0.3095
66,A_dominant_freq_mean,0.4444,0.5333,0.069,0.0548,0.3489,0.2754
66,A_crest_factor_std,0.4444,0.4167,0.1788,0.1153,0.3466,0.2888
66,R_mav_median,0.3333,0.3833,0.3177,0.281,0.3448,0.3288
66,AR_mav_diff,0.3333,0.4833,0.2025,0.0691,0.3397,0.272
66,AR_rms_diff,0.3333,0.4833,0.1341,0.1788,0.3169,0.2824
66,R_peak_to_peak_mean,0.3889,0.5333,0.0,0.0268,0.3074,0.2373
66,R_min_mean,0.3889,0.5333,0.0,0.2587,0.3074,0.2952
66,A_spectral_centroid_mean,0.3889,0.5,0.0,0.0324,0.2963,0.2303
66,R_band3_ratio_std,0.3333,0.4333,0.12,0.1832,0.2956,0.2674
66,A_peak_to_peak_std,0.3889,0.4667,0.0,0.1513,0.2852,0.2517
66,A_min_std,0.3333,0.4333,0.0244,0.0168,0.2637,0.202
66,R_segment_n_samples_mean,0.2778,0.3833,0.115,0.0392,0.2587,0.2038
66,R_segment_duration_s_mean,0.2778,0.3833,0.115,0.0815,0.2587,0.2144
66,R_wavelet_d2_ratio_std,0.3333,0.4,0.0321,0.0327,0.2551,0.1995
66,R_mean_mean,0.3333,0.4167,0.0,0.0,0.25,0.1875
66,R_mean_std,0.3333,0.4,0.0,0.0,0.2444,0.1833
66,R_spectral_skewness_median,0.2778,0.45,0.0,0.0313,0.2426,0.1898
66,R_band2_ratio_median,0.2778,0.45,0.0,0.0403,0.2426,0.192
66,combined_rms,0.2778,0.3167,0.1136,0.05,0.236,0.1895
66,A_mean_mean,0.3333,0.3667,0.0,0.0,0.2333,0.175
66,A_entropy_median,0.2222,0.1833,0.2826,0.0578,0.2294,0.1865
66,R_margin_factor_mean,0.2222,0.2333,0.2095,0.0569,0.2217,0.1805
66,R_clearance_factor_mean,0.2222,0.2333,0.2095,0.0308,0.2217,0.174
66,A_spectral_centroid_median,0.2778,0.3833,0.0,0.0183,0.2204,0.1699
66,A_margin_factor_std,0.3333,0.2,0.1275,0.1615,0.2203,0.2056
66,A_impulse_factor_std,0.3333,0.2,0.1275,0.0507,0.2203,0.1779
66,A_clearance_factor_std,0.3333,0.2,0.1275,0.1064,0.2203,0.1918
66,R_crest_factor_mean,0.1667,0.2167,0.2694,0.0366,0.2176,0.1724
66,A_mean_power_mean,0.2778,0.3667,0.0,0.035,0.2148,0.1699
66,A_peak_to_peak_median,0.3333,0.3,0.0,0.0509,0.2111,0.1711
66,R_skewness_median,0.2778,0.35,0.0,0.03,0.2093,0.1645
66,A_band2_ratio_mean,0.2222,0.4,0.0,0.2268,0.2074,0.2122
66,R_impulse_factor_mean,0.1667,0.2167,0.2368,0.1538,0.2067,0.1935
66,A_median_freq_median,0.2778,0.3167,0.0,0.0099,0.1981,0.1511
66,R_shape_factor_std,0.1667,0.15,0.2733,0.1099,0.1967,0.175
66,R_kurtosis_std,0.2778,0.1833,0.1275,0.0084,0.1962,0.1493
66,R_wavelet_low_high_ratio_mean,0.2222,0.3,0.0592,0.0281,0.1938,0.1524
66,A_rms_freq_median,0.2778,0.3,0.0,0.0313,0.1926,0.1523
66,A_zero_crossing_rate_median,0.2778,0.3,0.0,0.3248,0.1926,0.2257
66,R_waveform_length_mean,0.2222,0.35,0.0,0.0266,0.1907,0.1497
66,R_peak_to_peak_std,0.1111,0.1667,0.2872,0.2054,0.1883,0.1926
66,A_min_median,0.2778,0.2833,0.0,0.0537,0.187,0.1537
66,A_median_freq_mean,0.2778,0.2833,0.0,0.0197,0.187,0.1452
66,R_wavelet_d1_ratio_median,0.2222,0.3333,0.0,0.0826,0.1852,0.1595
66,R_spectral_centroid_mean,0.2222,0.3333,0.0,0.0,0.1852,0.1389
66,A_band2_ratio_median,0.1667,0.3833,0.0,0.1913,0.1833,0.1853
66,R_band1_ratio_median,0.2222,0.3167,0.0,0.058,0.1796,0.1492
66,A_freq_variance_median,0.2222,0.3167,0.0,0.1793,0.1796,0.1795
66,A_freq_variance_mean,0.2222,0.3167,0.0,0.0116,0.1796,0.1376
66,AR_energy_diff,0.2222,0.3,0.0162,0.0377,0.1795,0.144
66,R_band4_ratio_std,0.2222,0.3,0.008,0.041,0.1767,0.1428
66,A_skewness_mean,0.1667,0.2667,0.0945,0.034,0.1759,0.1405
66,R_zero_crossing_rate_std,0.2222,0.2333,0.0667,0.0209,0.1741,0.1358
66,R_skewness_mean,0.2222,0.3,0.0,0.0094,0.1741,0.1329
66,A_band3_ratio_mean,0.2222,0.3,0.0,0.0477,0.1741,0.1425
66,R_wavelet_d1_ratio_std,0.2222,0.3,0.0,0.1927,0.1741,0.1787
66,A_kurtosis_std,0.2222,0.1667,0.1275,0.0605,0.1721,0.1442
66,R_min_std,0.1667,0.25,0.0977,0.0323,0.1715,0.1367
66,A_mean_freq_median,0.2222,0.2833,0.0,0.0256,0.1685,0.1328
66,A_max_median,0.2778,0.2167,0.0,0.0687,0.1648,0.1408
66,A_peak_to_peak_mean,0.2222,0.2667,0.0,0.1227,0.163,0.1529
66,A_variance_mean,0.2222,0.2667,0.0,0.0192,0.163,0.127
66,A_min_mean,0.2222,0.2667,0.0,0.0288,0.163,0.1294
66,A_wavelet_entropy_mean,0.1667,0.3167,0.0,0.0468,0.1611,0.1325
66,R_mean_freq_std,0.2222,0.2333,0.0125,0.033,0.156,0.1252
66,R_mean_median,0.1667,0.3,0.0,0.0,0.1556,0.1167
66,R_shape_factor_mean,0.1111,0.1167,0.2368,0.047,0.1549,0.1279
66,A_band4_ratio_std,0.1667,0.1667,0.1275,0.0327,0.1536,0.1234
66,A_band5_ratio_std,0.1111,0.0833,0.2642,0.0081,0.1529,0.1167
66,A_shape_factor_mean,0.1667,0.1333,0.1578,0.0742,0.1526,0.133
66,A_wavelet_low_high_ratio_mean,0.2222,0.2333,0.0,0.0379,0.1519,0.1234
66,A_wavelet_low_high_ratio_median,0.2222,0.2333,0.0,0.0987,0.1519,0.1385
66,R_band4_ratio_median,0.1667,0.2833,0.0,0.0159,0.15,0.1165
66,A_band3_ratio_median,0.1667,0.2833,0.0,0.0559,0.15,0.1265
66,R_band2_ratio_mean,0.1667,0.2,0.069,0.0481,0.1452,0.121
66,R_rms_freq_median,0.1667,0.2667,0.0,0.0663,0.1444,0.1249
66,AR_spectral_centroid_ratio,0.1667,0.2667,0.0,0.0117,0.1444,0.1113
66,AR_spectral_centroid_diff,0.1667,0.2667,0.0,0.0255,0.1444,0.1147
66,A_band1_ratio_mean,0.1667,0.2667,0.0,0.0249,0.1444,0.1146
66,R_segment_duration_s_median,0.1111,0.1167,0.1934,0.0814,0.1404,0.1257
66,R_segment_n_samples_median,0.1111,0.1167,0.1934,0.0567,0.1404,0.1195
66,A_wavelet_d1_ratio_median,0.1667,0.25,0.0,0.0154,0.1389,0.108
66,A_shape_factor_std,0.1111,0.1167,0.1822,0.0434,0.1367,0.1134
66,AR_kurtosis_diff,0.1111,0.1667,0.1275,0.113,0.1351,0.1296
66,A_zero_crossing_rate_mean,0.1667,0.2333,0.0,0.06,0.1333,0.115
66,A_crest_factor_mean,0.1111,0.0833,0.1897,0.1478,0.1281,0.133
66,R_mean_freq_mean,0.1667,0.2167,0.0,0.0265,0.1278,0.1025
66,R_clearance_factor_std,0.1111,0.0833,0.1822,0.1703,0.1255,0.1367
66,R_margin_factor_std,0.1111,0.0833,0.1822,0.0336,0.1255,0.1025
66,R_waveform_length_median,0.1667,0.2,0.0,0.0294,0.1222,0.099
66,R_wavelet_low_high_ratio_median,0.1667,0.2,0.0,0.0102,0.1222,0.0942
66,A_band5_ratio_median,0.1667,0.2,0.0,0.0347,0.1222,0.1004
66,A_kurtosis_median,0.1667,0.1833,0.0052,0.1156,0.1184,0.1177
66,R_kurtosis_mean,0.1111,0.1167,0.1275,0.0142,0.1184,0.0924
66,A_mean_freq_mean,0.1667,0.1833,0.0,0.017,0.1167,0.0917
66,A_shape_factor_median,0.1667,0.1833,0.0,0.0784,0.1167,0.1071
66,A_spectral_kurtosis_mean,0.1667,0.1833,0.0,0.0354,0.1167,0.0963
66,A_band5_ratio_mean,0.1667,0.1333,0.0481,0.0,0.116,0.087
66,R_shape_factor_median,0.1111,0.2333,0.0,0.0265,0.1148,0.0927
66,A_margin_factor_mean,0.1111,0.0833,0.1412,0.0358,0.1119,0.0929
66,A_clearance_factor_mean,0.1111,0.0833,0.1412,0.2159,0.1119,0.1379
66,A_total_power_mean,0.1667,0.1667,0.0,0.0086,0.1111,0.0855
