tool,t_fail,t_hat,q90,t_lb,covered,slack_cuts
T1,5.0,0.14,115.64,-115.5,1,120.5
T10,5.0,13.76,115.64,-101.88,1,106.88
T11,5.0,6.82,115.64,-108.82,1,113.82
T12,5.0,9.63,115.64,-106.01,1,111.01
T14,12.0,16.98,115.64,-98.67,1,110.67
T15,5.0,1.77,115.64,-113.88,1,118.88
T16,6.0,5.01,115.64,-110.64,1,116.64
T17,5.0,2.2,115.64,-113.44,1,118.44
T18,79.0,34.87,115.64,-80.77,1,159.77
T2,5.0,15.98,115.64,-99.66,1,104.66
T3,5.0,5.75,115.64,-109.9,1,114.9
T4,5.0,79.41,115.64,-36.23,1,41.23
T5,5.0,120.64,74.41,46.23,0,-41.23
T7,5.0,0.03,115.64,-115.61,1,120.61
T8,5.0,10.41,115.64,-105.23,1,110.23
T9,5.0,4.92,115.64,-110.72,1,115.72
