tool,model,observed,ll
T2,ours_k0,0,-0.282
T2,ours_k002,0,-0.417
T2,avg_curve,0,0.0
T2,linear_t,0,-0.074
T3,ours_k0,0,-0.263
T3,ours_k002,0,-0.447
T3,avg_curve,0,-0.125
T3,linear_t,0,-0.196
T4,ours_k0,0,-0.19
T4,ours_k002,0,-0.267
T4,avg_curve,0,0.0
T4,linear_t,0,-0.006
T5,ours_k0,0,0.0
T5,ours_k002,0,-0.464
T5,avg_curve,0,0.0
T5,linear_t,0,-0.03
T6,ours_k0,0,0.0
T6,ours_k002,0,0.0
T6,avg_curve,0,0.0
T6,linear_t,0,0.0
T8,ours_k0,0,-0.094
T8,ours_k002,0,-0.145
T8,avg_curve,0,0.0
T8,linear_t,0,-0.047
T9,ours_k0,0,-0.237
T9,ours_k002,0,-0.409
T9,avg_curve,0,0.0
T9,linear_t,0,-0.28
T10,ours_k0,0,-0.188
T10,ours_k002,0,-0.279
T10,avg_curve,0,0.0
T10,linear_t,0,-0.054
T11,ours_k0,0,-0.243
T11,ours_k002,0,-0.399
T11,avg_curve,0,0.0
T11,linear_t,0,-0.157
T12,ours_k0,0,-0.109
T12,ours_k002,0,-0.169
T12,avg_curve,0,0.0
T12,linear_t,0,-0.062
T14,ours_k0,1,-4.846
T14,ours_k002,1,-4.155
T14,avg_curve,1,-13.816
T14,linear_t,1,-2.139
T15,ours_k0,1,-3.861
T15,ours_k002,1,-2.256
T15,avg_curve,1,-5.2
T15,linear_t,1,-2.473
T16,ours_k0,0,-0.305
T16,ours_k002,0,-0.529
T16,avg_curve,0,0.0
T16,linear_t,0,-1.288
T17,ours_k0,1,-0.719
T17,ours_k002,1,-1.937
T17,avg_curve,1,-7.681
T17,linear_t,1,-1.191
T18,ours_k0,1,-5.095
T18,ours_k002,1,-5.739
T18,avg_curve,1,-13.816
T18,linear_t,1,-27.829
