response,effect,estimate,contrib_pct,p_Lenth,p_Holm,p_ANOVA
log_rate,vcL:fzL,4.736,17.2,0.277,1.0,0.122
log_rate,vc_lin,-3.937,11.9,0.3583,1.0,0.1792
log_rate,fz_lin,3.527,9.5,0.407,1.0,0.2188
log_rate,fzL:cool,3.518,9.5,0.4081,1.0,0.2198
log_rate,vcL:cool,-2.905,6.5,0.4903,1.0,0.2963
log_rate,cool,-2.736,5.7,0.5147,1.0,0.3215
log_rate,vcL:fzQ,-2.626,5.3,0.5312,1.0,0.339
log_rate,vc_quad,-2.355,4.2,0.573,1.0,0.3856
log_rate,vcQ:fzL,2.198,3.7,0.5981,1.0,0.4151
log_rate,fz_quad,-2.019,3.1,0.6277,1.0,0.4512
log_rate,vcQ:cool,-1.666,2.1,0.6879,1.0,0.5291
log_rate,fzQ:cool,-1.641,2.1,0.6923,1.0,0.535
log_rate,vcQ:fzQ,-1.289,1.3,0.7552,0.7552,0.6224
p_hat,fzL:cool,0.603,35.1,0.0343,0.4453,0.1086
p_hat,cool,-0.273,7.2,0.2581,1.0,0.4036
p_hat,vc_quad,-0.245,5.8,0.3054,1.0,0.4501
p_hat,fz_lin,0.199,3.8,0.3971,1.0,0.534
p_hat,vcQ:fzQ,0.184,3.3,0.4322,1.0,0.5644
p_hat,vcL:cool,0.176,3.0,0.4508,1.0,0.5803
p_hat,fzQ:cool,-0.148,2.1,0.5221,1.0,0.6393
p_hat,vcQ:cool,0.142,1.9,0.5403,1.0,0.654
p_hat,vc_lin,0.141,1.9,0.5409,1.0,0.6545
p_hat,vcL:fzL,0.141,1.9,0.541,1.0,0.6546
p_hat,fz_quad,-0.075,0.5,0.7427,1.0,0.8106
p_hat,vcL:fzQ,0.045,0.2,0.8436,1.0,0.8856
p_hat,vcQ:fzL,-0.037,0.1,0.8717,0.8717,0.9063
VB0,cool,-132.554,41.1,0.0145,0.1891,0.001
VB0,fz_lin,94.61,20.9,0.0503,0.6031,0.0036
VB0,fzL:cool,-72.856,12.4,0.1078,1.0,0.0091
VB0,vcL:cool,53.584,6.7,0.2128,1.0,0.0254
VB0,fzQ:cool,-47.73,5.3,0.2603,1.0,0.0362
VB0,vcL:fzL,-36.154,3.1,0.3822,1.0,0.0787
VB0,fz_quad,34.957,2.9,0.3971,1.0,0.0857
VB0,vc_quad,29.957,2.1,0.4642,1.0,0.1236
VB0,vcQ:fzL,25.258,1.5,0.5342,1.0,0.1763
VB0,vcL:fzQ,21.584,1.1,0.5935,1.0,0.2336
VB0,vcQ:cool,-12.73,0.4,0.7508,1.0,0.4549
VB0,vcQ:fzQ,11.283,0.3,0.7781,1.0,0.5044
VB0,vc_lin,2.812,0.0,0.9438,0.9438,0.864
VB_chip,cool,-114.537,33.1,0.0196,0.2551,0.0024
VB_chip,fz_lin,87.241,19.2,0.0519,0.623,0.0064
VB_chip,vc_lin,-80.61,16.4,0.0665,0.7314,0.0085
VB_chip,fzL:cool,-67.663,11.6,0.1086,1.0,0.0155
VB_chip,fz_quad,45.185,5.2,0.2535,1.0,0.054
VB_chip,vc_quad,42.46,4.6,0.28,1.0,0.064
VB_chip,fzQ:cool,-31.215,2.5,0.4156,1.0,0.1353
VB_chip,vcL:fzL,26.944,1.8,0.4789,1.0,0.1824
VB_chip,vcQ:fzQ,23.465,1.4,0.5352,1.0,0.2332
VB_chip,vcL:fzQ,-15.695,0.6,0.6752,1.0,0.401
VB_chip,vcL:cool,14.162,0.5,0.705,1.0,0.4447
VB_chip,vcQ:cool,10.51,0.3,0.7781,1.0,0.5637
VB_chip,vcQ:fzL,6.575,0.1,0.8597,0.8597,0.7142
