m,K,S,MAE
2,4,0,12.4
2,4,1,13.0
2,4,3,13.4
2,4,10,13.98
2,6,0,11.79
2,6,1,13.44
2,6,3,13.2
2,6,10,13.51
2,9,0,12.09
2,9,1,12.84
2,9,3,13.15
2,9,10,13.3
2,13,0,12.26
2,13,1,12.92
2,13,3,13.39
2,13,10,14.28
2,17,0,12.24
2,17,1,12.96
2,17,3,14.0
2,17,10,14.38
3,4,0,11.56
3,4,1,11.66
3,4,3,11.86
3,4,10,11.91
3,6,0,11.23
3,6,1,11.74
3,6,3,11.44
3,6,10,11.62
3,9,0,11.16
3,9,1,10.65
3,9,3,11.02
3,9,10,11.11
3,13,0,11.15
3,13,1,11.2
3,13,3,10.91
3,13,10,11.07
3,17,0,10.99
3,17,1,11.04
3,17,3,10.99
3,17,10,10.99
