branch,n_features_pool,model,selected_k,MAE,RMSE,R2,exp77_residual
SOLO_A,153,Dummy(mean),10,38.0,41.527,-0.235,-60.67
SOLO_A,153,Ridge,10,31.418,36.078,0.068,48.38
SOLO_A,153,Lasso,10,29.019,33.415,0.201,45.73
SOLO_A,153,ElasticNet,10,32.564,37.982,-0.033,54.75
SOLO_A,153,SVR,10,41.414,44.828,-0.439,-59.16
SOLO_A,153,RandomForest,10,24.162,28.622,0.414,-31.33
SOLO_A,153,GradientBoosting,10,25.76,30.931,0.315,-18.76
SOLO_R,153,Dummy(mean),10,38.0,41.527,-0.235,-60.67
SOLO_R,153,Ridge,10,25.882,35.26,0.11,-88.64
SOLO_R,153,Lasso,10,28.059,38.318,-0.051,-97.07
SOLO_R,153,ElasticNet,10,26.113,36.825,0.029,-95.03
SOLO_R,153,SVR,10,29.66,33.686,0.188,-50.82
SOLO_R,153,RandomForest,10,29.484,35.491,0.098,-72.11
SOLO_R,153,GradientBoosting,10,30.382,37.36,0.001,-74.52
FUSION_AR,318,Dummy(mean),10,38.0,41.527,-0.235,-60.67
FUSION_AR,318,Ridge,10,30.093,37.75,-0.02,-75.95
FUSION_AR,318,Lasso,10,33.859,44.754,-0.434,-25.94
FUSION_AR,318,ElasticNet,10,29.959,37.593,-0.012,-69.69
FUSION_AR,318,SVR,10,33.5,37.774,-0.021,-49.37
FUSION_AR,318,RandomForest,10,29.861,34.698,0.138,-71.36
FUSION_AR,318,GradientBoosting,10,31.316,35.835,0.081,-61.67
FUSION_AR_reliability_aware,257,Dummy(mean),10,38.0,41.527,-0.235,-60.67
FUSION_AR_reliability_aware,257,Ridge,10,29.868,36.792,0.031,-77.15
FUSION_AR_reliability_aware,257,Lasso,10,29.12,35.373,0.104,-29.16
FUSION_AR_reliability_aware,257,ElasticNet,10,29.076,35.702,0.087,-70.76
FUSION_AR_reliability_aware,257,SVR,10,33.879,38.236,-0.047,-49.47
FUSION_AR_reliability_aware,257,RandomForest,10,30.12,35.224,0.112,-71.98
FUSION_AR_reliability_aware,257,GradientBoosting,10,32.273,36.954,0.022,-62.33
